,Estandar
1306,Samsung S21
1307,Samsung A23
1308,Samsung S10 Plus
1309,Samsung S21 Ultra
1310,Samsung A71
1311,Samsung S21 Fe
1312,Samsung A20S
1313,Samsung S21
1314,Samsung A31
1315,Samsung S21 Fe
1316,Samsung S20
1317,Samsung A21S
1318,Samsung S20 Fe
1319,Samsung S10 Plus
1320,Samsung A32
1321,Samsung S22
1322,Samsung A22
1323,Samsung A31
1324,Samsung Z Fold 3
1325,Samsung A4
1326,Samsung A03S
1327,Samsung A22
1328,Samsung S20 Fe
1329,Samsung Note 20
1330,Samsung A10
1331,Samsung S20 Fe
1332,Samsung A31
1333,Samsung A22
1334,Samsung Z Flip 5
1335,Samsung S21
1336,Samsung S10 Plus
1337,Samsung A53
1338,Samsung A52S
1339,Samsung S22 Plus
1340,Samsung A52S
1341,Samsung Note 20
1342,Samsung A50
1343,Samsung S20 Fe
1344,Samsung A31
1345,Samsung A30
1346,Samsung S21 Ultra
1347,Samsung A03
1348,Samsung A03S
1349,Samsung A22
1350,Samsung A02
1351,Samsung A32
1352,Samsung A22
1353,Samsung S21
1354,Samsung S20 Fe
1355,Samsung S20 Plus
1356,Samsung A32
1357,Samsung S20 Fe
1358,Samsung A32
1359,Samsung A70
1360,Samsung S20 Fe
1361,Samsung S10
1362,Samsung S21
1363,Samsung A32
1364,Samsung S10 Plus
1365,Samsung S10E
1366,Samsung A04
1367,Samsung A10S
1368,Samsung A50
1369,Samsung A04
1370,Samsung A52
1371,Samsung Z Flip
1372,Samsung S10
1373,Samsung A22
1374,Samsung A23
1375,Samsung A33
1376,Samsung A51
1377,Samsung A52S
1378,Samsung A52S
1379,Samsung A01
1380,Samsung A03
1381,Samsung S21 Fe
1382,Samsung S22 Plus
1383,Samsung A22
1384,Samsung A30S
1385,Samsung Note 20 Ultra
1386,Samsung S20 Fe
1387,Samsung S21
1388,Samsung A01
1389,Samsung S20 Fe
1390,Samsung A33
1391,Samsung S10 Plus
1392,Samsung S10E
1393,Samsung A07
1394,Samsung A73
1395,Samsung A20S
1396,Samsung A31
1397,Samsung A03
1398,Samsung A31
1399,Samsung A30S
1400,Samsung A71
1401,Samsung S20 Fe
1402,Samsung Note 20
1403,Samsung A72
1404,Samsung A52S
1405,Samsung S20 Fe
1406,Samsung S22 Ultra
1407,Samsung A13
1408,Samsung A22
1409,Samsung A11
1410,Samsung S20 Fe
1411,Samsung S10 Lite
1412,Samsung S10E
1413,Samsung S22
1414,Samsung A50
1415,Samsung A52S
1416,Samsung A32
1417,Samsung A02S
1418,Samsung S21 Ultra
1419,Samsung A23
1420,Samsung A20S
1421,Samsung A52S
1422,Samsung A52
1423,Samsung A21S
1424,Samsung S21
1425,Samsung S10 Plus
1426,Samsung A51
1427,Samsung A03
1428,Samsung S20
1429,Samsung A31
1430,Samsung A22
1431,Samsung A30S
1432,Samsung S21
1433,Samsung S10 Lite
1434,Samsung A21S
1435,Samsung S20 Plus
1436,Samsung S20 Ultra
1437,Samsung A51
1438,Samsung S20 Fe
1439,Samsung A13
1440,Samsung S21 Ultra
1441,Samsung S20
1442,Samsung Z Fold 3
1443,Samsung Note 20 Ultra
1444,Samsung A30S
1445,Samsung Note 20
1446,Samsung A11
1447,Samsung A32
1448,Samsung S21
1449,Samsung A13
1450,Samsung S21
1451,Samsung S21 Ultra
1452,Samsung A11
1453,Samsung S21 Ultra
1454,Samsung S20 Ultra
1455,Samsung S21 Fe
1456,Samsung A03
1457,Samsung S21 Plus
1458,Samsung S21 Ultra
1459,Samsung S21 Fe
1460,Samsung A02S
1461,Samsung A51
1462,Samsung A20
1463,Samsung A20S
1464,Samsung A53
1465,Samsung A03S
1466,Samsung S21 Ultra
1467,Samsung A5
1468,Samsung S22
1469,Samsung A21S
1470,Samsung A11
1471,Samsung A12
1472,Samsung S21 Plus
1473,Samsung S20 Fe
1474,Samsung S22
1475,Samsung S21 Plus
1476,Samsung Note 20 Ultra
1477,Samsung A32
1478,Samsung Note 20 Ultra
1479,Samsung A20
1480,Samsung A51
1481,Samsung A50
1482,Samsung Note 20 Ultra
1483,Samsung A32
1484,Samsung A02S
1485,Samsung A52S
1486,Samsung S21
1487,Samsung S21
1488,Samsung A03
1489,Samsung A03
1490,Samsung Z Flip 3
1491,Samsung S21
1492,Samsung A10
1493,Samsung A02
1494,Samsung A10S
1495,Samsung A72
1496,Samsung A80
1497,Samsung A52
1498,Samsung A20S
1499,Samsung S21 Fe
1500,Samsung S21 Fe
1501,Samsung S20 Fe
1502,Samsung S22 Ultra
1503,Samsung A32
1504,Samsung A20S
1505,Samsung A03
1506,Samsung A52
1507,Samsung A22
1508,Samsung A21S
1509,Samsung A73
1510,Samsung A52
1511,Samsung A31
1512,Samsung S20
1513,Samsung S22 Plus
1514,Samsung A11
1515,Samsung A73
1516,Samsung S21
1517,Samsung S20 Fe
1518,Samsung A20S
1519,Samsung A12
1520,Samsung S10E
1521,Samsung A20S
1522,Samsung A53
1523,Samsung A32
1524,Samsung S22 Ultra
1525,Samsung A50
1526,Samsung A51
1527,Samsung A30S
1528,Samsung A20S
1529,Samsung A03
1530,Samsung A21S
1531,Samsung S22 Ultra
1532,Samsung A12
1533,Samsung A32
1534,Samsung A31
1535,Samsung S20 Fe
1536,Samsung S21 Fe
1537,Samsung S20 Fe
1538,Samsung Z Fold 3
1539,Samsung S20 Fe
1540,Samsung A53
1541,Samsung S21 Plus
1542,Samsung A22
1543,Samsung S20 Fe
1544,Samsung A72
1545,Samsung A31
1546,Samsung A31
1547,Samsung A23
1548,Samsung S22 Ultra
1549,Samsung A21S
1550,Samsung S22 Ultra
1551,Samsung S21 Fe
1552,Samsung A30S
1553,Samsung A21S
1554,Samsung A30
1555,Samsung A70
1556,Samsung A32
1557,Samsung S20 Fe
1558,Samsung A52S
1559,Samsung A30S
1560,Samsung S21 Fe
1561,Samsung A53
1562,Samsung A22
1563,Samsung S21 Fe
1564,Samsung S21 Fe
1565,Samsung S22 Ultra
1566,Samsung A32
1567,Samsung A01
1568,Samsung A72
1569,Samsung S20 Fe
1570,Samsung A70
1571,Samsung A10S
1572,Samsung A51
1573,Samsung S22 Plus
1574,Samsung A70
1575,Samsung S10 Plus
1576,Samsung A11
1577,Samsung S21
1578,Samsung A51
1579,Samsung A52S
1580,Samsung A10
1581,Samsung A32
1582,Samsung Note 20
1583,Samsung Note 10 Lite
1584,Samsung A22
1585,Samsung A03
1586,Samsung A52S
1587,Samsung S10 Lite
1588,Samsung S10 Plus
1589,Samsung A13
1590,Samsung S20 Fe
1591,Samsung S22
1592,Samsung A11
1593,Samsung A20S
1594,Samsung A72
1595,Samsung S10 Plus
1596,Samsung S21 Fe
1597,Samsung S20 Fe
1598,Samsung Z Fold 3
1599,Samsung A13
1600,Samsung A72
1601,Samsung A52S
1602,Samsung A30S
1603,Samsung S20 Fe
1604,Samsung A20
1605,Samsung Note 20 Ultra
1606,Samsung Note 20 Plus
1607,Samsung A52S
1608,Samsung A22
1609,Samsung A51
1610,Samsung A11
1611,Samsung Note 10
1612,Samsung A51
1613,Samsung S22 Plus
1614,Samsung A13
1615,Samsung A10S
1616,Samsung Note 20
1617,Samsung S21
1618,Samsung A51
1619,Samsung S20 Fe
1620,Samsung S10
1621,Samsung S22 Plus
1622,Samsung A20S
1623,Samsung S10 Plus
1624,Samsung A52
1625,Samsung A10S
1626,Samsung Note 10
1627,Samsung A51
1628,Samsung Z Fold 3
1629,Samsung A22
1630,Samsung A53
1631,Samsung A03
1632,Samsung A30S
1633,Samsung A20S
1634,Samsung Z Flip 4
1635,Samsung A32
1636,Samsung A52
1637,Samsung A21S
1638,Samsung S21 Ultra
1639,Samsung A22
1640,Samsung A20
1641,Samsung S20 Fe
1642,Samsung S21 Plus
1643,Samsung A20S
1644,Samsung A32
1645,Samsung A02
1646,Samsung A71
1647,Samsung A20
1648,Samsung S22 Plus
1649,Samsung A21S
1650,Samsung A02
1651,Samsung S21 Plus
1652,Samsung A52
1653,Samsung S20 Plus
1654,Samsung A52S
1655,Samsung A53
1656,Samsung S22 Ultra
1657,Samsung A21
1658,Samsung Z Flip 4
1659,Samsung S21 Fe
1660,Samsung Note 20
1661,Samsung A13
1662,Samsung S21 Ultra
1663,Samsung A03
1664,Samsung S21
1665,Samsung Z Fold 3
1666,Samsung A32
1667,Samsung A51
1668,Samsung S21 Plus
1669,Samsung A33
1670,Samsung A30
1671,Samsung A32
1672,Samsung A03
1673,Samsung A32
1674,Samsung A71
1675,Samsung A02S
1676,Samsung S21 Ultra
1677,Samsung S20 Fe
1678,Samsung A10
1679,Samsung A22
1680,Samsung S22 Ultra
1681,Samsung A10S
1682,Samsung A30S
1683,Samsung S20 Fe
1684,Samsung A33
1685,Samsung A31
1686,Samsung A10
1687,Samsung Note 20
1688,Samsung Note 10 Plus
1689,Samsung Note 10
1690,Samsung A32
1691,Samsung A51
1692,Samsung A22
1693,Samsung A22
1694,Samsung A10S
1695,Samsung Z Flip 4
1696,Samsung A21S
1697,Samsung A32
1698,Samsung A10S
1699,Samsung Note 20 Ultra
1700,Samsung A30
1701,Samsung A02S
1702,Samsung Note 10 Plus
1703,Samsung S20 Fe
1704,Samsung Note 20
1705,Samsung S21
1706,Samsung A31
1707,Samsung S20 Fe
1708,Samsung S21 Fe
1709,Samsung A50
1710,Samsung A12
1711,Samsung Note 20 Ultra
1712,Samsung A72
1713,Samsung A31
1714,Samsung S22 Plus
1715,Samsung A73
1716,Samsung A72
1717,Samsung A30S
1718,Samsung A32
1719,Samsung S20 Fe
1720,Samsung A51
1721,Samsung S21 Fe
1722,Samsung S10E
1723,Samsung S10E
1724,Samsung S10E
1725,Samsung S10E
1726,Samsung S10E
1727,Samsung S10E
1728,Samsung S10E
1729,Samsung S10E
1730,Samsung S10E
1731,Samsung S22
1732,Samsung A22
1733,Samsung A22
1734,Samsung A51
1735,Samsung S22
1736,Samsung S22
1737,Samsung S22
1738,Samsung Note 20
1739,Samsung A51
1740,Samsung Note 20
1741,Samsung Note 20
1742,Samsung Note 20
1743,Samsung A01
1744,Samsung S21 Ultra
1745,Samsung S10E
1746,Samsung A52S
1747,Samsung S10E
1748,Samsung S21 Fe
1749,Samsung S21 Plus
1750,Samsung A03S
1751,Samsung A13
1752,Samsung A03
1753,Samsung A13
1754,Samsung A02
1755,Samsung Note 10 Plus
1756,Samsung Note 10 Lite
1757,Samsung S21 Ultra
1758,Samsung A52
1759,Samsung A10S
1760,Samsung S22
1761,Samsung A11
1762,Samsung A51
1763,Samsung A12
1764,Samsung A51
1765,Samsung S22 Plus
1766,Samsung A13
1767,Samsung A03
1768,Samsung A32
1769,Samsung A51
1770,Samsung S20 Plus
1771,Samsung A03
1772,Samsung A11
1773,Samsung A20
1774,Samsung A02S
1775,Samsung A22
1776,Samsung Note 20
1777,Samsung S20 Plus
1778,Samsung S20 Fe
1779,Samsung A10
1780,Samsung S10 Plus
1781,Samsung A70
1782,Samsung A32
1783,Samsung S20 Fe
1784,Samsung A52S
1785,Samsung S20 Plus
1786,Samsung A10S
1787,Samsung A51
1788,Samsung A31
1789,Samsung A12
1790,Samsung A21S
1791,Samsung A13
1792,Samsung A30
1793,Samsung A52S
1794,Samsung S20 Fe
1795,Samsung A01
1796,Samsung A71
1797,Samsung S20 Fe
1798,Samsung A13
1799,Samsung Note 20 Ultra
1800,Samsung A51
1801,Samsung A12
1802,Samsung A30
1803,Samsung A31
1804,Samsung S10 Plus
1805,Samsung A51
1806,Samsung A21S
1807,Samsung A10
1808,Samsung S22
1809,Samsung A53
1810,Samsung A21S
1811,Samsung A53
1812,Samsung Note 20 Ultra
1813,Samsung S20
1814,Samsung A20S
1815,Samsung A33
1816,Samsung S21 Fe
1817,Samsung S20 Fe
1818,Samsung A20S
1819,Samsung A33
1820,Samsung A12
1821,Samsung A51
1822,Samsung A02S
1823,Samsung S21 Fe
1824,Samsung S20
1825,Samsung S20 Plus
1826,Samsung S22 Ultra
1827,Samsung A73
1828,Samsung A30S
1829,Samsung S21 Fe
1830,Samsung A21S
1831,Samsung A31
1832,Samsung A52
1833,Samsung A50
1834,Samsung S20 Fe
1835,Samsung A51
1836,Samsung A12
1837,Samsung Note 20 Ultra
1838,Samsung Z Flip 3
1839,Samsung A12
1840,Samsung A03
1841,Samsung A30S
1842,Samsung S20 Plus
1843,Samsung A30
1844,Samsung A30
1845,Samsung A01
1846,Samsung A70
1847,Samsung S20 Ultra
1848,Samsung A71
1849,Samsung S22 Plus
1850,Samsung A21S
1851,Samsung S20 Plus
1852,Samsung A32
1853,Samsung A21S
1854,Samsung A50
1855,Samsung Note 10 Lite
1856,Samsung Note 20 Ultra
1857,Samsung S20 Fe
1858,Samsung S10
1859,Samsung A70
1860,Samsung A72
1861,Samsung A20S
1862,Samsung A31
1863,Samsung Note 20 Ultra
1864,Samsung Z Flip 3
1865,Samsung A51
1866,Samsung A51
1867,Samsung S20 Fe
1868,Samsung A20
1869,Samsung A30S
1870,Samsung A73
1871,Samsung S22 Plus
1872,Samsung S20 Fe
1873,Samsung A22
1874,Samsung S21
1875,Samsung A73
1876,Samsung S21
1877,Samsung S22 Ultra
1878,Samsung A32
1879,Samsung A21S
1880,Samsung A71
1881,Samsung A52
1882,Samsung A52
1883,Samsung A03
1884,Samsung A52S
1885,Samsung S21
1886,Samsung S21 Ultra
1887,Samsung A51
1888,Samsung S21 Ultra
1889,Samsung A50
1890,Samsung A21S
1891,Samsung A21S
1892,Samsung S20 Fe
1893,Samsung S20 Fe
1894,Samsung S20 Plus
1895,Samsung A51
1896,Samsung A71
1897,Samsung S20
1898,Samsung A50
1899,Samsung A30
1900,Samsung A31
1901,Samsung A52
1902,Samsung A71
1903,Samsung Note 10 Lite
1904,Samsung S20 Fe
1905,Samsung A32
1906,Samsung A13
1907,Samsung S20 Fe
1908,Samsung Note 10 Lite
1909,Samsung A72
1910,Samsung A71
1911,Samsung A30
1912,Samsung A51
1913,Samsung S20 Fe
1914,Samsung A72
1915,Samsung S22 Ultra
1916,Samsung S21
1917,Samsung S20 Plus
1918,Samsung Z Flip
1919,Samsung A31
1920,Samsung S10
1921,Samsung A73
1922,Samsung A21S
1923,Samsung A22
1924,Samsung S20 Fe
1925,Samsung A32
1926,Samsung Note 10 Plus
1927,Samsung A23
1928,Samsung A03S
1929,Samsung S20 Fe
1930,Samsung S10 Plus
1931,Samsung A21S
1932,Samsung A53
1933,Samsung A72
1934,Samsung A32
1935,Samsung S21 Plus
1936,Samsung A20S
1937,Samsung A50
1938,Samsung A20S
1939,Samsung A20
1940,Samsung A71
1941,Samsung S22
1942,Samsung A21S
1943,Samsung A51
1944,Samsung A80
1945,Samsung A51
1946,Samsung A02S
1947,Samsung A52S
1948,Samsung A03S
1949,Samsung S21
1950,Samsung S10
1951,Samsung A01
1952,Samsung A12
1953,Samsung A52
1954,Samsung S10 Plus
1955,Samsung A71
1956,Samsung A31
1957,Samsung Note 10 Plus
1958,Samsung S20 Fe
1959,Samsung A23
1960,Samsung S21 Ultra
1961,Samsung A20
1962,Samsung Note 10 Plus
1963,Samsung S10
1964,Samsung S10 Lite
1965,Samsung A32
1966,Samsung A51
1967,Samsung A03
1968,Samsung A71
1969,Samsung Z Flip 3
1970,Samsung A32
1971,Samsung A02S
1972,Samsung A30
1973,Samsung A71
1974,Samsung A70
1975,Samsung A32
1976,Samsung S20 Fe
1977,Samsung S10
1978,Samsung A31
1979,Samsung A02
1980,Samsung A20S
1981,Samsung A20
1982,Samsung S21 Plus
1983,Samsung S22 Ultra
1984,Samsung A30
1985,Samsung A30
1986,Samsung S10 Plus
1987,Samsung S21 Ultra
1988,Samsung A12
1989,Samsung A12
1990,Samsung A32
1991,Samsung Note 20 Ultra
1992,Samsung A22
1993,Samsung A30
1994,Samsung A30
1995,Samsung A10
1996,Samsung A52
1997,Samsung A30
1998,Samsung A11
1999,Samsung A32
2000,Samsung S21
2001,Samsung A51
2002,Samsung S21 Plus
2003,Iphone 12 Pro
2004,Iphone 11
2005,Iphone 7
2006,Iphone 11
2007,Iphone Xr
2008,Iphone 13 Pro Max
2009,Iphone Xr
2010,Iphone X
2011,Iphone 13 Pro
2012,Iphone 14 Pro Max
2013,Iphone 7
2014,Iphone 13
2015,Iphone 11
2016,Iphone 11
2017,Iphone 13 Pro Max
2018,Iphone 11 Pro Max
2019,Iphone Xr
2020,Iphone Xr
2021,Iphone Xr
2022,Iphone 14
2023,Iphone 7
2024,Iphone 11
2025,Iphone 11
2026,Iphone 6
2027,Iphone 13
2028,Iphone 11
2029,Iphone 12
2030,Iphone 7
2031,Iphone 13 Pro
2032,Iphone 11
2033,Iphone 12
2034,Iphone 12 Pro Max
2035,Iphone Se
2036,Iphone 8 Plus
2037,Iphone 12
2038,Iphone Xr
2039,Iphone X
2040,Iphone 13 Pro Max
2041,Iphone 13
2042,Iphone 12 Mini
2043,Iphone 8
2044,Iphone 12
2045,Iphone 12
2046,Iphone Se
2047,Iphone 14 Pro Max
2048,Iphone Se 2Da Gen
2049,Iphone 7
2050,Iphone 12 Pro
2051,Iphone Xr
2052,Iphone 12 Pro
2053,Iphone Xr
2054,Iphone Se
2055,Iphone 11
2056,Iphone 8 Plus
2057,Iphone 14 Pro
2058,Iphone Se 2Da Gen
2059,Iphone 13 Pro Max
2060,Iphone 13 Pro
2061,Iphone 12
2062,Iphone 12 Pro Max
2063,Iphone Xr
2064,Iphone Se
2065,Iphone 11
2066,Iphone Xr
2067,Iphone Xs Max
2068,Iphone 11
2069,Iphone 11
2070,Iphone Xr
2071,Iphone Se 2Da Gen
2072,Iphone Xr
2073,Iphone 13 Pro Max
2074,Iphone Se
2075,Iphone 13
2076,Iphone 11 Pro
2077,Iphone X
2078,Iphone 7
2079,Iphone 13 Pro Max
2080,Iphone Xr
2081,Iphone 11
2082,Iphone 13
2083,Iphone 14 Pro Max
2084,Iphone 12 Pro Max
2085,Iphone X
2086,Iphone 12 Pro
2087,Iphone 14
2088,Iphone Xr
2089,Iphone 12
2090,Iphone Se
2091,Iphone X
2092,Iphone 7
2093,Iphone 12 Pro
2094,Iphone 11
2095,Iphone 11 Pro Max
2096,Iphone 7
2097,Iphone 11
2098,Iphone Se
2099,Iphone 11
2100,Iphone X
2101,Iphone 11
2102,Iphone Se 2Da Gen
2103,Iphone 8 Plus
2104,Iphone 11
2105,Iphone 12 Mini
2106,Iphone 12 Pro
2107,Iphone 11 Pro Max
2108,Iphone 12
2109,Iphone 8
2110,Iphone 13
2111,Iphone 14 Pro
2112,Iphone 7
2113,Iphone 7
2114,Iphone Xs
2115,Iphone Xr
2116,Iphone Xr
2117,Iphone Xr
2118,Iphone Xr
2119,Iphone 11
2120,Iphone Xr
2121,Iphone 6 Plus
2122,Iphone 12 Mini
2123,Iphone 13 Pro
2124,Iphone 11
2125,Iphone 11
2126,Iphone 11 Pro
2127,Iphone Xr
2128,Iphone Xr
2129,Iphone Se 2Da Gen
2130,Iphone 13 Pro Max
2131,Iphone Xr
2132,Iphone 6
2133,Iphone 11
2134,Iphone 6S
2135,Iphone 11
2136,Iphone 11
2137,Iphone X
2138,Iphone X
2139,Iphone 6 Plus
2140,Iphone 11
2141,Iphone Se
2142,Iphone 8
2143,Iphone 11
2144,Iphone 6 Plus
2145,Iphone Xr
2146,Iphone Se
2147,Iphone 8
2148,Iphone Xr
2149,Iphone Se 2Da Gen
2150,Iphone 7 Plus
2151,Iphone 12
2152,Iphone 13 Pro
2153,Iphone 11
2154,Iphone Xs Max
2155,Iphone Xs
2156,Iphone Xr
2157,Iphone Xr
2158,Iphone Xr
2159,Iphone 8
2160,Iphone 8 Plus
2161,Iphone Xr
2162,Iphone Xr
2163,Iphone 11
2164,Iphone 6
2165,Iphone Se
2166,Iphone 11
2167,Iphone 11
2168,Iphone 11
2169,Iphone Se 3Ra Gen
2170,Iphone X
2171,Iphone 11
2172,Iphone 13
2173,Iphone 13
2174,Iphone 11
2175,Iphone 6S
2176,Iphone Xr
2177,Iphone 7 Plus
2178,Iphone 13
2179,Iphone 13 Pro Max
2180,Iphone 6
2181,Iphone 6S
2182,Iphone 12 Pro
2183,Iphone 11
2184,Iphone 11
2185,Iphone 6
2186,Iphone Xr
2187,Iphone 11
2188,Iphone 12 Mini
2189,Iphone 7
2190,Iphone 7
2191,Iphone Se
2192,Iphone Se
2193,Iphone 7 Plus
2194,Iphone 13
2195,Iphone Xr
2196,Iphone 7
2197,Iphone 6S
2198,Iphone Se 3Ra Gen
2199,Iphone 11
2200,Iphone 8
2201,Iphone 7
2202,Iphone 14 Pro Max
2203,Iphone Xs Max
2204,Iphone Se
2205,Iphone 11 Pro Max
2206,Iphone 11
2207,Iphone 6S
2208,Iphone 7
2209,Iphone 11
2210,Iphone 14
2211,Iphone 14 Pro
2212,Iphone 7 Plus
2213,Iphone 13
2214,Iphone 13
2215,Iphone 13
2216,Iphone 11
2217,Iphone 13
2218,Iphone 14 Plus
2219,Iphone 14
2220,Iphone 7
2221,Iphone 12 Pro
2222,Iphone Xr
2223,Iphone 12 Pro
2224,Iphone 12 Mini
2225,Iphone X
2226,Iphone 6
2227,Iphone 11
2228,Iphone 11 Pro Max
2229,Iphone Se
2230,Iphone 13
2231,Iphone 13 Pro
2232,Iphone 11
2233,Iphone 12 Pro
2234,Iphone 11
2235,Iphone Xs Max
2236,Iphone 11
2237,Iphone 7 Plus
2238,Iphone 6S
2239,Iphone Xr
2240,Iphone 12 Pro Max
2241,Iphone 11
2242,Iphone 6
2243,Iphone 14 Pro Max
2244,Iphone 12 Mini
2245,Iphone 13 Pro Max
2246,Iphone Xs
2247,Iphone 12
2248,Iphone X
2249,Iphone 11
2250,Iphone 12
2251,Iphone 11
2252,Iphone Se 2Da Gen
2253,Iphone Xs
2254,Iphone 8
2255,Iphone 11
2256,Iphone 7
2257,Iphone Xr
2258,Iphone 13
2259,Iphone 8 Plus
2260,Iphone 12 Pro
2261,Iphone Se
2262,Iphone 11
2263,Iphone 12
2264,Iphone 12
2265,Iphone 11
2266,Iphone Xs Max
2267,Iphone Se
2268,Iphone Se
2269,Iphone Se
2270,Iphone 12
2271,Iphone 11
2272,Iphone 11
2273,Iphone 13 Pro Max
2274,Iphone 6S
2275,Iphone 7
2276,Iphone 13
2277,Iphone Se
2278,Iphone 12 Pro Max
2279,Iphone 11
2280,Iphone 7
2281,Iphone 8 Plus
2282,Iphone 7 Plus
2283,Iphone 12
2284,Iphone 8 Plus
2285,Iphone 11
2286,Iphone 8
2287,Iphone 7
2288,Iphone 8
2289,Iphone 8
2290,Iphone 12 Pro
2291,Iphone 13
2292,Iphone 14
2293,Iphone 14 Pro Max
2294,Iphone 14 Pro Max
2295,Iphone 6S
2296,Iphone 12 Pro Max
2297,Iphone 12
2298,Iphone 7
2299,Iphone 5
2300,Iphone 6 Plus
2301,Iphone 7
2302,Iphone Xs
2303,Iphone 12
2304,Iphone 14
2305,Iphone 11
2306,Iphone 12 Pro
2307,Iphone Xr
2308,Iphone 6S
2309,Iphone Xs
2310,Iphone 8
2311,Iphone 7
2312,Iphone 6S Plus
2313,Iphone 11
2314,Iphone 7 Plus
2315,Iphone 11
2316,Iphone 13
2317,Iphone 13 Pro Max
2318,Iphone 12
2319,Iphone 8
2320,Iphone X
2321,Iphone 13
2322,Iphone Se
2323,Iphone 7
2324,Iphone 7
2325,Iphone 11
2326,Iphone 12 Pro Max
2327,Iphone 12
2328,Iphone 11
2329,Iphone 7
2330,Iphone 14
2331,Iphone 11
2332,Iphone 12 Pro Max
2333,Iphone 7 Plus
2334,Iphone Se
2335,Iphone X
2336,Iphone 11
2337,Iphone 6S
2338,Iphone Se 2Da Gen
2339,Iphone 8
2340,Iphone 13
2341,Iphone 12 Pro
2342,Iphone 11
2343,Iphone 12
2344,Iphone Se
2345,Iphone 7 Plus
2346,Iphone Se 3Ra Gen
2347,Iphone 11
2348,Iphone 13
2349,Iphone 13 Pro
2350,Iphone 8
2351,Iphone 12
2352,Iphone 8
2353,Iphone 11
2354,Iphone 8 Plus
2355,Iphone X
2356,Iphone Se
2357,Iphone 11
2358,Iphone 8
2359,Iphone 13
2360,Iphone 14
2361,Iphone 13 Pro Max
2362,Iphone X
2363,Iphone 12 Pro
2364,Iphone 7
2365,Iphone 11
2366,Iphone Se
2367,Iphone 6S
2368,Iphone Xr
2369,Iphone Xr
2370,Iphone 11
2371,Iphone 12 Mini
2372,Iphone 14 Pro Max
2373,Iphone 8 Plus
2374,Iphone 11
2375,Iphone 12
2376,Iphone Xr
2377,Iphone 11
2378,Iphone Se
2379,Iphone Xr
2380,Iphone Xr
2381,Iphone Se
2382,Iphone 7 Plus
2383,Iphone 6S Plus
2384,Iphone 12 Mini
2385,Iphone 12 Mini
2386,Iphone 11
2387,Iphone Se
2388,Iphone 12
2389,Iphone 12 Mini
2390,Iphone Xr
2391,Iphone 12 Pro Max
2392,Iphone 13 Pro
2393,Iphone 12
2394,Iphone 13 Pro Max
2395,Iphone Se
2396,Iphone 12 Pro
2397,Iphone 8
2398,Iphone 13 Pro Max
2399,Iphone 11
2400,Iphone 8
2401,Iphone 12
2402,Iphone 11
2403,Iphone 7
2404,Iphone 12 Mini
2405,Iphone 11
2406,Iphone 11
2407,Iphone Xr
2408,Iphone 12
2409,Iphone 12 Pro
2410,Iphone 7 Plus
2411,Iphone 8
2412,Iphone 7
2413,Iphone Se 2Da Gen
2414,Iphone 11
2415,Iphone 13 Pro
2416,Iphone 7
2417,Iphone Xr
2418,Iphone Xr
2419,Iphone Se 2Da Gen
2420,Iphone 12
2421,Iphone 11
2422,Iphone 13 Pro Max
2423,Iphone 14 Pro
2424,Iphone X
2425,Iphone 13 Pro Max
2426,Iphone Se 2Da Gen
2427,Iphone Xs
2428,Iphone 8
2429,Iphone 7
2430,Iphone 11
2431,Iphone 12
2432,Iphone Xr
2433,Iphone 7
2434,Iphone 12
2435,Iphone 14 Pro
2436,Iphone 12 Mini
2437,Iphone 14 Pro
2438,Iphone 11
2439,Iphone 12
2440,Iphone 13 Pro
2441,Iphone 14 Pro
2442,Iphone 8
2443,Iphone X
2444,Iphone Xr
2445,Iphone 7
2446,Iphone Xs Max
2447,Iphone 11
2448,Iphone X
2449,Iphone Se
2450,Iphone 13
2451,Iphone 11 Pro Max
2452,Iphone 12 Pro
2453,Iphone 7
2454,Iphone 13 Pro Max
2455,Iphone 12 Pro
2456,Iphone 11
2457,Iphone 13 Pro Max
2458,Iphone 11 Pro
2459,Iphone 12 Pro Max
2460,Iphone 13 Pro
2461,Iphone 6
2462,Iphone 11 Pro Max
2463,Iphone 12
2464,Iphone 13
2465,Iphone Se
2466,Iphone Se 2Da Gen
2467,Iphone 12 Pro
2468,Iphone 14 Pro
2469,Iphone Xr
2470,Iphone 6 Plus
2471,Iphone 14
2472,Iphone Se
2473,Iphone Se
2474,Iphone Se
2475,Iphone 12
2476,Iphone X
2477,Iphone 12 Pro Max
2478,Iphone 11
2479,Iphone 12 Mini
2480,Iphone 12
2481,Iphone Se
2482,Iphone X
2483,Iphone 11
2484,Iphone Xs
2485,Iphone Xr
2486,Iphone 12 Mini
2487,Iphone Se
2488,Iphone 11
2489,Iphone 13
2490,Iphone 11
2491,Iphone 11
2492,Iphone Xr
2493,Iphone 13 Pro Max
2494,Iphone 13 Pro Max
2495,Iphone Xs
2496,Iphone 11
2497,Iphone 11
2498,Iphone 12
2499,Iphone 8
2500,Iphone 8 Plus
2501,Iphone X
2502,Iphone 12 Pro Max
2503,Iphone 12
2504,Iphone 11
2505,Iphone Se
2506,Iphone 13 Pro Max
2507,Iphone 14
2508,Iphone 14
2509,Iphone 12
2510,Iphone Xs Max
2511,Iphone 11
2512,Iphone 13
2513,Iphone 12
2514,Iphone 11
2515,Iphone 13
2516,Iphone 13
2517,Iphone 8 Plus
2518,Iphone 12
