,Estandar
302,Samsung A54
303,Samsung A50
304,Samsung A14
305,Samsung S10 Plus
306,Samsung A54
307,Samsung S23
308,Samsung A31
309,Samsung S10
310,Samsung S21 Fe
311,Samsung S22
312,Samsung A20S
313,Samsung S21
314,Samsung A73
315,Samsung A30S
316,Samsung A51
317,Samsung A02S
318,Samsung A72
319,Samsung A01
320,Samsung A03S
321,Samsung S22 Plus
322,Samsung A32
323,Samsung S20 Ultra
324,Samsung A12
325,Samsung A02S
326,Samsung S20 Plus
327,Samsung A31
328,Samsung A04S
329,Samsung A01
330,Samsung S23
331,Samsung A21S
332,Samsung A51
333,Samsung A51
334,Samsung A22
335,Samsung S22
336,Samsung A71
337,Samsung A14
338,Samsung A02S
339,Samsung S22
340,Samsung Note 10 Plus
341,Samsung Note 20 Ultra
342,Samsung S23
343,Samsung S21
344,Samsung A53
345,Samsung S20 Plus
346,Samsung Z Fold 4
347,Samsung A71
348,Samsung A52
349,Samsung A30
350,Samsung A21S
351,Samsung A14
352,Samsung A71
353,Samsung Note 10 Lite
354,Samsung S22 Ultra
355,Samsung A70
356,Samsung A51
357,Samsung A22
358,Samsung S10 Plus
359,Samsung A21S
360,Samsung S20 Plus
361,Samsung A11
362,Samsung A32
363,Samsung A50
364,Samsung A12
365,Samsung A54
366,Samsung A04
367,Samsung S21 Fe
368,Samsung A03
369,Samsung S22 Ultra
370,Samsung Note 20
371,Samsung A70
372,Samsung S21 Plus
373,Samsung A03
374,Samsung S20 Fe
375,Samsung A03
376,Samsung Z Flip 3
377,Samsung A13
378,Samsung S23
379,Samsung A02
380,Samsung A03
381,Samsung A54
382,Samsung A21S
383,Samsung A03
384,Samsung A34
385,Samsung A32
386,Samsung A14
387,Samsung A23
388,Samsung A13
389,Samsung A32
390,Samsung Z Flip 4
391,Samsung A33
392,Samsung A11
393,Samsung A04
394,Samsung A51
395,Samsung S21 Ultra
396,Samsung S20 Fe
397,Samsung A51
398,Samsung A32
399,Samsung A52
400,Samsung S22
401,Samsung S22 Plus
402,Samsung S20 Fe
403,Samsung S22 Ultra
404,Samsung S10
405,Samsung S21
406,Samsung A33
407,Samsung A32
408,Samsung A21S
409,Samsung Note 20 Ultra
410,Samsung Note 10 Lite
411,Samsung S21 Ultra
412,Samsung S21 Plus
413,Samsung S20 Fe
414,Samsung S22
415,Samsung A71
416,Samsung S10
417,Samsung A70
418,Samsung A30
419,Samsung S22
420,Samsung S21 Ultra
421,Samsung A54
422,Samsung Z Fold 4
423,Samsung A20S
424,Samsung A30S
425,Samsung Z Flip 3
426,Samsung A23
427,Samsung Z Flip 4
428,Samsung S10 Plus
429,Samsung Z Flip 3
430,Samsung A34
431,Samsung S10
432,Samsung A21S
433,Samsung S10
434,Samsung S23 Ultra
435,Samsung S23 Ultra
436,Samsung A50
437,Samsung A20S
438,Samsung A14
439,Samsung S22 Ultra
440,Samsung A30
441,Samsung A23
442,Samsung A21S
443,Samsung A32
444,Samsung A53
445,Samsung A22
446,Samsung A30
447,Samsung A03
448,Samsung A11
449,Samsung A71
450,Samsung A10S
451,Samsung A52
452,Samsung S10
453,Samsung A12
454,Samsung A34
455,Samsung A04S
456,Samsung Note 10 Plus
457,Samsung A30
458,Samsung Note 20
459,Samsung A51
460,Samsung A52
461,Samsung S21 Fe
462,Samsung A30
463,Samsung S10
464,Samsung Note 10
465,Samsung A22
466,Samsung A71
467,Samsung S10 Plus
468,Samsung S20 Plus
469,Samsung A33
470,Samsung Z Flip 4
471,Samsung S23 Ultra
472,Samsung A32
473,Samsung A54
474,Samsung S10 Plus
475,Samsung A12
