,Estandar,precio,precio,precio
,,min,median,mean
123,Motorola Moto G9,80000,80000.0,80000.0
124,Motorola Moto G9 Play,60000,85000.0,180000.0
125,Motorola Moto G9 Plus,70000,120000.0,165000.0
126,Motorola Moto G9 Power,60000,89500.0,110286.0
127,Motorola Moto One,100000,100000.0,100000.0
128,Motorola Moto One Action,70000,92500.0,141000.0
129,Motorola Moto One Fusion,55000,92500.0,100000.0
130,Motorola Moto One Hyper,55000,85000.0,116667.0
131,Motorola Moto One Macro,90000,100000.0,180000.0
132,Motorola Moto Razr 40 Ultra,100000,100000.0,100000.0
133,Motorola Moto X Play,60000,60000.0,60000.0
134,Motorola Moto X4,110000,110000.0,110000.0
135,Motorola Moto Z Play,75000,75000.0,75000.0
136,Motorola Moto Z3 Play,100000,100000.0,100000.0
137,Samsung A01,55000,184995.0,297398.0
138,Samsung A02,55000,115000.0,132143.0
139,Samsung A02S,60000,80000.0,129421.0
140,Samsung A03,55000,119500.0,172562.0
141,Samsung A03S,55000,122500.0,202000.0
142,Samsung A04,65000,100000.0,142543.0
143,Samsung A04S,70000,120000.0,154230.0
144,Samsung A07,90000,90000.0,90000.0
145,Samsung A10,60000,150000.0,162222.0
146,Samsung A10S,60000,95000.0,151750.0
147,Samsung A11,55000,85000.0,141677.0
148,Samsung A12,60000,105000.0,135422.0
149,Samsung A13,60000,142500.0,180958.0
150,Samsung A14,75000,129000.0,137947.0
151,Samsung A20,70000,180000.0,223749.0
152,Samsung A20S,55000,100000.0,175225.0
153,Samsung A21,450000,450000.0,450000.0
154,Samsung A21S,55000,100000.0,166298.0
155,Samsung A22,55000,120000.0,156283.0
156,Samsung A22S,80000,105000.0,105000.0
157,Samsung A23,60000,155000.0,193382.0
158,Samsung A24,70000,110000.0,122500.0
159,Samsung A30,60000,110000.0,157095.0
160,Samsung A30S,65000,85000.0,122083.0
161,Samsung A31,55000,120000.0,186769.0
162,Samsung A32,60000,120000.0,146284.0
163,Samsung A33,59000,160000.0,154473.0
164,Samsung A34,75000,225000.0,224583.0
165,Samsung A50,60000,94995.0,117857.0
166,Samsung A51,60000,100000.0,168924.0
167,Samsung A52,70000,125000.0,149965.0
168,Samsung A52S,70000,150000.0,168870.0
169,Samsung A53,60000,210000.0,227386.0
170,Samsung A54,60000,200000.0,208437.0
171,Samsung A70,70000,120000.0,197316.0
172,Samsung A71,70000,150000.0,208281.0
173,Samsung A72,80000,195000.0,238960.0
174,Samsung A73,65000,280000.0,268889.0
175,Samsung A80,200000,300000.0,260000.0
176,Samsung Note 10,90000,160000.0,191111.0
177,Samsung Note 10 Lite,79000,180000.0,201727.0
178,Samsung Note 10 Plus,80000,250000.0,235714.0
179,Samsung Note 20,90000,300000.0,286481.0
