titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta,pagina
IPhone 11 128G En Perfecto Estado,430000,23-01-2023,18:26:56,"Santiago, Región Metropolitana",56
IPhone XS 64 gb,200000,23-01-2023,18:13:57,"La Reina, Región Metropolitana",56
Iphone 11 de 64 GB nuevo ,380000,23-01-2023,17:33:59,"Estación Central, Región Metropolitana",56
"Iphone 11, 64 GB Negro",330000,23-01-2023,16:55:47,"Santiago, Región Metropolitana",56
"Iphone 11, 64 GB Morado",330000,23-01-2023,16:35:19,"Santiago, Región Metropolitana",56
Carcasas Iphone 13,8000,23-01-2023,16:05:59,"Las Condes, Región Metropolitana",56
IPhone 12 Pro Max,500000,23-01-2023,15:08:07,"Maipú, Región Metropolitana",56
IPhone 7 ,50000,23-01-2023,14:51:20,"Las Condes, Región Metropolitana",56
Pantalla Original Iphone xr,235000,23-01-2023,12:55:42,"La Florida, Región Metropolitana",56
IPhone Xr,80000,23-01-2023,12:20:15,"San Miguel, Región Metropolitana",56
Iphone XR para repuestos,700000,23-01-2023,12:17:32,"La Florida, Región Metropolitana",56
Iphone 7 32gb,450000,23-01-2023,12:12:25,"El Bosque, Región Metropolitana",56
Iphone 14 128 gb,40000,23-01-2023,11:31:42,"Conchalí, Región Metropolitana",56
Iphone 12 negro,110000,23-01-2023,10:39:32,"Buin, Región Metropolitana",56
Aiphone LE-DA,60000,23-01-2023,01:58:27,"Santiago, Región Metropolitana",56
Aiphone LEF-10 Nuevo,10000,23-01-2023,01:55:04,"Santiago, Región Metropolitana",56
IPhone 6 32GB 100% estado de batería,620000,22-01-2023,21:50:14,"Las Condes, Región Metropolitana",56
Tapas iPhone,50000,22-01-2023,21:36:57,"Santiago, Región Metropolitana",56
Carcasas iPhone 13 Pro,430000,22-01-2023,21:23:13,"San Miguel, Región Metropolitana",56
 o permuto iphone 13 pro max,230000,22-01-2023,21:17:00,"Providencia, Región Metropolitana",56
Iphone 13 mini 256gb midnight,250000,22-01-2023,21:15:56,"Providencia, Región Metropolitana",56
Iphone 6 16 gb,320000,22-01-2023,21:11:28,"Pudahuel, Región Metropolitana",56
IPhone 7 Plus,200000,22-01-2023,20:36:58,"Pudahuel, Región Metropolitana",56
IPhone SE 2022 128 GB,10990,22-01-2023,17:07:01,"Colina, Región Metropolitana",56
IPhone 8 rose gold,120000,22-01-2023,15:33:05,"Ñuñoa, Región Metropolitana",56
IPHONE 11 de 64 GB,350000,22-01-2023,13:37:06,"Santiago, Región Metropolitana",56
IPhone XS -256 gb de memoria,135000,21-01-2023,17:54:45,"Providencia, Región Metropolitana",56
Iphone XS 64 gb,35000,21-01-2023,15:16:01,"Puente Alto, Región Metropolitana",56
IPhone XR,100000,21-01-2023,13:53:03,"San Miguel, Región Metropolitana",56
Cable Compatible iPhone 6 7 8 iPad Philips Reforza,150000,21-01-2023,11:53:39,"Providencia, Región Metropolitana",56
IPhone 8 64gb,140000,20-01-2023,21:45:34,"La Cisterna, Región Metropolitana",56
IPhone XS Max,75000,20-01-2023,21:41:25,"Recoleta, Región Metropolitana",56
IPhone 8,700000,20-01-2023,19:00:24,"Providencia, Región Metropolitana",56
"Iphone 5 , bateria impecable",3990,20-01-2023,18:59:03,"Santiago, Región Metropolitana",56
IPhone 6S de 16GB Color Space Gray,10000,20-01-2023,18:31:57,"Santiago, Región Metropolitana",56
IPhone 7 Plus 128GB Jet Black,15990,20-01-2023,18:29:06,"Colina, Región Metropolitana",56
IPhone 8 Plus Gold,130000,20-01-2023,18:08:33,"Cerrillos, Región Metropolitana",56
Iphone 6s space grey 32 gb,4900,20-01-2023,17:10:55,"Pudahuel, Región Metropolitana",56
Iphone 13 128 gb nuevo sellado en caja,5990,20-01-2023,17:05:25,"Providencia, Región Metropolitana",56
Cable Adaptador de Iphone a Entrada Jack 3.5,70000,20-01-2023,16:04:18,"La Florida, Región Metropolitana",56
Carcasas para iPhone ,0,20-01-2023,15:08:04,"Peñalolén, Región Metropolitana",56
Cable cargador de iPhone 11 original,0,20-01-2023,14:16:40,"Santiago, Región Metropolitana",56
Cargador de pared para iphone quick charge tipo c,0,20-01-2023,13:53:55,"La Florida, Región Metropolitana",56
Iphone 8 64GB,0,20-01-2023,13:32:59,"Las Condes, Región Metropolitana",56
"Carcasa Hello Kitty Iphone 4, Iphone 4s, En Caja O",0,20-01-2023,12:19:11,"Providencia, Región Metropolitana",56
Adaptador Lightning A Auxiliar 3.5mm iPhone,0,20-01-2023,12:09:18,"La Florida, Región Metropolitana",56
Iphone 6s plus 64gb,0,20-01-2023,11:57:17,"Macul, Región Metropolitana",56
0,0,0,,0,56
0,0,0,,0,56
0,0,0,,0,56
