titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta,pagina
IPhone 11 en buen estado,450000,12-09-2022,15:00:00,"La Cisterna, Región Metropolitana",94
Iphone 12,550000,12-09-2022,13:58:59,"Quilicura, Región Metropolitana",94
"Iphone 12 128gb negro, nuevo, sellado",320000,12-09-2022,12:50:55,"Providencia, Región Metropolitana",94
Iphone 11 64gb,200000,12-09-2022,11:53:19,"Estación Central, Región Metropolitana",94
Iphone 7 plus,350000,12-09-2022,07:36:11,"Ñuñoa, Región Metropolitana",94
IPhone 11 ,110000,12-09-2022,01:09:20,"Pedro Aguirre Cerda, Región Metropolitana",94
IPhone 11 gris 128 gb,170000,12-09-2022,00:42:29,"Macul, Región Metropolitana",94
IPhone 7 32gb,70000,12-09-2022,00:32:19,"Vitacura, Región Metropolitana",94
"IPhone X. 64 Gb color blanco, liberado",430000,11-09-2022,22:36:00,"Providencia, Región Metropolitana",94
IPhone SE 16 GB Usado,170000,11-09-2022,22:00:04,"La Reina, Región Metropolitana",94
Iphone 7 plus rose,100000,11-09-2022,21:16:00,"Estación Central, Región Metropolitana",94
IPhone 11 de 128GB,300000,11-09-2022,19:51:59,"Maipú, Región Metropolitana",94
Iphone 8 de 64gb,4000,11-09-2022,19:13:47,"Ñuñoa, Región Metropolitana",94
Carcasas para iPhone 11,8900,11-09-2022,18:51:02,"Puente Alto, Región Metropolitana",94
Iphone 7 32gb ,550000,11-09-2022,17:38:21,"Huechuraba, Región Metropolitana",94
Iphone 11 de 128 gb en excelente estado bien cuida,50000,10-09-2022,22:28:51,"Santiago, Región Metropolitana",94
Cable iphone 2 metros,650000,10-09-2022,21:58:19,"Santiago, Región Metropolitana",94
Botón home iphone 6,90000,10-09-2022,13:25:01,"Providencia, Región Metropolitana",94
Iphone 13,430000,10-09-2022,13:10:51,"Providencia, Región Metropolitana",94
IPhone 7 sin accesorios,180000,10-09-2022,11:41:37,"Ñuñoa, Región Metropolitana",94
IPhone 12 Pro,350000,10-09-2022,08:04:33,"Ñuñoa, Región Metropolitana",94
IPhone SE 2020 Nuevo 64gb garantía,250000,10-09-2022,07:42:47,"Estación Central, Región Metropolitana",94
Iphone 7 sin detalles,140000,09-09-2022,21:44:32,"Pudahuel, Región Metropolitana",94
IPhone 12 Negro ,10500,09-09-2022,17:58:42,"Conchalí, Región Metropolitana",94
Iphone SE 2020,110000,09-09-2022,17:32:00,"Maipú, Región Metropolitana",94
IPhone 11,430000,09-09-2022,17:13:59,"Paine, Región Metropolitana",94
2 IPhone 8 ,5000,09-09-2022,15:41:54,"La Florida, Región Metropolitana",94
IPhone 7 ,420000,09-09-2022,14:16:39,"Peñaflor, Región Metropolitana",94
Cámara Trasera Iphone 5,220000,09-09-2022,14:03:02,"Providencia, Región Metropolitana",94
IPhone 7 128 gb,4000,09-09-2022,10:49:21,"Las Condes, Región Metropolitana",94
IPhone 12 verde menta,70000,09-09-2022,09:04:11,"Independencia, Región Metropolitana",94
Carcasa iPhone 12 Burberry,85000,09-09-2022,09:02:33,"Independencia, Región Metropolitana",94
IPhone 12 impecable,400000,09-09-2022,08:57:20,"Independencia, Región Metropolitana",94
Iphone xr 64g,60000,09-09-2022,03:46:15,"Renca, Región Metropolitana",94
2 Carcasas para iPhone 7,600000,09-09-2022,00:59:56,"Las Condes, Región Metropolitana",94
Iphone 7 32 gb,230000,08-09-2022,22:45:25,"Ñuñoa, Región Metropolitana",94
Iphone 7 negro 32 gb muy buen estado,70000,08-09-2022,21:30:19,"Las Condes, Región Metropolitana",94
 iphone 128 ,100000,08-09-2022,20:06:18,"Lo Espejo, Región Metropolitana",94
IPHONE 7  ,600000,08-09-2022,19:44:13,"Peñaflor, Región Metropolitana",94
Iphone 12 ProMax 128g,210000,08-09-2022,17:37:00,"Maipú, Región Metropolitana",94
IPhone XR,30000,08-09-2022,17:34:48,"Ñuñoa, Región Metropolitana",94
IPhone 6s Plus,265000,08-09-2022,17:24:00,"Maipú, Región Metropolitana",94
Iphone 8,0,08-09-2022,14:15:31,"La Florida, Región Metropolitana",94
IPhone 11 pro,0,08-09-2022,13:13:59,"San Bernardo, Región Metropolitana",94
"iPhone Xr usado, en buenas condiciones",0,08-09-2022,10:56:11,"Cerrillos, Región Metropolitana",94
Cargador iPhone completo,0,08-09-2022,07:28:20,"Las Condes, Región Metropolitana",94
IPhone XR ,0,08-09-2022,00:02:27,"Santiago, Región Metropolitana",94
0,0,0,,0,94
0,0,0,,0,94
0,0,0,,0,94
