titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta,pagina
Caja iphone,10000,20-09-2022,19:16:10,"Las Condes, Región Metropolitana",92
Caja Iphone,10000,20-09-2022,18:43:40,"Las Condes, Región Metropolitana",92
IPhone 6s desarme,30000,20-09-2022,15:55:53,"Santiago, Región Metropolitana",92
IPhone 11 con caja y cargador,320000,20-09-2022,15:21:56,"Las Condes, Región Metropolitana",92
Carcasas para iPhone,6000,20-09-2022,14:24:01,"San Ramón, Región Metropolitana",92
IPhone 8 plus 64GB,250000,20-09-2022,12:28:16,"Lo Barnechea, Región Metropolitana",92
Iphone 13 mini 128 gb nuevo de caja sin uso ,700000,20-09-2022,12:08:19,"Ñuñoa, Región Metropolitana",92
Iphone 11 64 gb + Smart Watch Apple Series 3,337500,20-09-2022,10:00:06,"Santiago, Región Metropolitana",92
IPhone 11 de 128gb negro,600000,20-09-2022,00:56:13,"Independencia, Región Metropolitana",92
Iphone 7,75000,19-09-2022,20:16:00,"La Pintana, Región Metropolitana",92
Iphone 8 IMPECABLE,140000,19-09-2022,19:46:20,"Ñuñoa, Región Metropolitana",92
Iphone 11 pro,370000,19-09-2022,18:38:28,"Las Condes, Región Metropolitana",92
Celular iPhone 7 128gb,90000,19-09-2022,18:32:00,"San Miguel, Región Metropolitana",92
"IPHONE SE 3 generación 2022 64gb, blanco",400000,19-09-2022,15:57:30,"Las Condes, Región Metropolitana",92
IPhone 12 pro de 256gb,600000,19-09-2022,15:31:04,"Puente Alto, Región Metropolitana",92
Iphone 7 como nuevo 32gb.,660000,19-09-2022,14:28:45,"Vitacura, Región Metropolitana",92
IPhone 12 Pro 128GB,3000,19-09-2022,11:55:53,"Santiago, Región Metropolitana",92
Carcasa iPhone 11,340000,19-09-2022,11:38:14,"San Miguel, Región Metropolitana",92
IPhone 11 64gb excelente estado ,400000,18-09-2022,19:08:00,"Lampa, Región Metropolitana",92
IPhone XR,130000,18-09-2022,16:32:00,"Colina, Región Metropolitana",92
Iphone 7plus,280000,18-09-2022,15:49:05,"Peñalolén, Región Metropolitana",92
Iphone SE 2020,765000,18-09-2022,15:48:00,"Huechuraba, Región Metropolitana",92
IPHONE 8 usado,500000,18-09-2022,14:56:32,"Santiago, Región Metropolitana",92
IPhone 13,320000,18-09-2022,14:04:57,"Las Condes, Región Metropolitana",92
IPhone 11 Pro 64gb sin detalles,50000,18-09-2022,11:52:01,"Las Condes, Región Metropolitana",92
IPhone XS 256GB,330000,18-09-2022,10:43:18,"Vitacura, Región Metropolitana",92
IPhone 6S,30000,18-09-2022,02:26:34,"Ñuñoa, Región Metropolitana",92
Iphone 11 64 gb,150000,18-09-2022,00:12:12,"La Reina, Región Metropolitana",92
IPhone,50000,18-09-2022,00:05:58,"Conchalí, Región Metropolitana",92
Iphone 8 dorado en estado,600000,17-09-2022,21:09:00,"Lo Barnechea, Región Metropolitana",92
Iphone se 2020 128 gb,500000,17-09-2022,20:21:45,"Providencia, Región Metropolitana",92
 teléfono iphone 6,20000,17-09-2022,09:39:00,"Estación Central, Región Metropolitana",92
Iphone 12 Pro 256gb azul conversable,5500,17-09-2022,07:52:34,"Santiago, Región Metropolitana",92
IPhone 12 64gb,480000,17-09-2022,06:07:58,"Santiago, Región Metropolitana",92
IPhone 6,400000,16-09-2022,22:37:58,"Recoleta, Región Metropolitana",92
Case iphone 11 mica rigida trasera no se dobla,550000,16-09-2022,22:32:18,"Estación Central, Región Metropolitana",92
IPhone 11 Pro Max,300000,16-09-2022,19:22:43,"Conchalí, Región Metropolitana",92
IPhone XR 64 GB + Applewatch SE,7900,16-09-2022,17:37:21,"Macul, Región Metropolitana",92
IPhone 12,130000,16-09-2022,16:20:06,"Santiago, Región Metropolitana",92
Iphone 12 (64gb),340000,16-09-2022,16:16:10,"Las Condes, Región Metropolitana",92
IPhone 8 Buen estado buen cuidado,200000,16-09-2022,16:10:52,"Las Condes, Región Metropolitana",92
Iphone se 2020,0,16-09-2022,14:08:00,"Cerro Navia, Región Metropolitana",92
Flex Cable Plano Boton Home iPhone 6 Plus,0,16-09-2022,13:25:40,"Providencia, Región Metropolitana",92
Renato iPhones SE 2020,0,16-09-2022,12:48:27,"Las Condes, Región Metropolitana",92
IPhone 11 64G,0,15-09-2022,20:24:00,"Ñuñoa, Región Metropolitana",92
Iphone 7,0,15-09-2022,18:48:00,"Lo Barnechea, Región Metropolitana",92
IPhone XR 64 gb Product Red Impecable,0,15-09-2022,18:29:10,"San Bernardo, Región Metropolitana",92
0,0,0,,0,92
0,0,0,,0,92
0,0,0,,0,92
