titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta,pagina
Carcasa Swarovski IPhone 11 Pro,35000,05-01-2023,15:50:43,"Las Condes, Región Metropolitana",61
IPhone 6 Tamaño óptimo,55000,05-01-2023,12:45:27,"Providencia, Región Metropolitana",61
"IPHONE 13 , 128gb",650000,05-01-2023,10:21:39,"San Bernardo, Región Metropolitana",61
Iphone 14 pro max 128 gb,50000,05-01-2023,01:54:27,"Lo Barnechea, Región Metropolitana",61
Iphonne s6,90000,04-01-2023,23:56:57,"Cerro Navia, Región Metropolitana",61
IPhone 7 plus ,150000,04-01-2023,21:40:00,"La Granja, Región Metropolitana",61
IPhone XS como nuevo,1050000,04-01-2023,20:30:31,"Puente Alto, Región Metropolitana",61
IPhone 13 Pro Max 256gb,360000,04-01-2023,16:13:24,"Vitacura, Región Metropolitana",61
Iphone 11 128 G Liberado,950000,04-01-2023,16:04:29,"Las Condes, Región Metropolitana",61
IPhone 13 Pro max,15000,04-01-2023,15:22:58,"Estación Central, Región Metropolitana",61
Cargador carga rápida 20w Iphone,200000,04-01-2023,14:45:14,"La Granja, Región Metropolitana",61
IPhone SE 64 gb,4990,04-01-2023,14:13:15,"San Bernardo, Región Metropolitana",61
"Cable USB Type-C Iphone, 100Cm",180000,04-01-2023,11:14:40,"La Florida, Región Metropolitana",61
Iphone xr,240000,04-01-2023,09:21:04,"Las Condes, Región Metropolitana",61
Iphone 8 64gb,400000,04-01-2023,09:08:03,"Las Condes, Región Metropolitana",61
Iphone SE 2022,40000,03-01-2023,23:50:43,"Las Condes, Región Metropolitana",61
Celular Iphone 6s,3990,03-01-2023,18:42:36,"Pudahuel, Región Metropolitana",61
"Cable Iphone Fast Charge Y Datos, Alta Calidad",60000,03-01-2023,14:43:59,"La Florida, Región Metropolitana",61
IPhone 6s 32GB,820000,03-01-2023,14:15:09,"Maipú, Región Metropolitana",61
IPhone 13 Pro,270000,03-01-2023,13:08:30,"Santiago, Región Metropolitana",61
Iphone X 64 GB Casi Nuevo,650000,03-01-2023,13:02:44,"Providencia, Región Metropolitana",61
Iphone 13 nuevo sellado,500000,03-01-2023,13:02:09,"La Florida, Región Metropolitana",61
IPhone XR 128 gb,375000,03-01-2023,04:00:36,"Santiago, Región Metropolitana",61
IPhone 12 Red poco uso,350000,03-01-2023,02:28:35,"La Cisterna, Región Metropolitana",61
"IPhone 11, 128 gb. Muy buen estado",550000,02-01-2023,23:13:30,"Ñuñoa, Región Metropolitana",61
Iphone 11 64gb,25000,02-01-2023,22:55:36,"La Florida, Región Metropolitana",61
IPhone 12 Rojo Edition,300000,02-01-2023,19:09:27,"Peñalolén, Región Metropolitana",61
IPhone 6 usado con detalle en pantalla,180000,02-01-2023,17:18:27,"Colina, Región Metropolitana",61
IPhone SE 3era generación 256gb ,450000,01-01-2023,23:46:18,"Ñuñoa, Región Metropolitana",61
IPhone 8 64 gb,50000,01-01-2023,21:55:12,"San Ramón, Región Metropolitana",61
Iphone se 2020 ,280000,01-01-2023,19:56:00,"Ñuñoa, Región Metropolitana",61
IPhone Xs Max 256 GB única dueña funcionando todo,300000,01-01-2023,19:42:55,"La Florida, Región Metropolitana",61
IPhone SE ,200000,01-01-2023,17:36:11,"Las Condes, Región Metropolitana",61
IPhone 11 impecable,529990,01-01-2023,15:07:32,"La Florida, Región Metropolitana",61
Iphone 12 64g,2990,01-01-2023,13:04:20,"San Bernardo, Región Metropolitana",61
Iphone 11,27900,31-12-2022,17:28:52,"Lo Barnechea, Región Metropolitana",61
IPhone XR 64gb,700000,31-12-2022,15:45:22,"Calera de Tango, Región Metropolitana",61
IPhone XS Max 256 Gb Oro Como Nuevo,150000,31-12-2022,13:27:57,"Vitacura, Región Metropolitana",61
Cinta Adhesiva Para Baterias iPhone 5 5s 5c 6 6s 7,650000,31-12-2022,13:09:10,"Providencia, Región Metropolitana",61
Cargador Inalambrico Philips Para iPhone Samsung H,800000,31-12-2022,12:06:00,"Providencia, Región Metropolitana",61
IPhone 13 Pro dorado 128 gb ,500000,31-12-2022,08:38:15,"La Reina, Región Metropolitana",61
 iPhone 13 ,330000,30-12-2022,22:58:05,"La Reina, Región Metropolitana",61
IPhone X 64GB,0,30-12-2022,20:01:13,"San Bernardo, Región Metropolitana",61
IPhone 13 5 meses de uso ,0,30-12-2022,17:24:27,"Padre Hurtado, Región Metropolitana",61
IPhone 13 nuevo 256 gb ,0,30-12-2022,16:15:44,"San Miguel, Región Metropolitana",61
IPhone 12 Pro Max 128 gb,0,30-12-2022,13:09:39,"Las Condes, Región Metropolitana",61
Iphone XR como nuevo,0,30-12-2022,12:06:45,"Providencia, Región Metropolitana",61
0,0,0,,0,61
0,0,0,,0,61
0,0,0,,0,61
