titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta,pagina
IPhone 6S 128GB,90000,26-12-2022,14:10:07,"Ñuñoa, Región Metropolitana",63
IPhone 12 Pro Max,600000,26-12-2022,14:06:42,"Peñalolén, Región Metropolitana",63
Carcasa iphone 11 pro max nueva,5000,26-12-2022,13:41:37,"La Reina, Región Metropolitana",63
"IPhone 12 normal , 64GB Impecable ",500000,26-12-2022,13:07:44,"Providencia, Región Metropolitana",63
  Iphone 11,320000,26-12-2022,10:21:38,"Santiago, Región Metropolitana",63
IPHONE SE 2020 2da generacion ,170000,26-12-2022,02:29:36,"Puente Alto, Región Metropolitana",63
IPhone 12 Pro Space Grey,530000,26-12-2022,01:17:35,"Ñuñoa, Región Metropolitana",63
iPhone 11 ,330000,25-12-2022,22:57:18,"Puente Alto, Región Metropolitana",63
Funda carcasa Iphone 14 ,3500,25-12-2022,21:19:51,"Ñuñoa, Región Metropolitana",63
Funda cárcasa iPhone 13 ,3500,25-12-2022,21:19:43,"Ñuñoa, Región Metropolitana",63
Funda iPhone 13 pro ,4000,25-12-2022,21:19:37,"Ñuñoa, Región Metropolitana",63
Funda iPhone 13 ,3000,25-12-2022,21:11:00,"Ñuñoa, Región Metropolitana",63
Funda carcasa para iPhone 14 con colgante ,3500,25-12-2022,21:10:57,"Ñuñoa, Región Metropolitana",63
Iphone se2021,220000,25-12-2022,20:56:00,"La Florida, Región Metropolitana",63
IPhone 12 Pro Grafito,580000,25-12-2022,19:12:14,"Ñuñoa, Región Metropolitana",63
Iphone xr 64G,180000,25-12-2022,17:38:50,"Las Condes, Región Metropolitana",63
IPhone SE 2020 64gb,110000,25-12-2022,14:16:28,"Maipú, Región Metropolitana",63
Iphone 7 rose gold 128 gb,650000,24-12-2022,23:55:57,"Maipú, Región Metropolitana",63
iPhone 12pro max,310000,24-12-2022,20:07:49,"Puente Alto, Región Metropolitana",63
Iphone 11 de 128 gb en perfecto estado,150000,24-12-2022,17:20:06,"Santiago, Región Metropolitana",63
IPhone 256 Space Grey,780000,24-12-2022,17:16:00,"Independencia, Región Metropolitana",63
Iphone 8 ROSE GOLD,420000,24-12-2022,16:43:19,"Ñuñoa, Región Metropolitana",63
IPhone 11 128 GB,190000,24-12-2022,16:32:00,"Quinta Normal, Región Metropolitana",63
Iphone 14 128gb Nuevo Sellado,240000,24-12-2022,16:15:21,"Quilicura, Región Metropolitana",63
Iphone 12 64gb Como Nuevo,82000,24-12-2022,16:14:39,"Quilicura, Región Metropolitana",63
IPhone SE 2020 Red 64GB,8000,24-12-2022,13:44:42,"Santiago, Región Metropolitana",63
IPhone 7 Plus 256 GB,200000,24-12-2022,13:29:36,"Providencia, Región Metropolitana",63
Iphone 6S con caja y accesorios,190000,24-12-2022,10:15:14,"Las Condes, Región Metropolitana",63
Carcasa para iPhone 12 Pro nueva,160000,24-12-2022,02:21:45,"Las Condes, Región Metropolitana",63
Iphone Xr Blanco - 128 Gb,225000,23-12-2022,23:35:15,"Las Condes, Región Metropolitana",63
IPhone 8 256 GB como nuevo 92% batería,80000,23-12-2022,22:26:10,"La Florida, Región Metropolitana",63
IPhone 8 64GB,29900,23-12-2022,20:24:37,"Las Condes, Región Metropolitana",63
Iphone XR en buen estado,200000,23-12-2022,17:56:00,"Puente Alto, Región Metropolitana",63
IPhone 8 ,80000,23-12-2022,17:10:37,"Puente Alto, Región Metropolitana",63
Audífonos inalámbricos para iPhone,400000,23-12-2022,11:22:26,"Ñuñoa, Región Metropolitana",63
Iphone 14 nuevo 128 GB NO ACEPTO MERCADOPAGO,250000,23-12-2022,07:30:51,"Las Condes, Región Metropolitana",63
IPhone 6s 32 GB,15000,22-12-2022,23:55:37,"Maipú, Región Metropolitana",63
Iphone 6 muy poco uso con factura,395000,22-12-2022,23:11:44,"Ñuñoa, Región Metropolitana",63
iPhone 11 32gb,35000,22-12-2022,22:49:21,"La Cisterna, Región Metropolitana",63
Iphone SE 2020 (128 GB) - Blanco,200000,22-12-2022,21:30:24,"Lo Barnechea, Región Metropolitana",63
Carcasas iPhone 11 Pro Max,5900,22-12-2022,20:23:08,"Cerro Navia, Región Metropolitana",63
IPhone 11 NUEVO 64 GB negro,1900,22-12-2022,20:04:38,"Melipilla, Región Metropolitana",63
IPhone 6 con detalle touch ,5900,22-12-2022,18:44:35,"Providencia, Región Metropolitana",63
Iphone X Blanco 64 gb,0,22-12-2022,17:10:59,"Ñuñoa, Región Metropolitana",63
"Camara Trasera Iphone 4, Nueva Y Sellada, ",0,22-12-2022,14:55:59,"Macul, Región Metropolitana",63
Auricular Parlante Interno Speaker Para Iphone 4S,0,22-12-2022,14:53:27,"Macul, Región Metropolitana",63
Kit De Desarme 10 En 1 Compatible iPhone 4s Pental,0,22-12-2022,13:47:08,"Macul, Región Metropolitana",63
0,0,0,,0,63
0,0,0,,0,63
0,0,0,,0,63
