titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta,pagina
IPhone XS 64 Gb,200000,23-02-2023,20:18:59,"Pudahuel, Región Metropolitana",47
IPhone SE2020,150000,23-02-2023,17:17:06,"El Bosque, Región Metropolitana",47
Iphone 11 64 gb,380000,23-02-2023,15:56:01,"Estación Central, Región Metropolitana",47
IPhone SE 2020 64GB,180000,23-02-2023,15:52:45,"Quinta Normal, Región Metropolitana",47
Iphone 12,300000,23-02-2023,12:32:48,"Providencia, Región Metropolitana",47
"Iphone 11 blanco, en perfecto estado",315000,23-02-2023,12:29:16,"Vitacura, Región Metropolitana",47
 IPhone 12 Pro Max,600000,23-02-2023,09:20:55,"Lo Barnechea, Región Metropolitana",47
IPhone 11 de 128gb,360000,23-02-2023,03:24:30,"Santiago, Región Metropolitana",47
IPhone 11 de 128GB,360000,23-02-2023,03:24:24,"Santiago, Región Metropolitana",47
  celular iphone 6,70000,22-02-2023,22:38:06,"Paine, Región Metropolitana",47
IPhone 12 Pro Max 256 Gb,750000,22-02-2023,22:33:14,"Las Condes, Región Metropolitana",47
Iphone xs max,65000,22-02-2023,22:14:45,"San Ramón, Región Metropolitana",47
Telefono iphone 6 plus 16 gb,8990,22-02-2023,21:24:02,"Puente Alto, Región Metropolitana",47
Protector cámara IPhone Pro Max 14,490000,22-02-2023,19:56:48,"Lampa, Región Metropolitana",47
IPhone 12 mini Nuevo,1050000,22-02-2023,17:31:02,"Santiago, Región Metropolitana",47
IPhone 14 pro max 128gb,400000,22-02-2023,16:48:41,"Santiago, Región Metropolitana",47
Iphone 11 de 128 g impecable,899999,22-02-2023,15:37:32,"Puente Alto, Región Metropolitana",47
Apple Iphone 14 Plus,12000,22-02-2023,15:22:30,"San Joaquín, Región Metropolitana",47
Carcasa vans off the wall - todos modelos iPhone,250000,22-02-2023,13:36:07,"Conchalí, Región Metropolitana",47
IPhone 11 (64GB),500000,22-02-2023,12:59:05,"Renca, Región Metropolitana",47
Iphone XS 256 GB,160000,22-02-2023,12:38:35,"Independencia, Región Metropolitana",47
Iphone 12 Blanco,250000,22-02-2023,12:13:03,"Providencia, Región Metropolitana",47
IPhone 8 64GB Liberado Oro rosa - como nuevo,600000,22-02-2023,10:50:24,"Providencia, Región Metropolitana",47
IPhone Xr 64Gb,300000,22-02-2023,10:44:19,"Maipú, Región Metropolitana",47
Iphone 12 pro max,8000,22-02-2023,08:23:45,"Maipú, Región Metropolitana",47
IPhone XS Dorado impecable,600000,21-02-2023,22:34:51,"Las Condes, Región Metropolitana",47
Cajas de IPhone SE y 11,500000,21-02-2023,22:23:27,"Santiago, Región Metropolitana",47
IPhone 12 Pro,65000,21-02-2023,20:11:34,"Providencia, Región Metropolitana",47
"Iphone 11 128gb, Black nuevo",450000,21-02-2023,19:53:36,"Maipú, Región Metropolitana",47
Mi i phone 7 plus tiene una trisadura,330000,21-02-2023,19:40:02,"Maipú, Región Metropolitana",47
IPhone 12 Pro 128 GB,300000,21-02-2023,18:59:02,"Maipú, Región Metropolitana",47
Iphone 11,400000,21-02-2023,17:46:35,"Macul, Región Metropolitana",47
IPhone 11 excelente estado ,690000,21-02-2023,16:32:49,"Ñuñoa, Región Metropolitana",47
IPhone SE 2022,300000,21-02-2023,16:10:22,"Providencia, Región Metropolitana",47
IPHONE 13 + APPLE WATCH S3 38mm,13900,21-02-2023,14:00:59,"Peñaflor, Región Metropolitana",47
 Iphone 64gb Black,4500,21-02-2023,14:00:44,"Puente Alto, Región Metropolitana",47
Bateria iPhone 8 Plus,24000,21-02-2023,13:16:07,"Providencia, Región Metropolitana",47
Auricular iPhone 8 Plus Parlante,8500,21-02-2023,13:16:03,"Providencia, Región Metropolitana",47
Pantalla iPhone 8 Plus Calidad Original,6900,21-02-2023,13:15:37,"Providencia, Región Metropolitana",47
Lente Camara Trasera iPhone 8 Plus Cubierta + Kit,100000,21-02-2023,12:44:28,"Providencia, Región Metropolitana",47
Flex De Carga iPhone 8 Plus 5.5 Jack Audio Dock Y,400000,21-02-2023,12:44:12,"Providencia, Región Metropolitana",47
Iphone SE + accesorios,150000,21-02-2023,11:30:05,"Las Condes, Región Metropolitana",47
IPhone 12 mini 128 gb,650000,21-02-2023,10:56:43,"Ñuñoa, Región Metropolitana",47
Iphone 8 ,300000,21-02-2023,09:24:11,"Santiago, Región Metropolitana",47
IPhone 12 negro 128 gb,40000,21-02-2023,08:43:45,"Santiago, Región Metropolitana",47
IPhone 11,0,20-02-2023,22:44:00,"Maipú, Región Metropolitana",47
Iphone 7 32GB,0,20-02-2023,21:43:31,"Las Condes, Región Metropolitana",47
0,0,0,,0,47
0,0,0,,0,47
0,0,0,,0,47
