titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta,pagina
Iphone 7 usado 256gb,90000,28-11-2022,15:35:30,"Ñuñoa, Región Metropolitana",71
Iphone 12 mini,430000,28-11-2022,15:13:09,"Ñuñoa, Región Metropolitana",71
IPhone 14 Nuevo,750000,28-11-2022,15:09:01,"San Miguel, Región Metropolitana",71
 Iphone 12pro,550000,28-11-2022,14:24:10,"Ñuñoa, Región Metropolitana",71
Iphone 7 32gb ,50000,28-11-2022,14:08:00,"Providencia, Región Metropolitana",71
Pantalla iPhone SE 2020 A Domicilio,20000,28-11-2022,11:59:45,"Santiago, Región Metropolitana",71
Bateria Pila iPhone 5c Instalada a domicilio,16000,28-11-2022,11:59:26,"Santiago, Región Metropolitana",71
Bateria iPhone 6s a Domicilio instalada,17000,28-11-2022,11:59:02,"Santiago, Región Metropolitana",71
Bateria iPhone 11 Instalada a Domicilio,16000,28-11-2022,11:58:45,"Santiago, Región Metropolitana",71
Bateria iPhone 5S Nuevas selladas las Ultimas,300000,28-11-2022,11:57:58,"Santiago, Región Metropolitana",71
IPhone 11 64gb,70000,28-11-2022,11:49:05,"San Miguel, Región Metropolitana",71
Pantalla Originales 100% iPhone a Domicilio,5000,28-11-2022,11:14:01,"Santiago, Región Metropolitana",71
IPhone 6 para repuestos,350000,28-11-2022,04:35:53,"Colina, Región Metropolitana",71
IPhone 12 + AirPods,150000,28-11-2022,00:50:35,"Peñalolén, Región Metropolitana",71
Cargador iPhone original usado,900000,28-11-2022,00:26:49,"San Miguel, Región Metropolitana",71
IPhone 11 Amarillo | Impecable,130000,28-11-2022,00:25:28,"Estación Central, Región Metropolitana",71
Iphone SE 64 GB,120000,27-11-2022,22:13:51,"Las Condes, Región Metropolitana",71
IPhone 13 Pro Max,20000,27-11-2022,21:22:24,"Providencia, Región Metropolitana",71
Iphone 8,200000,27-11-2022,20:56:48,"El Bosque, Región Metropolitana",71
IPhone 6 perfecto estado,5000,27-11-2022,20:33:03,"Las Condes, Región Metropolitana",71
Cable lighting a HDMI (iPhone a TV) ,7000,27-11-2022,20:31:18,"Santiago, Región Metropolitana",71
IPhone 8 Plus,650000,27-11-2022,18:13:43,"Vitacura, Región Metropolitana",71
Carcasas IPhone 8,29900,27-11-2022,16:45:49,"Providencia, Región Metropolitana",71
Carcasas IPhone 11,135000,27-11-2022,16:45:02,"Providencia, Región Metropolitana",71
Iphone 13 (128 GB) Azul Medianoche,80000,27-11-2022,15:32:00,"Las Condes, Región Metropolitana",71
Iphone 6 plus para repuesto,1000000,27-11-2022,14:43:56,"Santiago, Región Metropolitana",71
IPhone 8,6990,27-11-2022,13:46:40,"Quinta Normal, Región Metropolitana",71
IPhone 7 con carcasa,8990,27-11-2022,11:19:46,"Independencia, Región Metropolitana",71
IPhone 13 ProMax Grafito,250000,26-11-2022,23:56:18,"Santiago, Región Metropolitana",71
Puerto de carga Iphone 6s Plus,100000,26-11-2022,23:24:26,"La Reina, Región Metropolitana",71
Puerto de Carga Iphone X,50000,26-11-2022,23:24:10,"La Reina, Región Metropolitana",71
IPHONE XR 64gb,550000,26-11-2022,22:27:50,"Santiago, Región Metropolitana",71
IPhone 7 128gb,60000,26-11-2022,20:15:45,"Ñuñoa, Región Metropolitana",71
IPhone 6s 32 gb,350000,26-11-2022,16:18:33,"Peñalolén, Región Metropolitana",71
IPhone 12 128GB,80000,26-11-2022,15:59:34,"Santiago, Región Metropolitana",71
Iphone 6s usado pero en buenas condiciones,445000,26-11-2022,15:32:00,"La Florida, Región Metropolitana",71
IPhone 11 excelente estado,10000,26-11-2022,14:49:59,"San Joaquín, Región Metropolitana",71
IPhone 7 plus,10000,26-11-2022,13:58:32,"Maipú, Región Metropolitana",71
Celular iPhone pro max 64gb ,14500,26-11-2022,13:29:49,"Las Condes, Región Metropolitana",71
Carcasa Iphone 11 SUAIOCE Original,11990,26-11-2022,13:26:33,"Santiago, Región Metropolitana",71
Carcasa rígida IPhone 11 / 11pro Nillkin,14500,26-11-2022,13:18:12,"Santiago, Región Metropolitana",71
OFERTA Batería Iphone 6 + Kit De Desarme,350000,26-11-2022,13:07:25,"Providencia, Región Metropolitana",71
Oferta Batería Iphone 6s Plus + Kit De Desarme,20000,26-11-2022,13:01:43,"Providencia, Región Metropolitana",71
OFERTA Batería Iphone 5s + Kit De Desarme,0,26-11-2022,12:50:06,"Providencia, Región Metropolitana",71
OFERTA Batería Iphone 5 + Kit De Desarme,0,26-11-2022,12:49:47,"Providencia, Región Metropolitana",71
Iphone 11 pro de 256 gb,0,25-11-2022,23:57:29,"Santiago, Región Metropolitana",71
IPhone 12 carcasas,0,25-11-2022,19:23:45,"Puente Alto, Región Metropolitana",71
0,0,0,,0,71
0,0,0,,0,71
0,0,0,,0,71
