titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta,pagina
Iphone 11 64gb Rojo,340000,25-11-2022,18:23:59,"Padre Hurtado, Región Metropolitana",72
Iphone SE 2020 (segunda generacion),170000,25-11-2022,17:48:35,"Las Condes, Región Metropolitana",72
Iphone 7 plus,100000,25-11-2022,17:45:27,"Maipú, Región Metropolitana",72
IPhone 7 Blanco,790000,25-11-2022,12:26:51,"Las Condes, Región Metropolitana",72
Iphone 14 128 Gb usado un día ,50000,25-11-2022,11:17:45,"Lo Barnechea, Región Metropolitana",72
Iphone 6 como nuevo impecable,17000,25-11-2022,10:44:23,"Las Condes, Región Metropolitana",72
Bateria iPhone 6 Plus Instalada Domicilio,32000,25-11-2022,08:56:22,"Santiago, Región Metropolitana",72
Pantalla IPhone 6 PLUS a Domicilio,17000,25-11-2022,08:56:01,"Santiago, Región Metropolitana",72
Baterias iPhone 6 Instalada a Domicilio,36000,25-11-2022,08:55:58,"Santiago, Región Metropolitana",72
Bateria iPhone X Calidad Superior a Domicilio,18000,25-11-2022,08:55:55,"Santiago, Región Metropolitana",72
Bateria iPhone 8 y 8 Plus Instalada a domicilio,230000,25-11-2022,08:53:56,"Santiago, Región Metropolitana",72
Iphone se 2da generacion,150000,25-11-2022,00:29:47,"Ñuñoa, Región Metropolitana",72
Iphone XS Max 64gb,125000,24-11-2022,23:13:44,"Recoleta, Región Metropolitana",72
iphone 7,7000,24-11-2022,21:30:34,"Lampa, Región Metropolitana",72
IPHONE 8 pantalla rota,500000,24-11-2022,20:58:00,"La Florida, Región Metropolitana",72
Carcasa Vans iPhone XR,20000,24-11-2022,20:32:45,"Maipú, Región Metropolitana",72
IPhone 12 ,259990,24-11-2022,16:44:33,"Maipú, Región Metropolitana",72
Carcasa iPhone 11 pro Max,51990,24-11-2022,15:10:16,"Ñuñoa, Región Metropolitana",72
Pantalla Compatible con iPhone 13 - C/O,159990,24-11-2022,14:27:37,"Santiago, Región Metropolitana",72
Pantalla Compatible con iPhone Xs Max - INCELL,108990,24-11-2022,14:27:01,"Santiago, Región Metropolitana",72
Pantalla Compatible con iPhone 13 - INCELL,164990,24-11-2022,14:14:46,"Santiago, Región Metropolitana",72
Pantalla Compatible con iPhone 12 Mini INCELL,149990,24-11-2022,14:12:53,"Santiago, Región Metropolitana",72
Pantalla Compatible con iPhone 12 Mini OLED,102990,24-11-2022,14:12:48,"Santiago, Región Metropolitana",72
Pantalla Compatible con iPhone 12 PRO MAX - INCELL,119990,24-11-2022,14:12:33,"Santiago, Región Metropolitana",72
Pantalla Compatible con iPhone 12 PRO - INCELL,65000,24-11-2022,14:08:13,"Santiago, Región Metropolitana",72
IPhone 11 64 gb,119990,24-11-2022,13:50:43,"Recoleta, Región Metropolitana",72
Pantalla Compatible con iPhone 12 PRO - OLED,102990,24-11-2022,12:37:04,"Santiago, Región Metropolitana",72
Iphone 6s,830000,24-11-2022,12:25:22,"Quilicura, Región Metropolitana",72
Pantalla Compatible con iPhone 12 Oled,350000,24-11-2022,11:28:49,"Santiago, Región Metropolitana",72
Pantalla Compatible con iPhone 11 Pro Max - OLED,44990,24-11-2022,11:26:04,"Santiago, Región Metropolitana",72
Iphone 13 128gb,600000,24-11-2022,11:20:36,"Quinta Normal, Región Metropolitana",72
Iphone 11 64 gb,5000,24-11-2022,11:18:21,"San Joaquín, Región Metropolitana",72
Pantalla Compatible con iPhone 11 Pro - INCELL,8000,24-11-2022,11:10:38,"Santiago, Región Metropolitana",72
IPhone 12pro max 128,8000,24-11-2022,10:52:11,"Huechuraba, Región Metropolitana",72
Carcasas Iphone 11 y 12 Pro Max,8000,24-11-2022,09:20:30,"La Florida, Región Metropolitana",72
Carcasas The Beatles para IPhone 7/8 SE 2020,15000,23-11-2022,23:48:34,"Santiago, Región Metropolitana",72
Carcasa para IPhone 12 Pro Max,8000,23-11-2022,23:48:22,"Santiago, Región Metropolitana",72
Carcasas Pac Man para IPhone 7/8 SE 2020,8000,23-11-2022,23:42:35,"Santiago, Región Metropolitana",72
Carcasa Iphone 13 pro de Orlando Universal,150000,23-11-2022,23:13:43,"Santiago, Región Metropolitana",72
Carcasa Iphone 13 y 13 pro,1250000,23-11-2022,23:12:30,"Santiago, Región Metropolitana",72
Carcasas 360 para IPhone,210000,23-11-2022,22:07:04,"Santiago, Región Metropolitana",72
IPhone SE 2020 semi nuevo,70000,23-11-2022,21:32:34,"Puente Alto, Región Metropolitana",72
  iPhone 14 pro max ,100000,23-11-2022,20:36:27,"Santiago, Región Metropolitana",72
Iphone Xs Max en perfecto estado,140000,23-11-2022,18:44:49,"Santiago, Región Metropolitana",72
Iphone 7 en buen estado,0,23-11-2022,18:44:10,"Santiago, Región Metropolitana",72
Iphone 7 32 G,0,23-11-2022,18:40:10,"Lo Barnechea, Región Metropolitana",72
Iphone 8 plus en perfecto estado,0,23-11-2022,18:37:07,"Santiago, Región Metropolitana",72
0,0,0,,0,72
0,0,0,,0,72
0,0,0,,0,72
