titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta,pagina
Iphone xr 64gb seminuevo,220000,24-10-2022,18:25:40,"Ñuñoa, Región Metropolitana",82
Iphone 8 plus,180000,24-10-2022,18:13:54,"La Cisterna, Región Metropolitana",82
Iphone 8 plus negro,170000,24-10-2022,15:40:00,"La Florida, Región Metropolitana",82
IPhone 13 128Gb Casi nuevo,650000,24-10-2022,11:50:42,"La Florida, Región Metropolitana",82
Lente de cámara trasera iphone 12 pro,7500,24-10-2022,11:48:26,"Providencia, Región Metropolitana",82
IPhone 13 pro 128 gb,700000,24-10-2022,00:59:00,"Quinta Normal, Región Metropolitana",82
Iphone 11 PRO MAX,500000,24-10-2022,00:43:39,"Las Condes, Región Metropolitana",82
Iphone 7 de 32gb,70000,24-10-2022,00:43:28,"Santiago, Región Metropolitana",82
IPhone 7 Plus,100000,23-10-2022,23:37:48,"Santiago, Región Metropolitana",82
Carcasa Multifuncional Para Iphone,20000,23-10-2022,22:38:15,"Puente Alto, Región Metropolitana",82
iPhone 11 Pro Max. 256 gb,450000,23-10-2022,21:20:49,"Santiago, Región Metropolitana",82
IPhone 11 Pro Max 64gb,400000,23-10-2022,19:11:19,"Pudahuel, Región Metropolitana",82
"Iphone 6s Plus, Blanco, 64 Gb",75000,23-10-2022,18:58:36,"Independencia, Región Metropolitana",82
IPhone XR de 64 gigas,210000,23-10-2022,18:56:00,"Lo Prado, Región Metropolitana",82
IPhone 6 64GB,85000,23-10-2022,18:24:48,"Pudahuel, Región Metropolitana",82
Iphone7 32gb,50000,23-10-2022,16:03:10,"Las Condes, Región Metropolitana",82
IPhone XS max,380000,23-10-2022,15:48:00,"Peñalolén, Región Metropolitana",82
IPhone 11,350000,23-10-2022,15:37:38,"Colina, Región Metropolitana",82
IPhone 6 Plus excelente estado,100000,23-10-2022,14:38:41,"Ñuñoa, Región Metropolitana",82
IPhone 12 Pro 128 GB,600000,23-10-2022,14:09:34,"Puente Alto, Región Metropolitana",82
IPhone SE. Color Gris. 64 GB. Seminuevo,100000,23-10-2022,13:57:26,"Lampa, Región Metropolitana",82
Iphone 12 pro 256gb,680000,23-10-2022,10:52:47,"Peñalolén, Región Metropolitana",82
Soporte o Stand de Carga IPhone y Apple Wacht,10000,23-10-2022,10:44:58,"San Miguel, Región Metropolitana",82
IPhone SE (2020) ESCUCHO OFERTAS,4000,23-10-2022,10:39:45,"Santiago, Región Metropolitana",82
Carcasa iPhone 13 mini,1290000,23-10-2022,10:30:32,"Renca, Región Metropolitana",82
IPhone 13 Pro Max 1TB,700000,23-10-2022,10:30:27,"Macul, Región Metropolitana",82
IPhone 12 Pro Max,120000,22-10-2022,23:09:42,"Independencia, Región Metropolitana",82
IPhone 7 32 gb excelentes condiciones,45000,22-10-2022,22:28:46,"Santiago, Región Metropolitana",82
Lote de 80 carcasas IPhone,180000,22-10-2022,19:20:40,"Santiago, Región Metropolitana",82
IPHONE 6 Desbloqueado,320000,22-10-2022,18:15:12,"Providencia, Región Metropolitana",82
IPhone SE 2020 64Gb Rojo Impecable Hermoso,250000,22-10-2022,16:39:14,"Recoleta, Región Metropolitana",82
IPhone XR usado ,420000,22-10-2022,16:32:00,"La Florida, Región Metropolitana",82
IPhone 7,5990,22-10-2022,16:14:06,"El Bosque, Región Metropolitana",82
IPhone XS 64gb ,130000,22-10-2022,15:37:18,"Puente Alto, Región Metropolitana",82
IPhone 12 mini 64 gb ,140000,22-10-2022,15:35:29,"Puente Alto, Región Metropolitana",82
Carcasa iPhone 7 8 plus,830000,22-10-2022,14:24:23,"La Florida, Región Metropolitana",82
Iphone 7 silver 32 GB usado,3200,22-10-2022,14:21:15,"Cerrillos, Región Metropolitana",82
IPhone 7 Negro Mate,70000,22-10-2022,14:06:53,"Las Condes, Región Metropolitana",82
Iphone 13 Pro 256 GB,380000,22-10-2022,12:52:15,"Las Condes, Región Metropolitana",82
Bandeja Porta Nano Sim Para Iphone 6s,190000,22-10-2022,12:29:30,"Providencia, Región Metropolitana",82
Iphone 7 black,450000,22-10-2022,12:27:48,"La Pintana, Región Metropolitana",82
Iphone 11,380000,21-10-2022,23:28:52,"Macul, Región Metropolitana",82
Iphone SE 2da G,5990,21-10-2022,23:18:56,"Lampa, Región Metropolitana",82
Iphone 11 256 gb,79990,21-10-2022,22:24:01,"Ñuñoa, Región Metropolitana",82
IPhone XS 256 Gb space gray,0,21-10-2022,16:58:48,"Las Condes, Región Metropolitana",82
Cable Adaptador De Iphone A Plug 3.5Mm,0,21-10-2022,16:43:06,"La Florida, Región Metropolitana",82
Iphone 6,0,21-10-2022,16:37:55,"Las Condes, Región Metropolitana",82
0,0,0,,0,82
0,0,0,,0,82
0,0,0,,0,82
