titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta,pagina
Iphone 7 rosado de 32gb,75000,30-08-2022,17:25:46,"San Bernardo, Región Metropolitana",97
IPhone X 64GB,150000,30-08-2022,17:16:37,"Renca, Región Metropolitana",97
IPHONE 12 (64gb),500000,30-08-2022,13:06:52,"Santiago, Región Metropolitana",97
Iphone 8 rose 64gb conversable,150000,30-08-2022,11:22:31,"Peñalolén, Región Metropolitana",97
Iphone 13 liberado,650000,30-08-2022,03:37:16,"Maipú, Región Metropolitana",97
Carcasa iPhone 12/ 12pro,130000,29-08-2022,22:29:35,"Cerrillos, Región Metropolitana",97
Iphone SE 2020 negro 64GB,9000,29-08-2022,20:23:56,"La Reina, Región Metropolitana",97
Iphone 8 64g,140000,29-08-2022,17:16:00,"La Cisterna, Región Metropolitana",97
Tripoide para celular iphone y android con control,900000,29-08-2022,17:08:30,"Ñuñoa, Región Metropolitana",97
IPhone 8 excelente estado,170000,29-08-2022,17:08:07,"San Bernardo, Región Metropolitana",97
Iphone 13 pro max 128gb 100%bateria,5000,29-08-2022,17:01:21,"El Bosque, Región Metropolitana",97
Iphone SE 2 generacion,300000,29-08-2022,16:56:28,"Ñuñoa, Región Metropolitana",97
Cable conector para iphone y apple watch,50000,29-08-2022,16:00:34,"Huechuraba, Región Metropolitana",97
IPhone SE 2da generación 128gb. Perfecto estado,650000,29-08-2022,15:24:00,"La Florida, Región Metropolitana",97
IPhone 6s 32 GB,600000,29-08-2022,13:51:01,"Las Condes, Región Metropolitana",97
Iphone XS 256GB,300000,29-08-2022,13:02:52,"Santiago, Región Metropolitana",97
Iphone 13 nuevo,140000,29-08-2022,12:04:14,"Conchalí, Región Metropolitana",97
IPhone 11 pro 64 gb,110000,29-08-2022,11:12:13,"Vitacura, Región Metropolitana",97
Iphone x 256gb SOLO EFECTIVO,4490,29-08-2022,09:58:51,"Santiago, Región Metropolitana",97
IPhone 7 plus,220000,28-08-2022,21:44:34,"La Reina, Región Metropolitana",97
IPhone 7 Plus ,70000,28-08-2022,18:43:24,"San Bernardo, Región Metropolitana",97
Cable De Carga USB Tipo C A Lightning Para iPhone,800000,28-08-2022,17:41:46,"La Florida, Región Metropolitana",97
IPhone XR 64gb,40000,28-08-2022,17:15:38,"Lampa, Región Metropolitana",97
"IPhone 7, 32 GB. IMPECABLE",40000,28-08-2022,15:52:03,"La Reina, Región Metropolitana",97
IPhone 13 pro 128 GB,350000,28-08-2022,15:02:45,"Puente Alto, Región Metropolitana",97
Iphone 5s 16 gb,210000,28-08-2022,12:41:52,"San Joaquín, Región Metropolitana",97
Iphone 6s 16gb,150000,28-08-2022,00:18:24,"Pudahuel, Región Metropolitana",97
Iphone 11,160000,27-08-2022,18:45:56,"Providencia, Región Metropolitana",97
Phone plus excelente estado,395000,27-08-2022,17:57:08,"Las Condes, Región Metropolitana",97
IPhone se 64GB,22990,27-08-2022,17:54:15,"Lampa, Región Metropolitana",97
IPhone SE,380000,27-08-2022,16:47:10,"Vitacura, Región Metropolitana",97
Celular iphone 4 mini,150000,27-08-2022,16:36:02,"Santiago, Región Metropolitana",97
Iphone xr 128 gb,1000000,27-08-2022,13:18:52,"Santiago, Región Metropolitana",97
IPhone 11 (64 Gb) + Accesorios,55000,27-08-2022,12:36:11,"Providencia, Región Metropolitana",97
Instalación de botón home iphone 6s plus,950000,27-08-2022,12:29:16,"Providencia, Región Metropolitana",97
IPhone 11 128GB 86%,6000,27-08-2022,11:16:55,"La Reina, Región Metropolitana",97
iPhone SE 2021,4000,27-08-2022,08:50:55,"Quinta Normal, Región Metropolitana",97
IPhone SE2020,250000,26-08-2022,23:43:11,"Colina, Región Metropolitana",97
IPhone 12 Pro Max como nuevo,80000,26-08-2022,21:47:58,"Colina, Región Metropolitana",97
IPhone 5S rosado 16 gb,24900,26-08-2022,21:21:45,"San Bernardo, Región Metropolitana",97
Mi IPhone 13 Pro Max,40000,26-08-2022,19:22:12,"Independencia, Región Metropolitana",97
Carcaza iPhone 12 Pro,0,26-08-2022,18:08:03,"Las Condes, Región Metropolitana",97
Cable Lightning 1m Compatible Con iPhone 5 6 7 8 X,0,26-08-2022,17:17:24,"La Florida, Región Metropolitana",97
Iphone XR 64gb - Color negro,0,26-08-2022,15:25:31,"Las Condes, Región Metropolitana",97
IPhone 7 32 GB,0,26-08-2022,14:08:00,"Las Condes, Región Metropolitana",97
Botón home iphone 7 plus,0,26-08-2022,13:08:22,"Providencia, Región Metropolitana",97
Iphone 6s 128gb AVERIADO,0,26-08-2022,12:10:28,"Providencia, Región Metropolitana",97
0,0,0,,0,97
0,0,0,,0,97
0,0,0,,0,97
