titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta,pagina
Carcasa rosada de iPhone X,2000,01-12-2022,22:12:39,"San Miguel, Región Metropolitana",70
Carcasa de Draco Malfoy iPhone x,3000,01-12-2022,22:11:44,"San Miguel, Región Metropolitana",70
Carcasa morada de iPhone X,2000,01-12-2022,22:10:56,"San Miguel, Región Metropolitana",70
Carcasa verde de iPhone X,2000,01-12-2022,22:06:44,"San Miguel, Región Metropolitana",70
IPhone 12 pro,700000,01-12-2022,21:20:07,"Renca, Región Metropolitana",70
Cable usb cargar rápida para iPhone,3000,01-12-2022,21:13:01,"Puente Alto, Región Metropolitana",70
IPhone 7PLUS Rosado/Rosegold,150000,01-12-2022,20:37:29,"Ñuñoa, Región Metropolitana",70
IPhone XR,300000,01-12-2022,20:28:56,"La Florida, Región Metropolitana",70
IPhone 11 nuevo 256GB,400000,01-12-2022,20:17:40,"San Miguel, Región Metropolitana",70
IPhone 13 Pro Max 256gb,780000,01-12-2022,20:03:57,"Buin, Región Metropolitana",70
IPhone 12,450000,01-12-2022,19:09:41,"La Florida, Región Metropolitana",70
IPHONE XS 64gb,90000,01-12-2022,18:35:47,"Quilicura, Región Metropolitana",70
Cargador iphone pro max de 20w,16990,01-12-2022,17:23:23,"San Bernardo, Región Metropolitana",70
Carcasa 3D Iphone 11 Toy Story,6000,01-12-2022,13:46:14,"Recoleta, Región Metropolitana",70
IPhone 12 mini ,650000,01-12-2022,13:44:31,"La Florida, Región Metropolitana",70
IPhone 12 Pro,170000,30-11-2022,23:09:01,"La Florida, Región Metropolitana",70
IPhone 7 listo para usar,650000,30-11-2022,20:28:24,"Las Condes, Región Metropolitana",70
Iphone 12 pro max,380000,30-11-2022,19:14:29,"La Florida, Región Metropolitana",70
"IPhone 11,64g",480000,30-11-2022,18:08:00,"Macul, Región Metropolitana",70
Iphone 11 pro max silver,8990,30-11-2022,15:04:39,"Puente Alto, Región Metropolitana",70
Bandeja SIM IPhone XS Max,5990,30-11-2022,12:45:30,"Providencia, Región Metropolitana",70
Lámina Anti Espía Pantalla Y Cámara Para Iphone,799000,30-11-2022,12:33:56,"Providencia, Región Metropolitana",70
Iphone 13 pro color oro 256 gb,230000,30-11-2022,11:40:04,"Santiago, Región Metropolitana",70
Iphone SE Negro,70000,30-11-2022,11:13:26,"Maipú, Región Metropolitana",70
IPhone 7 perfectas condiciones,250000,30-11-2022,06:28:29,"San Miguel, Región Metropolitana",70
Iphone SE 2020 128 GB,600000,30-11-2022,03:12:52,"San Joaquín, Región Metropolitana",70
IPhone 12 Pro Max 128 gb,800000,30-11-2022,00:57:25,"Las Condes, Región Metropolitana",70
Bateria iPhone 7 y 7 Plus Nuevas Domicilio,155000,29-11-2022,22:48:11,"Santiago, Región Metropolitana",70
Pantalla iPhone 7 Plus Instalada a domicilio,140000,29-11-2022,22:46:13,"Santiago, Región Metropolitana",70
IPhone 13 pro 128 gb,630000,29-11-2022,20:53:50,"Santiago, Región Metropolitana",70
Iphone X 64GB,500000,29-11-2022,20:24:00,"Ñuñoa, Región Metropolitana",70
IPhone 7 128gb,250000,29-11-2022,20:11:54,"Puente Alto, Región Metropolitana",70
IPhone 12 Pro. Impecable,280000,29-11-2022,19:47:20,"Puente Alto, Región Metropolitana",70
IPhone ,300000,29-11-2022,19:39:59,"Lo Espejo, Región Metropolitana",70
Iphone 12 64GB,80000,29-11-2022,19:16:00,"Providencia, Región Metropolitana",70
Iphone SE 2020,250000,29-11-2022,18:51:09,"Providencia, Región Metropolitana",70
"Celular Aiphone XR, 64 GB, rojo, usado",400000,29-11-2022,17:53:49,"Peñalolén, Región Metropolitana",70
Iphone 11 64gb,50000,29-11-2022,15:39:07,"Las Condes, Región Metropolitana",70
IPhone 7 32 gb. Batería al 85%,620000,29-11-2022,15:14:27,"Las Condes, Región Metropolitana",70
Iphone 11 de 256 gb,80000,29-11-2022,12:49:22,"Paine, Región Metropolitana",70
IPhone 12 Rojo,230000,29-11-2022,12:32:03,"Estación Central, Región Metropolitana",70
Iphone 6S,140000,28-11-2022,23:08:27,"Pudahuel, Región Metropolitana",70
IPhone 12 Pro Max ,70000,28-11-2022,22:49:17,"Santiago, Región Metropolitana",70
 iPhone 6,0,28-11-2022,20:58:21,"Cerrillos, Región Metropolitana",70
IPhone X 256gb perfectas condiciones,0,28-11-2022,18:25:49,"Vitacura, Región Metropolitana",70
IPhone 6S Plus,0,28-11-2022,17:12:37,"Providencia, Región Metropolitana",70
IPhone 6,0,28-11-2022,16:36:45,"La Florida, Región Metropolitana",70
0,0,0,,0,70
0,0,0,,0,70
0,0,0,,0,70
