titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta,pagina
IPhone 12 64 GB Negro,325000,20-08-2023,21:07:52,"Las Condes, Región Metropolitana",3
IPhone 12 Pro Max 128GB Pacific Blue,550000,20-08-2023,20:52:44,"Las Condes, Región Metropolitana",3
cable cargador original de iPhone ,9990,20-08-2023,20:32:01,"Ñuñoa, Región Metropolitana",3
IPhone XR 64gb,190000,20-08-2023,16:45:50,"San Miguel, Región Metropolitana",3
IPhone SE con poco uso,70000,20-08-2023,16:14:22,"Maipú, Región Metropolitana",3
Iphone 11,320000,20-08-2023,15:48:01,"La Florida, Región Metropolitana",3
IPhone XR,155000,20-08-2023,13:44:54,"San Joaquín, Región Metropolitana",3
IPhone XS pro MAX,250000,20-08-2023,08:57:46,"La Reina, Región Metropolitana",3
IPhone 11 64GB (Product red) Usado,250000,20-08-2023,04:49:53,"Estación Central, Región Metropolitana",3
Iphone 11 64GB,190000,20-08-2023,03:26:17,"Providencia, Región Metropolitana",3
Iphone 6s rose,55000,20-08-2023,01:19:00,Todo Chile,3
Iphone 5s usado,40000,19-08-2023,23:52:43,"Independencia, Región Metropolitana",3
IPhone XR 64G,250000,19-08-2023,19:23:53,"Santiago, Región Metropolitana",3
"Smartwatch, Reloj Inteligente U8, Android, IPhone",15000,19-08-2023,19:19:07,"Santiago, Región Metropolitana",3
Iphone SE 2 2020,150000,19-08-2023,18:25:52,"Santiago, Región Metropolitana",3
IPhone XR NEGRO Estado 9.8 de 10,280000,19-08-2023,16:30:14,"Las Condes, Región Metropolitana",3
Iphone 13 Pro Max 512 gb - Como Nuevo,870000,19-08-2023,13:47:53,"Las Condes, Región Metropolitana",3
IPhone SE 2020 negro 64GB,150000,19-08-2023,13:29:51,"Melipilla, Región Metropolitana",3
Iphone 13 rosa,500000,19-08-2023,12:36:40,"Providencia, Región Metropolitana",3
IPhone 11 Pro 64G,370000,19-08-2023,11:26:29,"Ñuñoa, Región Metropolitana",3
"IPhone x 256gb impecable, en caja, batería al 100",200000,19-08-2023,10:29:27,"Pudahuel, Región Metropolitana",3
IPhone 7 128gb como nuevo,85000,19-08-2023,09:33:51,"Vitacura, Región Metropolitana",3
IPhones usados,1,19-08-2023,08:14:58,"Las Condes, Región Metropolitana",3
Iphone 13 pro max + apple watch 44mm,710000,19-08-2023,08:00:32,"Puente Alto, Región Metropolitana",3
IPhone XR,220000,18-08-2023,23:48:46,"Puente Alto, Región Metropolitana",3
IPhone 11 de 64GB,280000,18-08-2023,21:55:24,"La Florida, Región Metropolitana",3
IPhone 13 nuevo,500000,18-08-2023,18:59:29,"Macul, Región Metropolitana",3
IPhone 14 pro Max,1050000,18-08-2023,18:26:05,"Santiago, Región Metropolitana",3
IPhone 12 Pro Max 256 GB como nuevo,700000,18-08-2023,18:09:11,"Maipú, Región Metropolitana",3
Iphone X 64 Gb Blanco usado casi nuevo,180000,18-08-2023,18:04:42,"La Florida, Región Metropolitana",3
IPhone 12 Pro 128 GB,650000,18-08-2023,17:44:31,"San Bernardo, Región Metropolitana",3
iPhone 14 normal ,700000,18-08-2023,13:59:12,"Estación Central, Región Metropolitana",3
Iphone XR - Amarillo,200000,18-08-2023,12:03:58,"Santiago, Región Metropolitana",3
Flex De Carga Para Celular Phone 6 Y 6s,8900,18-08-2023,11:21:20,"Macul, Región Metropolitana",3
Boton Home Para IPhone 6 6s 6P 6SP,560000,18-08-2023,11:07:34,"Macul, Región Metropolitana",3
IPhone 12 128 GB Negro 10 de 10 Nuevo,140000,18-08-2023,10:39:44,"Las Condes, Región Metropolitana",3
Iphone se,220000,18-08-2023,10:24:45,"Puente Alto, Región Metropolitana",3
Celular iPhone X 256,63000,18-08-2023,10:15:24,"Providencia, Región Metropolitana",3
Iphone 7 impecable ,650000,18-08-2023,02:45:24,"Quinta Normal, Región Metropolitana",3
IPhone 12 Pro 512 gb,260000,17-08-2023,22:20:37,"Maipú, Región Metropolitana",3
IPhone 11 64 GB,365000,17-08-2023,22:12:01,"La Florida, Región Metropolitana",3
IPhone 11 Pro Max,60000,17-08-2023,19:02:24,"Pirque, Región Metropolitana",3
Iphone 7,270000,17-08-2023,17:59:25,"Providencia, Región Metropolitana",3
"IPhone 11 , 128 GB",4990,17-08-2023,16:05:50,"Puente Alto, Región Metropolitana",3
Bandeja Sim Iphone,220000,17-08-2023,15:50:44,"Santiago, Región Metropolitana",3
IPhone SE 128GB,10000,17-08-2023,15:10:26,"Quinta Normal, Región Metropolitana",3
"32 carcasas protectoras para iphone 6, iphone 7 8",0,17-08-2023,14:43:05,"Las Condes, Región Metropolitana",3
0,0,0,,0,3
0,0,0,,0,3
0,0,0,,0,3
