titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta,pagina
IPhone 7 sin cargador ,80000,10-06-2023,20:24:55,"Pudahuel, Región Metropolitana",22
Iphone,100000,10-06-2023,19:28:27,"Quilicura, Región Metropolitana",22
IPhone 7 impecable,100000,10-06-2023,18:26:30,"Las Condes, Región Metropolitana",22
Iphone se (red) 2020 64gb,160000,10-06-2023,16:56:01,"Santiago, Región Metropolitana",22
Iphone 11 128 gb,250000,10-06-2023,15:26:51,"Lo Barnechea, Región Metropolitana",22
IPhone 13 Pro Max 256 gb- smartwatch SE,1150000,10-06-2023,12:57:41,"Santiago, Región Metropolitana",22
IPhone xr,200000,10-06-2023,12:50:35,"Maipú, Región Metropolitana",22
Celular Gamer Rog Phone 2 COMO NUEVO,350000,09-06-2023,21:03:29,"Santiago, Región Metropolitana",22
  iPhone X,210000,09-06-2023,19:34:49,"Puente Alto, Región Metropolitana",22
IPhone 8 con pantalla trizada,162000,09-06-2023,17:58:38,"El Bosque, Región Metropolitana",22
Cargador Dock De Carga Para Celular iPhone 5 6 7 8,11900,09-06-2023,11:31:57,"Providencia, Región Metropolitana",22
IPhone 11,20000,09-06-2023,08:00:38,"Santiago, Región Metropolitana",22
Técnico especializado en iphone,250000,09-06-2023,01:32:56,"Providencia, Región Metropolitana",22
Iphone 11 64 gb color negro,10000,08-06-2023,22:06:41,"Santiago, Región Metropolitana",22
Pack carcasa iphone 13 pro más 5 láminas de vidrio,270000,08-06-2023,21:34:14,"Las Condes, Región Metropolitana",22
IPhone 11 64gb,320000,08-06-2023,21:24:01,"Estación Central, Región Metropolitana",22
IPhone 11 128GB,190000,08-06-2023,21:16:02,"Lo Prado, Región Metropolitana",22
IPhone SE 2020 2°generación 64GB,450000,08-06-2023,16:16:01,"Las Condes, Región Metropolitana",22
IPhone 12 mini perfecto estado ,180000,08-06-2023,16:09:41,"Maipú, Región Metropolitana",22
IPhone XS,400000,08-06-2023,14:35:04,"Santiago, Región Metropolitana",22
IPhone 12 64gb,800000,08-06-2023,14:10:07,"Santiago, Región Metropolitana",22
Iphone 13 pro max 128gb,65000,08-06-2023,14:03:42,"Santiago, Región Metropolitana",22
Iphone 7 32 GB,300000,07-06-2023,23:43:54,"San Joaquín, Región Metropolitana",22
IPhone 11 Pro como nuevo,50000,07-06-2023,23:01:16,"Maipú, Región Metropolitana",22
Iphone SE 1era generación,250000,07-06-2023,15:45:21,"Providencia, Región Metropolitana",22
IPhone 11,420000,07-06-2023,14:49:30,"San Miguel, Región Metropolitana",22
Iphone 11,260000,07-06-2023,10:17:17,"Santiago, Región Metropolitana",22
IPhone 11 de 64GB,300000,06-06-2023,21:48:02,"Quilicura, Región Metropolitana",22
Iphone XR,500000,06-06-2023,19:08:02,"Buin, Región Metropolitana",22
IPhone 12 ,110000,06-06-2023,18:56:02,"Las Condes, Región Metropolitana",22
IPhone 8 64gb,450000,06-06-2023,17:27:48,"Ñuñoa, Región Metropolitana",22
Iphone 12 128gb,200000,06-06-2023,17:19:35,"Quilicura, Región Metropolitana",22
IPhone XR 64GB EXCELENTE ESTADO,15000,06-06-2023,15:56:48,"Puente Alto, Región Metropolitana",22
Carcasas iPhone 8 Plus,200000,06-06-2023,14:35:30,"Ñuñoa, Región Metropolitana",22
IPhone XR,555000,06-06-2023,14:31:16,"Santiago, Región Metropolitana",22
"IPhone 12, Negro, 64GB",450000,06-06-2023,13:59:10,"Santiago, Región Metropolitana",22
Iphone 12pro gold,300000,06-06-2023,13:53:22,"Conchalí, Región Metropolitana",22
IPhone 11,150000,06-06-2023,12:35:23,"Las Condes, Región Metropolitana",22
IPhone 7 Plus de 128 GB,700000,06-06-2023,11:27:03,"Lo Barnechea, Región Metropolitana",22
Iphone 13 250GB,580000,06-06-2023,10:37:12,"La Cisterna, Región Metropolitana",22
IPhone 13 Pro 128 gb negro,585000,06-06-2023,09:04:41,"Las Condes, Región Metropolitana",22
"IPhone 13 mini usado, 128 gb, verde",190000,05-06-2023,23:23:55,"Las Condes, Región Metropolitana",22
IPhone 13 pro permuto,150000,05-06-2023,22:03:38,"San Bernardo, Región Metropolitana",22
Iphone XR.,250000,05-06-2023,21:40:02,"Puente Alto, Región Metropolitana",22
IPhone xs 2017,85000,05-06-2023,20:32:15,"Maipú, Región Metropolitana",22
"IPhone 11 64GB Blanco, impecable",0,05-06-2023,20:21:49,"Las Condes, Región Metropolitana",22
Iphone 7 - 32GB,0,05-06-2023,19:21:48,"Las Condes, Región Metropolitana",22
0,0,0,,0,22
0,0,0,,0,22
0,0,0,,0,22
