titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta,pagina
IPhone 11 de 64 GB,300000,10-03-2023,15:51:40,"Maipú, Región Metropolitana",43
Batería recargable + cable USB tipo iphone,12980,10-03-2023,15:34:20,"Providencia, Región Metropolitana",43
IPhone se ,180000,10-03-2023,13:28:04,"La Florida, Región Metropolitana",43
Pantalla iPhone 11 a Domicilio,60000,10-03-2023,08:28:16,"Peñalolén, Región Metropolitana",43
Pantallas iPhone Oled a Domicilio,33000,10-03-2023,08:11:01,"Las Condes, Región Metropolitana",43
Bateria iPhone SE 2020 Nuevas selladas,17000,10-03-2023,07:46:51,"Cerrillos, Región Metropolitana",43
Bateria iPhone 6S y 6S Plus a domicilio,250000,10-03-2023,07:46:36,"Huechuraba, Región Metropolitana",43
Bateria iPhone X XR XS XS MAX A Domicilio,300000,10-03-2023,07:46:16,"Santiago, Región Metropolitana",43
Pantalla IPhone 6 PLUS a Domicilio,465000,10-03-2023,07:15:00,"Maipú, Región Metropolitana",43
Bateria iPhone 7 a Domicilio,700000,10-03-2023,07:14:04,"La Florida, Región Metropolitana",43
Iphone XR 64gb Negro,4000,09-03-2023,23:57:54,"Santiago, Región Metropolitana",43
IPhone 11 64GB,5000,09-03-2023,23:47:25,"Maipú, Región Metropolitana",43
Iphone 12 128gb negro,150000,09-03-2023,23:07:37,"Maipú, Región Metropolitana",43
IPhone 13 128 gb 99% de batería,70000,09-03-2023,22:48:39,"Peñalolén, Región Metropolitana",43
Carcaza de iphone 14 hombre,80000,09-03-2023,22:02:15,"El Bosque, Región Metropolitana",43
Carcaza de mujer iphone 11,630000,09-03-2023,21:56:49,"El Bosque, Región Metropolitana",43
Iphone 8 64gb,60000,09-03-2023,21:51:02,"Ñuñoa, Región Metropolitana",43
Celular iphone 7,70000,09-03-2023,20:09:59,"Huechuraba, Región Metropolitana",43
Iphone 7 128gb Rose Gold,75000,09-03-2023,17:56:01,"Ñuñoa, Región Metropolitana",43
Apple iPhone 11 128GB black,45000,09-03-2023,17:48:02,"Cerro Navia, Región Metropolitana",43
IPhone 6 32 gb,720000,09-03-2023,17:06:14,"Las Condes, Región Metropolitana",43
IPhone 7 32 gb,50000,09-03-2023,17:03:31,"Las Condes, Región Metropolitana",43
Iphone SE. En excelente estado,850000,09-03-2023,15:45:21,"Santiago, Región Metropolitana",43
Iphone 6 y Hauwei Y6ii,15000,09-03-2023,12:59:20,"Santiago, Región Metropolitana",43
Iphone 13 Midnight Blue Nuevo en su Caja sellada,10000,09-03-2023,12:52:58,"Las Condes, Región Metropolitana",43
IPhone 6 ,145000,09-03-2023,10:33:17,"Estación Central, Región Metropolitana",43
 IPhone 14 pro max ,100000,09-03-2023,08:19:08,"Providencia, Región Metropolitana",43
Cargador de iphone original,120000,08-03-2023,22:59:43,"Conchalí, Región Metropolitana",43
Caja iPhone ,25980,08-03-2023,22:35:20,"Lo Prado, Región Metropolitana",43
IPhone SE 2020 64 Gb,580000,08-03-2023,21:13:43,"Peñaflor, Región Metropolitana",43
IPhone SE 64gb ,175000,08-03-2023,20:08:03,"Providencia, Región Metropolitana",43
IPhone SE 2020 blanco 64gb,70000,08-03-2023,19:41:03,"Providencia, Región Metropolitana",43
Carcasas Ringke Fusion X para Familia iPhone 12,510000,08-03-2023,17:37:45,"Santiago, Región Metropolitana",43
Iphone 13 colos azul,90000,08-03-2023,16:53:59,"Santiago, Región Metropolitana",43
"IPhone SE 2020, 128 Gb, 1 año uso, 84%",650000,08-03-2023,16:43:21,"Lo Prado, Región Metropolitana",43
IPhone 7 Black 32 GB ,350000,08-03-2023,15:55:02,"Peñalolén, Región Metropolitana",43
IPhone 12 64gb,380000,08-03-2023,15:46:21,"Maipú, Región Metropolitana",43
IPhone 7 32 GB 100%,190000,08-03-2023,14:59:10,"Peñalolén, Región Metropolitana",43
IPhone 13 128gb,110000,08-03-2023,14:31:19,"Vitacura, Región Metropolitana",43
IPhone 11 64 gb,30000,08-03-2023,14:27:27,"Peñalolén, Región Metropolitana",43
IPhone 11 64 gb,33000,08-03-2023,11:22:05,"La Cisterna, Región Metropolitana",43
Iphone se nuevo y sellado Liberado,100000,08-03-2023,00:24:50,"San Bernardo, Región Metropolitana",43
IPhone 8 64g,0,07-03-2023,23:35:17,"Santiago, Región Metropolitana",43
Pantalla iPhone XR Oled a Domicilio,0,07-03-2023,22:59:21,"La Reina, Región Metropolitana",43
Pantalla iPhone 7 7G Instalada a Domicilio,0,07-03-2023,22:20:10,"Puente Alto, Región Metropolitana",43
Pantalla iPhone 8 Plus a Domicilio,0,07-03-2023,22:19:26,"Puente Alto, Región Metropolitana",43
Iphone 7,0,07-03-2023,21:48:01,"Ñuñoa, Región Metropolitana",43
0,0,0,,0,43
0,0,0,,0,43
0,0,0,,0,43
