titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta,pagina
IPhone 12 Pro 128 GB Pacific Blue,700000,21-08-2022,10:50:30,"Vitacura, Región Metropolitana",100
"IPhone 7, 32 GB",75000,20-08-2022,23:44:58,"Ñuñoa, Región Metropolitana",100
"IPhone 11 64GB, como nuevo",330000,20-08-2022,21:05:10,"Santiago, Región Metropolitana",100
Iphone 11 64 GB mas cargador original en caja,380000,20-08-2022,20:59:25,"La Cisterna, Región Metropolitana",100
IPhone 8 con 2 años de uso,130000,20-08-2022,20:24:46,"La Reina, Región Metropolitana",100
IPhone XR 64 GB,250000,20-08-2022,16:59:35,"Providencia, Región Metropolitana",100
"IPhone, 5c como nuevo llegar y usar ",800000,20-08-2022,16:04:52,"San Ramón, Región Metropolitana",100
IPhone 13 Rosado 256GB,24900,20-08-2022,14:08:14,"Curacaví, Región Metropolitana",100
Botón home iphone 8 plus,49900,20-08-2022,14:00:43,"Providencia, Región Metropolitana",100
Flex de carga iphone 13,80000,20-08-2022,13:26:52,"Providencia, Región Metropolitana",100
Cámara trasera iphone se 2020,800000,20-08-2022,13:26:33,"Providencia, Región Metropolitana",100
Iphone 6s plus 128GB,375000,20-08-2022,12:21:35,"Maipú, Región Metropolitana",100
IPhone 13 pro 256 GB Gold,570000,20-08-2022,10:01:36,"Santiago, Región Metropolitana",100
"Iphone 11, color lila, única dueña",80000,20-08-2022,09:14:36,"Santiago, Región Metropolitana",100
"Iphone 12, Color azul, único dueño",50000,20-08-2022,09:14:09,"Santiago, Región Metropolitana",100
IPhone 6s,280000,20-08-2022,08:56:41,"Puente Alto, Región Metropolitana",100
IPhone XS Max ,180000,20-08-2022,02:12:11,"Estación Central, Región Metropolitana",100
IPhone 5 se 32 gb,50000,20-08-2022,01:36:34,"La Florida, Región Metropolitana",100
Iphone 11 64GB,120000,19-08-2022,21:08:00,"Pudahuel, Región Metropolitana",100
IPhone 8 64 GB en muy buen estado,15000,19-08-2022,19:33:32,"Vitacura, Región Metropolitana",100
IPhone 6s plus,120000,19-08-2022,17:48:00,"Maipú, Región Metropolitana",100
Iphone 7 usado,4500,19-08-2022,15:08:00,"Macul, Región Metropolitana",100
Iphone 4S,2500,19-08-2022,13:53:32,"Recoleta, Región Metropolitana",100
IPhone 7plus,450000,19-08-2022,12:14:33,"Maipú, Región Metropolitana",100
"Forro protector, funda, carcasa para iphone",130000,19-08-2022,11:57:13,"Santiago, Región Metropolitana",100
"Protector de pantalla, vidrio templado para iphone",120000,19-08-2022,10:45:42,"Santiago, Región Metropolitana",100
Iphone 12 - 128 GB,110000,19-08-2022,00:39:12,"Macul, Región Metropolitana",100
IPhone 6s más cargador original ,70000,18-08-2022,23:16:21,"La Reina, Región Metropolitana",100
"Celular iphone 7 plus (usado, único dueño):",720000,18-08-2022,21:13:11,"Huechuraba, Región Metropolitana",100
Iphone 7 gold,450000,18-08-2022,20:54:40,"Santiago, Región Metropolitana",100
Iphone 7 plus impecable,6000,18-08-2022,20:23:28,"La Florida, Región Metropolitana",100
"Celular iPhone 7, 32 GB rosado",6000,18-08-2022,19:40:00,"Pudahuel, Región Metropolitana",100
IPhone 12 pro Max,6000,18-08-2022,19:16:00,"La Florida, Región Metropolitana",100
IPhone 11 Pro más Apple Watch serie 3,6000,18-08-2022,18:55:44,"Ñuñoa, Región Metropolitana",100
Cargador de iPhone,550000,18-08-2022,17:37:43,"Cerro Navia, Región Metropolitana",100
Cargador de iPhone,90000,18-08-2022,17:37:03,"Cerro Navia, Región Metropolitana",100
Cargador de iPhone,59990,18-08-2022,17:36:52,"Cerro Navia, Región Metropolitana",100
Cargador de iPhone,900000,18-08-2022,17:31:04,"Cerro Navia, Región Metropolitana",100
IPhone 13,420000,18-08-2022,16:49:07,"La Florida, Región Metropolitana",100
IPhone 7,14990,18-08-2022,16:43:20,"Maipú, Región Metropolitana",100
Iphone 13 pro max,150000,18-08-2022,16:25:37,"La Florida, Región Metropolitana",100
Smallrig para iPhone 13 Pro Max,130000,18-08-2022,14:34:19,"La Cisterna, Región Metropolitana",100
Permuto Iphone 13 pro max 256 gb,0,18-08-2022,14:22:42,"La Florida, Región Metropolitana",100
Iphone 12 de 128,0,18-08-2022,14:09:31,"Estación Central, Región Metropolitana",100
Case iPhone,0,18-08-2022,13:37:40,"Huechuraba, Región Metropolitana",100
IPhone 8 Blanco 64 gb,0,18-08-2022,13:09:53,"Santiago, Región Metropolitana",100
 iPhone 6 Plus ,0,18-08-2022,12:59:34,"Vitacura, Región Metropolitana",100
0,0,0,,0,100
0,0,0,,0,100
0,0,0,,0,100
