titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta,pagina
iPhone 12 Pro max 128 gb ,550000,18-04-2023,20:24:01,"Maipú, Región Metropolitana",34
IPhone 13 pro max 256gb,820000,18-04-2023,15:04:40,"Independencia, Región Metropolitana",34
Iphone 12 128g impecable,450000,18-04-2023,12:56:14,"Ñuñoa, Región Metropolitana",34
IPhone SE 2da generación (64GB),130000,18-04-2023,12:50:32,"El Bosque, Región Metropolitana",34
Iphone 13,620000,17-04-2023,22:21:59,"Independencia, Región Metropolitana",34
Protector De Cámara Para iPhone (vidrio Templado),2500,17-04-2023,18:08:02,"Ñuñoa, Región Metropolitana",34
Carcasa Para iPhone Compatible Con Magsafe Trans,7500,17-04-2023,18:06:26,"Ñuñoa, Región Metropolitana",34
 Iphone 8,160000,17-04-2023,18:05:05,"Santiago, Región Metropolitana",34
Malla Protectora Para Parlantes De iPhone,2000,17-04-2023,18:02:49,"Ñuñoa, Región Metropolitana",34
Iphone 12 pro 128 gb,540000,17-04-2023,17:18:01,"Lo Barnechea, Región Metropolitana",34
Iphone 7 32 gb,70000,17-04-2023,14:49:24,"Peñalolén, Región Metropolitana",34
Cargador de iphone (+cable) carga rápida,18000,17-04-2023,14:32:03,"Puente Alto, Región Metropolitana",34
IPhone 11 Nuevo,360000,17-04-2023,11:55:44,"Santiago, Región Metropolitana",34
Iphone7 32GB,85000,17-04-2023,11:51:34,"San Miguel, Región Metropolitana",34
"IPhone 13 , 128gb rosa",650000,17-04-2023,10:22:34,"Santiago, Región Metropolitana",34
IPhone 8 64 GB,115000,17-04-2023,05:42:40,"Ñuñoa, Región Metropolitana",34
Iphone 7 32 GB,70000,17-04-2023,03:19:22,"Renca, Región Metropolitana",34
IPhone 11 de 64g,5000,17-04-2023,01:01:48,"San Miguel, Región Metropolitana",34
Carcasas/fundas de iPhone ,5000,16-04-2023,22:43:51,"Las Condes, Región Metropolitana",34
Carcasa iPhone 13 pro,190000,16-04-2023,21:48:16,"Providencia, Región Metropolitana",34
IPhone XR excelente estado,200000,16-04-2023,21:08:03,"Lampa, Región Metropolitana",34
Iphone xr,210000,16-04-2023,18:26:02,"La Reina, Región Metropolitana",34
iPhone XR 64GB,2000,16-04-2023,17:01:42,"Puente Alto, Región Metropolitana",34
Forros IPHONE 13 Color Purpura -Azul,2500,16-04-2023,16:54:16,"Providencia, Región Metropolitana",34
Forros IPHONE 13 Plástico Rosado Amarillo,3500,16-04-2023,16:47:51,"Providencia, Región Metropolitana",34
Carcasas para IPhone,450000,16-04-2023,16:28:21,"Santiago, Región Metropolitana",34
Iphone 12 negro,35000,16-04-2023,16:24:01,"Santiago, Región Metropolitana",34
Iphone 5s,650000,16-04-2023,15:30:00,"Pirque, Región Metropolitana",34
IPhone 12 ,100000,16-04-2023,13:48:04,"San Miguel, Región Metropolitana",34
IPhone 8,40000,16-04-2023,12:24:24,"La Reina, Región Metropolitana",34
IPhone 6s,180000,16-04-2023,10:46:42,"La Reina, Región Metropolitana",34
Iphone 8Plus 256gb,15000,16-04-2023,08:14:53,"San Bernardo, Región Metropolitana",34
Cargador rápido iPhone,400000,16-04-2023,03:26:01,"Providencia, Región Metropolitana",34
IPhone 12 Mini 64gb Negro,300000,15-04-2023,21:48:20,"Ñuñoa, Región Metropolitana",34
Iphone 11 blanco 64gb,400000,15-04-2023,20:40:03,"Las Condes, Región Metropolitana",34
IPhone 11 Pro Max,350000,15-04-2023,19:30:00,"Las Condes, Región Metropolitana",34
IPhone 11 64GB (Sellado),130000,15-04-2023,16:00:36,"La Florida, Región Metropolitana",34
Iphone 8 256 GB Impecable,70000,15-04-2023,15:37:19,"Las Condes, Región Metropolitana",34
IPhone 6 usado en muy buen estado,5000,14-04-2023,22:56:49,"Santiago, Región Metropolitana",34
Mica de film ceramico iphone 14 pro max,6000,14-04-2023,22:21:31,"Santiago, Región Metropolitana",34
Funda de silicona iphone 14 pro max,7000,14-04-2023,22:21:26,"Santiago, Región Metropolitana",34
Funda iphone 14 pro max,190000,14-04-2023,22:20:12,"Santiago, Región Metropolitana",34
Iphone xs 64gb,670000,14-04-2023,20:14:07,"La Florida, Región Metropolitana",34
IPhone 13 128gb,419990,14-04-2023,18:24:03,"Lo Espejo, Región Metropolitana",34
Apple iPhone 11 64GB NUEVOS,20000,14-04-2023,13:26:40,"Santiago, Región Metropolitana",34
Iphone 6 ,50000,14-04-2023,09:47:11,"Maipú, Región Metropolitana",34
IPhone 7 normal,0,13-04-2023,22:56:37,"Padre Hurtado, Región Metropolitana",34
0,0,0,,0,34
0,0,0,,0,34
0,0,0,,0,34
