titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta,pagina
Iphone xr 64 gb,200000,17-01-2023,08:07:52,"Huechuraba, Región Metropolitana",58
Iphone xr 64 gb,180000,17-01-2023,05:56:17,"Providencia, Región Metropolitana",58
IPhone 8 32 GB,120000,17-01-2023,05:50:07,"Cerrillos, Región Metropolitana",58
Iphone xr,250000,17-01-2023,04:16:46,"Maipú, Región Metropolitana",58
Carcasa funda de silicona para iPhone 6S,5000,17-01-2023,03:39:17,"Santiago, Región Metropolitana",58
IPhone X 64 gb space gray,190000,17-01-2023,03:39:03,"Providencia, Región Metropolitana",58
Iphone XR 64 GB,250000,17-01-2023,02:57:27,"Quilicura, Región Metropolitana",58
Iphone 11 64gb color blanco,390000,17-01-2023,02:47:36,"Las Condes, Región Metropolitana",58
Iphone 12 Pro Max 256 GB,700000,17-01-2023,00:35:42,"Buin, Región Metropolitana",58
IPhone 11 64GB,340000,17-01-2023,00:32:07,"Las Condes, Región Metropolitana",58
Carcasas IPhone varios modelos,3990,16-01-2023,23:51:26,"Quilicura, Región Metropolitana",58
Iphone 6 (32 gb) casi nuevo,60000,16-01-2023,22:18:03,"Santiago, Región Metropolitana",58
IPhone XS,250000,16-01-2023,21:01:16,"Macul, Región Metropolitana",58
IPhone 8 256 GB,120000,16-01-2023,20:24:01,"Ñuñoa, Región Metropolitana",58
Cable para cargar iPhone,4000,16-01-2023,18:04:13,"Santiago, Región Metropolitana",58
Mica iphone/screen protector,8000,16-01-2023,18:00:01,"Las Condes, Región Metropolitana",58
IPhone SE 2022 nuevo ,260000,16-01-2023,16:57:08,"Estación Central, Región Metropolitana",58
Iphone XS max con detalle,180000,16-01-2023,15:08:07,"Santiago, Región Metropolitana",58
IPhone 6 celular 16GB,10000,16-01-2023,14:56:43,"Puente Alto, Región Metropolitana",58
Phone 6s usado,35000,16-01-2023,14:29:43,"Peñaflor, Región Metropolitana",58
IPhone 12 pro Max 256gb,900000,16-01-2023,12:24:32,"Maipú, Región Metropolitana",58
Iphone 13 Pro 128 gb,710000,16-01-2023,09:32:13,"La Granja, Región Metropolitana",58
2 iPhone 13 256gb azules,1100000,16-01-2023,08:42:53,"San Miguel, Región Metropolitana",58
Iphone 8 plus 256gb,150000,16-01-2023,02:26:36,"San Miguel, Región Metropolitana",58
Iphone XR 64 GB,270000,15-01-2023,22:08:50,"La Reina, Región Metropolitana",58
IPHONE X gold,400000,15-01-2023,21:19:06,"San Bernardo, Región Metropolitana",58
Se vende celular iPhone ,15000,15-01-2023,19:54:57,"La Reina, Región Metropolitana",58
carcasas iPhone 7,2000,15-01-2023,17:08:00,"La Pintana, Región Metropolitana",58
"Carcasa para IPhone 14, 14 plus, 14 pro y 14 Pro M",9990,15-01-2023,11:03:30,"Santiago, Región Metropolitana",58
Iphone 13 pro max,110000,15-01-2023,10:48:41,"Puente Alto, Región Metropolitana",58
"Iphone 7 128gb, rose gold impecable",400000,15-01-2023,01:09:44,"La Florida, Región Metropolitana",58
IPhone 12,220000,15-01-2023,00:34:47,"Las Condes, Región Metropolitana",58
IPhone XR 64GB,300000,14-01-2023,22:58:22,"La Florida, Región Metropolitana",58
"IPhone 11, 64 GB, Excelente estado",10000,14-01-2023,10:13:14,"Providencia, Región Metropolitana",58
Batería iPhone 8 nueva,110000,13-01-2023,22:51:39,"Colina, Región Metropolitana",58
IPhone 7 32 GB,100000,13-01-2023,17:41:35,"La Florida, Región Metropolitana",58
Iphone 7,3000,13-01-2023,17:15:34,"Puente Alto, Región Metropolitana",58
Carcasa Flexible Para iPhone 6/6s Steve Jobs,480000,13-01-2023,16:45:03,"San Miguel, Región Metropolitana",58
IPhone 12 64GB,3000,13-01-2023,16:30:51,"Huechuraba, Región Metropolitana",58
Carcasa Silicona Flexible Para iPhone 6 O 6s,3000,13-01-2023,16:23:17,"San Miguel, Región Metropolitana",58
"Carcasa Silicona Para iPhone SE 2, 7, 8",3000,13-01-2023,16:21:22,"San Miguel, Región Metropolitana",58
Carcasa Silicona Flexible Para iPhone 6/6s planeta,3000,13-01-2023,16:20:36,"San Miguel, Región Metropolitana",58
"Carcasa De Silicona Para iPhone Se2, 7, 8 Gato",450000,13-01-2023,16:18:21,"San Miguel, Región Metropolitana",58
IPhone SE 128 GB azul medianoche,200000,13-01-2023,14:49:05,"Colina, Región Metropolitana",58
Iphone XR en perfecto estado,450000,13-01-2023,14:26:50,"Santiago, Región Metropolitana",58
IPhone 11 256 gb,370000,13-01-2023,14:22:31,"Lo Barnechea, Región Metropolitana",58
Iphone 11 pro max en perfecto estado,0,13-01-2023,14:19:39,"Santiago, Región Metropolitana",58
0,0,0,,0,58
0,0,0,,0,58
0,0,0,,0,58
