titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta,pagina
Iphone 11 pro max carcasa original,15000,26-08-2022,11:27:35,"San Bernardo, Región Metropolitana",98
Iphone 12 pro Max 128 gb liberado azul,700000,26-08-2022,11:11:45,"Providencia, Región Metropolitana",98
ifhone 11 ,390000,26-08-2022,09:48:38,"Puente Alto, Región Metropolitana",98
Iphone 13 green Nuevo,800000,26-08-2022,02:58:49,"Santiago, Región Metropolitana",98
IPhone 13 pro Max,950000,25-08-2022,23:52:45,"Santiago, Región Metropolitana",98
Caja iPhone 6 Silver 16gb,5000,25-08-2022,22:15:42,"La Florida, Región Metropolitana",98
IPhone como nuevo,400000,25-08-2022,22:05:27,"Buin, Región Metropolitana",98
Iphone xs max 64gb,280000,25-08-2022,20:32:03,"La Cisterna, Región Metropolitana",98
Iphone 11 64 gb amarillo ,320000,25-08-2022,20:19:28,"Lo Espejo, Región Metropolitana",98
Carcasas de Iphone para todos los modelos y colore,6000,25-08-2022,19:16:09,"Las Condes, Región Metropolitana",98
IPhone 7 Plus 128gb   ,210000,25-08-2022,16:32:00,"San Joaquín, Región Metropolitana",98
Batería Iphone SE 2020,16900,25-08-2022,13:19:37,"Providencia, Región Metropolitana",98
Adaptador De Audio y Carga Iphone 2 en 1 Conector,5990,25-08-2022,12:53:50,"Maipú, Región Metropolitana",98
"IPhone 6, Space Gray, 32 GB",50000,25-08-2022,12:16:31,"Vitacura, Región Metropolitana",98
IPhone 12 mini,420000,25-08-2022,11:54:16,"Ñuñoa, Región Metropolitana",98
IPhone SE 2020,150000,25-08-2022,10:31:51,"Las Condes, Región Metropolitana",98
"IPhone XS Max, Space Gray, 256 GB",390000,25-08-2022,09:45:37,"Vitacura, Región Metropolitana",98
IPhone 13 128gb,540000,25-08-2022,02:39:40,"Puente Alto, Región Metropolitana",98
IPhone 13 128gb,650000,25-08-2022,02:29:52,"Puente Alto, Región Metropolitana",98
Flex De Carga iPhone 13 Pro,42900,25-08-2022,01:20:56,"Macul, Región Metropolitana",98
IPhone 11,390000,24-08-2022,19:44:02,"El Bosque, Región Metropolitana",98
IPhone 12,490000,24-08-2022,18:50:21,"Lo Espejo, Región Metropolitana",98
IPhone nuevo ,400000,24-08-2022,18:42:04,"Maipú, Región Metropolitana",98
IPhone 12 Pro Max 256 gb,850000,24-08-2022,17:13:35,"Independencia, Región Metropolitana",98
Iphone xs max,350000,24-08-2022,16:54:03,"Lo Barnechea, Región Metropolitana",98
IPhone 11,350000,24-08-2022,15:52:37,"Santiago, Región Metropolitana",98
Iphone se 2020,190000,24-08-2022,15:16:49,"Estación Central, Región Metropolitana",98
IPhone 8 64GB NUEVO,149000,24-08-2022,15:16:43,"Huechuraba, Región Metropolitana",98
Celular IPhone SE 2020 64 Gb - Negro,150000,24-08-2022,13:54:40,"Ñuñoa, Región Metropolitana",98
IPhone 8 con 64 GB,60000,24-08-2022,13:47:36,"Ñuñoa, Región Metropolitana",98
Iphone 5S,19990,24-08-2022,13:43:58,"Providencia, Región Metropolitana",98
Instalación de auricular parlante iphone 7,75000,24-08-2022,13:33:53,"Providencia, Región Metropolitana",98
Flex de carga iphone 13 pro max,3300,24-08-2022,13:17:09,"Providencia, Región Metropolitana",98
Cargador para iPhone 2 en 1 USB Lightning ,95000,24-08-2022,12:50:51,"Estación Central, Región Metropolitana",98
Iphone 7,2200,24-08-2022,12:49:24,"Ñuñoa, Región Metropolitana",98
Cable para iPhone 2 metros USB - Lighting Por mayo,37900,24-08-2022,12:45:09,"Estación Central, Región Metropolitana",98
Flex De Carga iPhone 13 Mini,2700,24-08-2022,12:15:43,"Macul, Región Metropolitana",98
Cable para IPhone Lightning a Tipo C ,1700,24-08-2022,12:14:47,"Estación Central, Región Metropolitana",98
Cable IPhone Lightning USB Por mayor y detalle,13000,24-08-2022,12:05:48,"Estación Central, Región Metropolitana",98
"Carcasas iphone 7,8",500000,24-08-2022,11:29:30,"La Florida, Región Metropolitana",98
IPhone 12 casi nuevo. Negro de 128,39900,24-08-2022,09:00:45,"Providencia, Región Metropolitana",98
Flex De Carga iPhone 13,200000,24-08-2022,00:24:15,"Macul, Región Metropolitana",98
IPhone XR,630000,23-08-2022,23:32:24,"Las Condes, Región Metropolitana",98
IPhone 13,850000,23-08-2022,23:16:30,"Independencia, Región Metropolitana",98
 IPhone 13 Pro Max 128gb ,200000,23-08-2022,22:24:32,"El Bosque, Región Metropolitana",98
IPhone 8 Plus 64gb Rose Gold,100000,23-08-2022,22:13:33,"Peñalolén, Región Metropolitana",98
IPhone 7 64GB,0,23-08-2022,20:22:08,"Quinta Normal, Región Metropolitana",98
0,0,0,,0,98
0,0,0,,0,98
0,0,0,,0,98
