titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta,pagina
Carcasa transparente MagSafe para iPhone,280000,27-03-2023,18:07:39,"Santiago, Región Metropolitana",39
IPhone 11 excelente estado,200000,27-03-2023,16:34:39,Todo Chile,39
Iphone XR rojo,430000,27-03-2023,16:24:03,"Providencia, Región Metropolitana",39
IPhone 12,800000,27-03-2023,15:43:57,"San Joaquín, Región Metropolitana",39
Iphone 13 Pro Grafito (128GB) Perfecto Estado,50000,27-03-2023,14:58:20,"Maipú, Región Metropolitana",39
Chasis / Base iPhone XS Max ORIGINAL,180000,27-03-2023,13:07:50,"Santiago, Región Metropolitana",39
Iphone 8plus,290000,27-03-2023,08:46:37,"Las Condes, Región Metropolitana",39
Iphone 11 64 GB,250000,26-03-2023,20:08:01,"Talagante, Región Metropolitana",39
Iphone XR RED 64GB 89%de bateria,880000,26-03-2023,15:00:42,"Peñalolén, Región Metropolitana",39
Iphone 14 plus violeta,8000,26-03-2023,14:21:41,"Lo Barnechea, Región Metropolitana",39
Case iphone se 1st generacion,12000,26-03-2023,09:50:02,"Pudahuel, Región Metropolitana",39
Case iphone 12 mini,3500,26-03-2023,09:48:09,"Pudahuel, Región Metropolitana",39
Carcasas iphone 12 mini ,480000,26-03-2023,08:50:27,"Santiago, Región Metropolitana",39
Iphone 12 Pro 128 gb,650000,26-03-2023,01:27:10,"Santiago, Región Metropolitana",39
IPhone 13 128 gigas,280000,25-03-2023,17:19:02,"La Florida, Región Metropolitana",39
IPhone 11 de 64GB solo por renovación,180000,25-03-2023,16:05:31,"Lo Prado, Región Metropolitana",39
IPhone Xr negro,380000,25-03-2023,15:26:09,"Peñalolén, Región Metropolitana",39
IPhone nuevo ,180000,25-03-2023,09:32:53,"Las Condes, Región Metropolitana",39
Iphone Xr 64 gb (rojo),210000,25-03-2023,00:22:01,"Peñalolén, Región Metropolitana",39
Iphone Xr,380000,24-03-2023,22:32:12,"Macul, Región Metropolitana",39
Phone 11 64gb,530000,24-03-2023,22:30:27,"Providencia, Región Metropolitana",39
Iphone 13 mini 128 gb,350000,24-03-2023,21:13:26,"La Florida, Región Metropolitana",39
IPhone 12,170000,24-03-2023,21:13:08,"Santiago, Región Metropolitana",39
IPHONE 6s PLUS Gris espacial,330000,24-03-2023,17:27:03,"Las Condes, Región Metropolitana",39
 IPhone 11 excelente estado,649990,24-03-2023,17:09:43,"Ñuñoa, Región Metropolitana",39
Iphone 12,3500,24-03-2023,17:08:01,"Lo Barnechea, Región Metropolitana",39
Carcasas iphone 13 pro max ,70000,24-03-2023,16:46:03,"Santiago, Región Metropolitana",39
IPhone 7 74% de bateria,650000,24-03-2023,13:55:40,"La Florida, Región Metropolitana",39
iPhones 21 pro,400000,24-03-2023,13:42:21,"Quilicura, Región Metropolitana",39
IPhone,330000,24-03-2023,10:24:37,"San Bernardo, Región Metropolitana",39
IPhone 11 64 gb,15000,24-03-2023,08:47:23,"Recoleta, Región Metropolitana",39
Cable iPhone Original Apple 1m Tipo C A Lightning,4000,23-03-2023,20:05:25,"Maipú, Región Metropolitana",39
Funda iPhone 11 transparente,8000,23-03-2023,19:17:31,"Vitacura, Región Metropolitana",39
Funda iPhone 11 original,230000,23-03-2023,19:16:25,"Vitacura, Región Metropolitana",39
IPHONE 11 64gb,300000,23-03-2023,17:40:15,"Puente Alto, Región Metropolitana",39
IPhone 11 64 gbs,80000,23-03-2023,15:51:57,"Puente Alto, Región Metropolitana",39
Iphone 6 S Plus,100000,23-03-2023,15:35:03,"Providencia, Región Metropolitana",39
Phone blanco 7,550000,23-03-2023,14:56:27,"Puente Alto, Región Metropolitana",39
Apple iPhone 12 (64 Gb) - Negro,3000,23-03-2023,12:22:33,"Santiago, Región Metropolitana",39
Carcasas iPhone X o da,415000,23-03-2023,10:25:20,"Ñuñoa, Región Metropolitana",39
IPhone 12 64gb,300000,23-03-2023,08:23:44,"Las Condes, Región Metropolitana",39
IPhone XS Max y Iwatch Se,2600,22-03-2023,23:57:02,"Macul, Región Metropolitana",39
Caracas / fundas / case para iPhone con manzana,130000,22-03-2023,23:17:27,"Estación Central, Región Metropolitana",39
Iphone 8 plus,350000,22-03-2023,19:54:58,"La Granja, Región Metropolitana",39
IPhone 11,1150000,22-03-2023,19:50:54,"Paine, Región Metropolitana",39
Iphone 14 pro Max 256 gb,80000,22-03-2023,19:18:02,"La Cisterna, Región Metropolitana",39
Iphone 7 32gb,0,22-03-2023,18:33:54,"Providencia, Región Metropolitana",39
0,0,0,,0,39
0,0,0,,0,39
0,0,0,,0,39
