titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta
Reloj Huawei gt2pro,89000,09-08-2023,20:01:28,"Cerrillos, Región Metropolitana"
Huawei P40 lite,90000,09-08-2023,15:16:04,"Santiago, Región Metropolitana"
Huawei Y9 prime,300000,09-08-2023,07:41:23,"San Bernardo, Región Metropolitana"
Huawei P40 8/128,80000,09-08-2023,00:04:03,"Recoleta, Región Metropolitana"
Huawei redmi 10 5g,40000,08-08-2023,20:06:35,"Talagante, Región Metropolitana"
Reloj Marca Huawei pro 3,1800,08-08-2023,18:32:58,"San Joaquín, Región Metropolitana"
Lamina Protectora Para Huawei Watch Fit 2,60000,08-08-2023,14:43:04,"Ñuñoa, Región Metropolitana"
Smartwatch Huawei Watch GT 2,9900,07-08-2023,15:53:41,"Ñuñoa, Región Metropolitana"
Flex de Encendido Apagado Y Volumen Huawei P10,90000,07-08-2023,11:35:19,"Macul, Región Metropolitana"
Tablet huawei matepad 10 pulgadas,300000,07-08-2023,09:26:49,"Santiago, Región Metropolitana"
Huawei matepad pro 10.8 6|128,70000,06-08-2023,16:19:04,"San Miguel, Región Metropolitana"
Huawei Y9,450000,06-08-2023,13:39:38,"Ñuñoa, Región Metropolitana"
Huawei mate 40 pro IMPECABLE ,139990,03-08-2023,19:11:08,"El Bosque, Región Metropolitana"
Huawei watch Gt Runner,120000,03-08-2023,15:38:02,"Las Condes, Región Metropolitana"
Celular Huawei P30 Light,80000,03-08-2023,14:36:47,"San Joaquín, Región Metropolitana"
Huawei Watch GT 2: Elegancia y Resistencia,5900,03-08-2023,13:40:34,"San Miguel, Región Metropolitana"
Bandeja sim para huawei mate 8,20000,03-08-2023,12:13:31,"Macul, Región Metropolitana"
Huawei y7 ,45000,02-08-2023,16:32:01,"La Granja, Región Metropolitana"
Huawei y7 2019,25000,02-08-2023,13:39:34,"Puente Alto, Región Metropolitana"
Bateria huawei mate 10 pro,75000,02-08-2023,13:21:32,"Macul, Región Metropolitana"
Huawei watch fit elegant,45000,02-08-2023,10:57:29,"Santiago, Región Metropolitana"
Celular huawei y 2019,9500,02-08-2023,09:31:49,"Puente Alto, Región Metropolitana"
Correa Deportiva Transparente Para Huawei WatchFit,150,02-08-2023,08:08:14,"Ñuñoa, Región Metropolitana"
Huawei y9s,70000,01-08-2023,22:32:30,"Colina, Región Metropolitana"
Smartwatch huawei gt2 Pro,120000,01-08-2023,21:47:20,"Puente Alto, Región Metropolitana"
Correa De Reloj Transparente Para Huawei Watch Gt2,8500,01-08-2023,17:10:24,"Ñuñoa, Región Metropolitana"
Correa De Reloj Completa Mate Para Huawei WatchGt2,8500,01-08-2023,17:02:38,"Ñuñoa, Región Metropolitana"
"Correa De Silicona Para Huawei Watch Gt2 Pro , 22m",6500,01-08-2023,16:32:31,"Ñuñoa, Región Metropolitana"
Hawei P30 lite,60000,01-08-2023,15:59:33,"Santiago, Región Metropolitana"
Huawei watch gt3 Se,80000,01-08-2023,13:39:41,"Independencia, Región Metropolitana"
Smartband huawei 4 pro,40000,01-08-2023,13:34:53,"Puente Alto, Región Metropolitana"
Bateria Huawei P9 / P8 P9 P10 P20 Lite Honor 8,9900,01-08-2023,11:59:36,"Macul, Región Metropolitana"
Parlante Altavoz Huawei Mate 9,8900,01-08-2023,11:57:10,"Macul, Región Metropolitana"
Altavoz Parlante Huawei Mate 8,9800,01-08-2023,11:55:25,"Macul, Región Metropolitana"
Smartphone Huawei nova 8i,120000,01-08-2023,10:36:43,"Maipú, Región Metropolitana"
Funda - Carcasa De Pantalla Para Huawei Watch Fit,6900,01-08-2023,10:25:44,"Ñuñoa, Región Metropolitana"
Correa De Silicona De Hoyos Para Huawei WatchFit 2,8900,01-08-2023,10:20:58,"Ñuñoa, Región Metropolitana"
Huawei p30 lite,122000,01-08-2023,07:47:24,"Las Condes, Región Metropolitana"
Huawei P30 Lite,90000,31-07-2023,22:04:58,"Providencia, Región Metropolitana"
Huawei watch fit,50000,31-07-2023,17:31:42,"Peñalolén, Región Metropolitana"
Celular Huawei P20 Lite usado,60000,31-07-2023,12:37:46,"Santiago, Región Metropolitana"
Celular Huawei P20 Lite usado,60000,31-07-2023,12:08:07,"Santiago, Región Metropolitana"
Pantalla Huawei PSMART 2018,39900,31-07-2023,11:32:28,"Macul, Región Metropolitana"
Pantalla Huawei PSMART 2019,45000,31-07-2023,11:28:52,"Macul, Región Metropolitana"
Smartphone Huawei P10 lite,40,30-07-2023,19:03:36,"Puente Alto, Región Metropolitana"
Correa Metalica Para Huawei Watch Fit 2,10500,30-07-2023,11:53:36,"Ñuñoa, Región Metropolitana"
Huawei watch 3 BLACK,80000,29-07-2023,01:46:17,"Maipú, Región Metropolitana"
Reloj Inteligente HUAWEI WATCH 3 - NUEVO,145000,28-07-2023,18:31:47,"Providencia, Región Metropolitana"
Huawei Nova 5T,20000,28-07-2023,16:37:40,"Vitacura, Región Metropolitana"
HUAWEI WATCH GT 2 Pro,135000,28-07-2023,16:05:25,"Estación Central, Región Metropolitana"
Huawei Smart Watch G2,60000,28-07-2023,11:12:08,"La Reina, Región Metropolitana"
Carcasa De Pantalla Completa Para Huawei Gt2 46mm,6900,28-07-2023,08:52:33,"Ñuñoa, Región Metropolitana"
Funda Carcasa Rigida Completa Para Huawei Gt2 46mm,8500,28-07-2023,08:52:16,"Ñuñoa, Región Metropolitana"
Tablet Huawei Matepad Pro 10.8,220000,27-07-2023,23:29:03,"Quilicura, Región Metropolitana"
Huawei Nova 8i ,120000,27-07-2023,18:35:03,"Santiago, Región Metropolitana"
Huawei watch Fit elegant,49990,27-07-2023,16:13:29,"Santiago, Región Metropolitana"
Bateria de Huawei P30 LITE,10900,27-07-2023,11:37:33,"Macul, Región Metropolitana"
Correa Nylon Smartwatch Huawei Fit-,7990,27-07-2023,08:48:51,"Ñuñoa, Región Metropolitana"
Correa Nylon Elastica Para Samsung Huawei 20mm,8000,27-07-2023,08:14:37,"Ñuñoa, Región Metropolitana"
Huawei p30 Lite,70000,25-07-2023,13:00:09,"Ñuñoa, Región Metropolitana"
Smartwatch Huawei fit 2 negro,65000,25-07-2023,12:55:09,"Recoleta, Región Metropolitana"
Correa De Silicona Para Huawei Watch Fit 2,7700,25-07-2023,09:38:53,"Ñuñoa, Región Metropolitana"
Funda Carcasa De Pantalla Para Huawei Watch Fit 2,7700,24-07-2023,18:48:52,"Ñuñoa, Región Metropolitana"
Celular Huawei p smart 2019,60000,24-07-2023,18:45:01,Todo Chile
Correa De Silicona Para Huawei Watch Fit 1,7500,24-07-2023,18:43:49,"Ñuñoa, Región Metropolitana"
Lamina Protectora De Pantalla Para Huawei Fit 2,2500,24-07-2023,15:19:42,"Ñuñoa, Región Metropolitana"
Celular huawei y8 para repuesto,15000,22-07-2023,20:54:04,"Estación Central, Región Metropolitana"
Smartphone Huawei,120000,22-07-2023,10:26:48,"La Florida, Región Metropolitana"
Smartwatch Huawei gt3,80000,20-07-2023,19:46:01,"Independencia, Región Metropolitana"
Huawei nova 5T azul,80000,20-07-2023,18:49:42,"Santiago, Región Metropolitana"
Pulsera Huawei band 6 nuevo,25000,20-07-2023,15:51:50,"Estación Central, Región Metropolitana"
Huawei P30 Lite,40000,20-07-2023,10:46:41,"Maipú, Región Metropolitana"
Huawei P30 Lite 128GB - 4 Ram - Impecable,100000,19-07-2023,14:55:34,"La Granja, Región Metropolitana"
Huawei y6 usado,50000,19-07-2023,14:33:59,"Peñalolén, Región Metropolitana"
Huawei Watch GT 3 SE,100000,19-07-2023,11:57:08,"San Miguel, Región Metropolitana"
Huawei watch gt 2,75000,18-07-2023,23:55:18,"La Cisterna, Región Metropolitana"
Huawei nova 5T ,80000,17-07-2023,20:05:03,"Pudahuel, Región Metropolitana"
Batería Huawei Nexus 6p HB416683ECW,9900,17-07-2023,19:14:57,"Santiago, Región Metropolitana"
Batería HB386280ECW Huawei P10 Honor 9,7600,17-07-2023,19:12:11,"Santiago, Región Metropolitana"
Celular huawei p20lite para todas las compañías,45000,17-07-2023,17:48:58,"Peñalolén, Región Metropolitana"
Huawei P40 Lite ,80000,17-07-2023,16:34:47,"Santiago, Región Metropolitana"
Funda Huaweii P60 Pro. 3000 mil pesos las Dos,3000,16-07-2023,16:23:59,"Providencia, Región Metropolitana"
Huawei Y9s 2020 (Con Google),90000,16-07-2023,07:00:22,"Santiago, Región Metropolitana"
Huawi Y9 2019 64GB Negro en perfecto estado,50000,15-07-2023,21:23:33,"Ñuñoa, Región Metropolitana"
Band 6 HUAWEI excelente ,20000,15-07-2023,14:42:09,"Santiago, Región Metropolitana"
Huawei psmart,50000,15-07-2023,13:38:55,"Las Condes, Región Metropolitana"
Huawei A70,50000,15-07-2023,08:17:09,"Maipú, Región Metropolitana"
Reloj Huawei Watch GT 2 de 46 mm,90000,14-07-2023,15:10:20,"Maipú, Región Metropolitana"
Huawei y9 Prime,40000,13-07-2023,01:49:20,"Quinta Normal, Región Metropolitana"
Celular Huawei P40 Lite usado con carcasa transpar,80000,12-07-2023,17:40:04,"La Florida, Región Metropolitana"
Huawei Mate 20 pro con pantalla quebrada,70000,12-07-2023,13:06:08,"Providencia, Región Metropolitana"
Hawei y9 2019,100000,11-07-2023,17:35:53,"Maipú, Región Metropolitana"
Huawei Nova 9 y smart watch,330000,10-07-2023,20:48:02,"San Miguel, Región Metropolitana"
Huawei Y8P,50000,08-07-2023,13:25:29,"San Miguel, Región Metropolitana"
Huawei Band 6,20000,07-07-2023,18:08:32,"San Bernardo, Región Metropolitana"
