titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta
Motorola pro-5100 vhf,50000,19-08-2022,13:02:56,"Maipú, Región Metropolitana"
Pro-5100 motorola vhf,80000,19-08-2022,12:47:07,"Maipú, Región Metropolitana"
Motorola one macro,350000,19-08-2022,12:33:51,"Quinta Normal, Región Metropolitana"
Motorola moto g20,45000,19-08-2022,00:14:45,"San Bernardo, Región Metropolitana"
Radios motorola y kenwood,150000,18-08-2022,19:34:15,"Puente Alto, Región Metropolitana"
Motorola g20,120000,18-08-2022,13:29:08,"Santiago, Región Metropolitana"
Radio Motorola DGM 8000e,650000,18-08-2022,13:16:50,"Maipú, Región Metropolitana"
Dgm8500e vhf mototola,100000,18-08-2022,13:13:26,"Maipú, Región Metropolitana"
Cintillo manos libre para línea Motorola mototrbo,75000,17-08-2022,13:04:05,"Maipú, Región Metropolitana"
Batería Motorola para P110,90000,17-08-2022,12:55:22,"Maipú, Región Metropolitana"
Batería para Motorola P110,20000,17-08-2022,12:35:59,"Maipú, Región Metropolitana"
Fonos profesionales para dep450 Motorola,70000,17-08-2022,11:49:20,"Maipú, Región Metropolitana"
Motorola línea 8550e,110000,17-08-2022,11:20:20,"Maipú, Región Metropolitana"
Motorola EDGE 20 lite,85000,16-08-2022,11:04:32,"Isla de Maipo, Región Metropolitana"
Motorola G50 5G,1000000,16-08-2022,08:06:14,"La Florida, Región Metropolitana"
Radio motorola DGP 8550e,180000,15-08-2022,11:16:15,"Huechuraba, Región Metropolitana"
Motorola G(6) play,40000,13-08-2022,16:00:27,"La Pintana, Región Metropolitana"
pantalla motorola moto g100,80000,13-08-2022,14:40:05,"Providencia, Región Metropolitana"
Celular Motorola g20,250000,13-08-2022,14:18:36,"Quinta Normal, Región Metropolitana"
Walkie talkie Motorola EP450s,260000,12-08-2022,12:00:52,"Santiago, Región Metropolitana"
Motorola e20,110000,12-08-2022,09:57:02,"La Florida, Región Metropolitana"
Dgp4150 Motorola Mototrbo vhf,16500,11-08-2022,14:50:35,"Maipú, Región Metropolitana"
Dgp-4150 vhf Motorola mototrbo,0,11-08-2022,13:47:10,"Maipú, Región Metropolitana"
 motorola g20 nuevo sin caja ni cargador,0,10-08-2022,22:32:36,"Santiago, Región Metropolitana"
"Motorola e20 32gb, por nesecidad, sellado",0,09-08-2022,22:27:33,"Lo Prado, Región Metropolitana"
Pro-5100 Uhf Motorola,0,09-08-2022,11:45:41,"Maipú, Región Metropolitana"
Radio Motorola APX 1000,0,09-08-2022,11:24:59,"Ñuñoa, Región Metropolitana"
Dgp 8050 Uhf Motorola Mototrbo,0,08-08-2022,11:22:37,"Maipú, Región Metropolitana"
Dgp 8050 Motorola digital UHF,0,08-08-2022,11:04:01,"Maipú, Región Metropolitana"
Ep350mx UHF Motorola,0,06-08-2022,13:22:40,"Maipú, Región Metropolitana"
Smartphone Motorola,0,05-08-2022,00:37:33,"Puente Alto, Región Metropolitana"
Motorola e7,0,04-08-2022,17:28:49,"Independencia, Región Metropolitana"
Motorola E30 Nuevo y Garantía,0,02-08-2022,14:46:21,"Providencia, Región Metropolitana"
Radio Motorola pro 5100,0,01-08-2022,22:25:30,"La Florida, Región Metropolitana"
Motorola edge 20 lite,0,01-08-2022,21:58:11,"Peñalolén, Región Metropolitana"
Endo Motorola g9 pluss como nuevo barato,0,01-08-2022,19:26:14,"Lo Espejo, Región Metropolitana"
Boton home motorola moto g7 power,0,01-08-2022,14:15:32,"Providencia, Región Metropolitana"
Motorola g6 plus,0,29-07-2022,19:16:00,"Melipilla, Región Metropolitana"
0,0,0,,0
0,0,0,,0
0,0,0,,0
0,0,0,,0
0,0,0,,0
0,0,0,,0
0,0,0,,0
0,0,0,,0
0,0,0,,0
0,0,0,,0
0,0,0,,0
0,0,0,,0
