titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta
 Motorola G22 nuevo,100000,22-04-2023,11:10:08,"Santiago, Región Metropolitana"
Motorola g5 plus,45000,22-04-2023,10:12:11,"Maipú, Región Metropolitana"
Motorola e22i,135000,21-04-2023,16:18:27,"Huechuraba, Región Metropolitana"
Motorola G13,120000,21-04-2023,14:46:20,"Quilicura, Región Metropolitana"
Radio motorola talkabout t200cl,70000,21-04-2023,13:10:16,"Santiago, Región Metropolitana"
Motorola One Fusion 128 GB azul océano 4 GB RAM,90000,20-04-2023,19:04:34,"Peñalolén, Región Metropolitana"
Teléfono inalámbrico para red fija MOTOROLA,20000,20-04-2023,10:03:23,"San Ramón, Región Metropolitana"
Motorola Moto g53 5g de 128gb,160000,19-04-2023,17:05:44,"Peñalolén, Región Metropolitana"
Celular Motorola g9 power,60000,19-04-2023,16:08:03,"Padre Hurtado, Región Metropolitana"
Celular Smartphone Motorola Moto Z Play,75000,18-04-2023,17:19:29,"Santiago, Región Metropolitana"
Motorola Moto G13 128 gb,180000,18-04-2023,15:37:13,"Recoleta, Región Metropolitana"
Motorola g13,125000,18-04-2023,10:07:58,"Puente Alto, Región Metropolitana"
Motorola e 6 plus,35000,17-04-2023,14:15:13,"Santiago, Región Metropolitana"
Motorola G54 nuevo,170000,17-04-2023,12:39:11,"Quilicura, Región Metropolitana"
Celular Motorola Moto G13,130000,16-04-2023,17:40:46,"Puente Alto, Región Metropolitana"
Nuevooocelular motorola g13,100000,16-04-2023,17:22:04,"Las Condes, Región Metropolitana"
Celular Motorola E7,75000,16-04-2023,08:59:12,"Puente Alto, Región Metropolitana"
Radio Motorola pro 5150,80000,15-04-2023,02:52:55,"Ñuñoa, Región Metropolitana"
Motorola g50 5g,150000,14-04-2023,14:45:26,"Colina, Región Metropolitana"
Celular Motorola g 20,90000,13-04-2023,13:33:57,"Maipú, Región Metropolitana"
Motorola G51 5g 128 gb,100000,12-04-2023,16:33:55,"Conchalí, Región Metropolitana"
Celular Motorola Moto E22i ,80000,11-04-2023,16:11:13,"Providencia, Región Metropolitana"
Motorola G 71 5G,130000,11-04-2023,14:47:31,"Quilicura, Región Metropolitana"
2 Radio Motorola Rep 450,380000,11-04-2023,06:04:52,"Peñalolén, Región Metropolitana"
Motorola moto g9 plus,90000,10-04-2023,10:44:36,"La Reina, Región Metropolitana"
Motorola Moto G3 Detalle,12000,10-04-2023,00:10:59,"Pudahuel, Región Metropolitana"
Motorola Moto G4 detalle,24000,10-04-2023,00:05:25,"Pudahuel, Región Metropolitana"
Motorola Moto G3,24000,10-04-2023,00:02:07,"Pudahuel, Región Metropolitana"
Bateria para walkie talkie motorola talkabout,5000,08-04-2023,07:08:30,"Lo Prado, Región Metropolitana"
Celular Motorola g51 5g ,140000,08-04-2023,06:16:30,"San Ramón, Región Metropolitana"
Cargador para Motorola Talkabout,15000,08-04-2023,01:15:35,"Lo Prado, Región Metropolitana"
Motorola g9 power,80000,05-04-2023,10:37:17,"Maipú, Región Metropolitana"
Motorola edgue 30 fusion negro,450000,05-04-2023,02:20:49,"La Cisterna, Región Metropolitana"
Celular Motorola one Fusion cargador y caja,35000,04-04-2023,20:21:29,"Las Condes, Región Metropolitana"
Equipos motorola,255000,04-04-2023,11:22:08,"Maipú, Región Metropolitana"
Radio Motorola DGP8550e VHF,350000,02-04-2023,20:30:42,"Macul, Región Metropolitana"
Audifono Motorola Inalámbrico,17000,02-04-2023,20:28:01,"La Florida, Región Metropolitana"
Audífonos Motorola Buds 150,27000,02-04-2023,20:25:25,"La Florida, Región Metropolitana"
Motorola G71 5G,150000,02-04-2023,09:36:17,"Santiago, Región Metropolitana"
Motorola e32 nuevo,80000,01-04-2023,14:09:23,"Santiago, Región Metropolitana"
Motorola g22 128GB (precio conversable),160000,01-04-2023,12:26:20,"San Miguel, Región Metropolitana"
Motorola e4 plus,88000,30-03-2023,15:20:35,"Cerrillos, Región Metropolitana"
Nuevo celualr Motorola G51 5g liberado,170000,29-03-2023,22:36:52,"Santiago, Región Metropolitana"
Motorola g51,110000,28-03-2023,06:51:57,"La Florida, Región Metropolitana"
Motorola E22i,100000,27-03-2023,22:55:36,"Recoleta, Región Metropolitana"
Teléfono Inalámbrico Motorola M750,50000,27-03-2023,22:37:18,"Las Condes, Región Metropolitana"
Motorola moto g9 power,90000,26-03-2023,17:13:15,"Buin, Región Metropolitana"
0,0,0,,0
0,0,0,,0
0,0,0,,0
