titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta
Motorola g22 nuevo sellado,115000,24-11-2022,23:00:42,"Santiago, Región Metropolitana"
"Motorola One Action Graba en 4K Wifi AC 6.3"" FHD+",71000,24-11-2022,14:21:18,"Quinta Normal, Región Metropolitana"
Lente Trasero Motorola Moto X4 + Kit De Desarme,11500,24-11-2022,13:28:54,"Providencia, Región Metropolitana"
"Motorola e6s,",30000,24-11-2022,11:16:46,"Maipú, Región Metropolitana"
Motorlola G30,95000,23-11-2022,19:23:15,"Santiago, Región Metropolitana"
Lente Trasero Motorola Moto G6 Play + Kit desarme,9990,23-11-2022,12:29:02,"Providencia, Región Metropolitana"
Dgm8500e Vhf Mototola Mototrbo,5000,23-11-2022,12:00:11,"Maipú, Región Metropolitana"
Motorola edge 20 lite,5000,23-11-2022,09:10:59,"Santiago, Región Metropolitana"
Carcasa motorola g20,150000,22-11-2022,22:06:27,"Vitacura, Región Metropolitana"
Carcasa motorola g20,129900,22-11-2022,14:56:54,"Vitacura, Región Metropolitana"
Motorola Edge 20 Lite ,65000,21-11-2022,21:46:50,"Peñalolén, Región Metropolitana"
Em-400 Motorola Vhf,45000,21-11-2022,18:43:18,"Maipú, Región Metropolitana"
Motorola g51 5g 128 gb 6.8 pulgadas 5000 mah,60000,21-11-2022,16:48:48,"Santiago, Región Metropolitana"
Motorola E 20,200000,21-11-2022,16:01:22,"Santiago, Región Metropolitana"
Em400 Mototola Vhf,100000,21-11-2022,12:53:43,"Maipú, Región Metropolitana"
Motorola E6i,65000,21-11-2022,12:34:29,"Conchalí, Región Metropolitana"
Motorola G8 Play,13990,21-11-2022,12:30:03,"Conchalí, Región Metropolitana"
Radio motorola,180000,20-11-2022,16:35:24,"Pudahuel, Región Metropolitana"
Motorola g20,70000,20-11-2022,14:03:50,"San Bernardo, Región Metropolitana"
Motorola E20 32Gb,100000,19-11-2022,21:00:26,"Santiago, Región Metropolitana"
Lente Trasera Motorola Moto Z Play + instalación,90000,19-11-2022,13:32:02,"Providencia, Región Metropolitana"
Motorola g100,180000,18-11-2022,19:00:57,"Maipú, Región Metropolitana"
Motorola g100,47000,18-11-2022,16:08:13,"Maipú, Región Metropolitana"
Apx900 Motorola Vhf,180000,18-11-2022,14:15:49,"Maipú, Región Metropolitana"
SmartPhone Motorola Moto g play 64gb,210000,18-11-2022,11:19:23,"Conchalí, Región Metropolitana"
Motorola G30,95000,17-11-2022,21:37:19,"Recoleta, Región Metropolitana"
Motorola moto e32,180000,17-11-2022,17:29:19,"Pudahuel, Región Metropolitana"
Celular motorola,20000,17-11-2022,14:01:15,"Puente Alto, Región Metropolitana"
GM-300 Motorola Vhf,120000,17-11-2022,13:45:38,"Maipú, Región Metropolitana"
M120 Motorola Vhf base móvil,80000,17-11-2022,13:42:44,"Maipú, Región Metropolitana"
Xts-2500i Motorola Astro P25 para Mineria,30000,17-11-2022,13:38:51,"Maipú, Región Metropolitana"
Motorola g100,38000,17-11-2022,09:37:56,"Maipú, Región Metropolitana"
Pantalla Compatible con Motorola Moto G60,0,16-11-2022,17:34:22,"Macul, Región Metropolitana"
Motorola Edge 20 Lite,0,16-11-2022,03:42:35,"Independencia, Región Metropolitana"
Motorola PRO 5150 VHF,0,15-11-2022,17:48:58,"Las Condes, Región Metropolitana"
Radio Motorola Ep 450s con pera,0,15-11-2022,16:08:16,"La Reina, Región Metropolitana"
celular Motorola g51 5G,0,15-11-2022,08:08:19,"San Bernardo, Región Metropolitana"
Motorola g100,0,14-11-2022,20:24:00,"Maipú, Región Metropolitana"
radio Motorola EP 350 mx,0,14-11-2022,18:24:11,"Independencia, Región Metropolitana"
Pantalla Motorola One Fusión ,0,14-11-2022,16:43:24,"Santiago, Región Metropolitana"
Dem300 Mototola digital Vhf Mototrbo,0,14-11-2022,11:08:07,"Maipú, Región Metropolitana"
Dem 300 Motorola Vhf digital,0,14-11-2022,10:46:25,"Maipú, Región Metropolitana"
Motorola g30 ,0,13-11-2022,14:22:14,"Independencia, Región Metropolitana"
Radio Motorola XPR-3300e,0,11-11-2022,21:24:00,"Santiago, Región Metropolitana"
Manos libre motorola,0,11-11-2022,19:26:09,"San Joaquín, Región Metropolitana"
Motorola g7 play usado,0,10-11-2022,15:56:00,"Ñuñoa, Región Metropolitana"
Xts2500i Motorola para Mineria,0,10-11-2022,14:12:58,"Maipú, Región Metropolitana"
0,0,0,,0
0,0,0,,0
0,0,0,,0
