titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta
Celular Motorola one fusion,50000,09-11-2022,17:28:11,"La Cisterna, Región Metropolitana"
Celular motorola moto G20,120000,08-11-2022,14:53:01,"Talagante, Región Metropolitana"
Motorola moto g1 pantalla + instalación ,24900,08-11-2022,13:57:25,"Providencia, Región Metropolitana"
Motorola moto c pantalla + instalación ,24990,08-11-2022,13:30:55,"Providencia, Región Metropolitana"
Motorola moto g5 plus pantalla+instalación ,33900,08-11-2022,13:20:19,"Providencia, Región Metropolitana"
Motorola g51 5g,180000,07-11-2022,23:46:11,"San Bernardo, Región Metropolitana"
Motorola e6s 32gb,12000,07-11-2022,23:06:34,"Maipú, Región Metropolitana"
Adaptador Motorola,60000,07-11-2022,14:45:12,"Santiago, Región Metropolitana"
Motorola Moto G20,100000,07-11-2022,14:14:33,"El Bosque, Región Metropolitana"
Motorola G51 5G,80000,07-11-2022,11:08:28,"La Pintana, Región Metropolitana"
Motorola edición limitada G20 ,33000,07-11-2022,10:48:19,"Providencia, Región Metropolitana"
Celular Motorola g5 plus,200000,05-11-2022,11:00:50,"La Florida, Región Metropolitana"
Teléfono usado Motorola G7,130990,04-11-2022,12:57:32,"La Florida, Región Metropolitana"
Dgp-8550e vhf Motorola Mototrbo ,60000,02-11-2022,20:15:51,"Maipú, Región Metropolitana"
Motorola Pro 7150 VHF,40000,02-11-2022,09:54:49,"La Florida, Región Metropolitana"
Celular Motorola Moto G Power 2022 NUEVO EN CAJA,270000,01-11-2022,23:17:55,"Santiago, Región Metropolitana"
"Motorola EP 450 , 350 / DGM , DGP",190000,01-11-2022,13:26:46,"Macul, Región Metropolitana"
  Motorola   64gb,10000,01-11-2022,12:17:56,"Santiago, Región Metropolitana"
Motorola E7 ,35000,31-10-2022,15:33:26,"Maipú, Región Metropolitana"
Motorola g6 play de 32 GB ,10000,30-10-2022,15:27:42,"La Florida, Región Metropolitana"
Celular Motorola g9 power,200000,29-10-2022,20:32:21,"El Bosque, Región Metropolitana"
Motorola g200 de 8y128 GB ,120000,29-10-2022,19:39:33,"La Florida, Región Metropolitana"
 Motorola edge 2o lite,50000,29-10-2022,11:35:21,"Santiago, Región Metropolitana"
Motorola G7 power,80000,28-10-2022,16:56:04,"Huechuraba, Región Metropolitana"
Antena Motorola,40000,27-10-2022,21:55:13,"El Bosque, Región Metropolitana"
Motorola g60,120000,27-10-2022,18:52:31,"La Florida, Región Metropolitana"
Batería walkie talkie Motorola,100000,27-10-2022,16:48:52,"Santiago, Región Metropolitana"
Motorola E Repuestos,7500,26-10-2022,14:00:13,"Santiago, Región Metropolitana"
Motorola g60 64gb,8990,25-10-2022,21:58:37,"Las Condes, Región Metropolitana"
Dep-450 Motorola digital y análogo vhf 32 canales,45000,25-10-2022,11:03:17,"Maipú, Región Metropolitana"
Dep-450 Motorola vhf mototrbo digital,85000,25-10-2022,10:33:56,"Maipú, Región Metropolitana"
Motorola g60s 64gb,50000,24-10-2022,20:24:00,"Independencia, Región Metropolitana"
Radio motorola vx261 kenwood ksc35s,0,24-10-2022,16:41:40,"Santiago, Región Metropolitana"
Xtl-1500 Motorola P25 Para Mineria,0,24-10-2022,10:22:56,"Maipú, Región Metropolitana"
Dem-400 Motorola Mototrbo vhf digital y análogo,0,24-10-2022,10:05:50,"Maipú, Región Metropolitana"
Dem 400 Motorola Mototrbo Dlgital y Análogo vhf,0,24-10-2022,09:48:19,"Maipú, Región Metropolitana"
Celular Motorola g20 64/4,0,23-10-2022,23:41:04,"Buin, Región Metropolitana"
Motorola e6 plus,0,23-10-2022,18:04:21,"Recoleta, Región Metropolitana"
Motorola G50,0,23-10-2022,10:15:42,"Puente Alto, Región Metropolitana"
Motorola g9 plus,0,22-10-2022,12:45:20,"Lampa, Región Metropolitana"
Lente Cámara Trasera Motorola Moto G6 Play,0,22-10-2022,12:23:00,"Providencia, Región Metropolitana"
Celular motorola ,0,21-10-2022,15:21:45,"Cerro Navia, Región Metropolitana"
Cable Motorola Original Tipo C - Moto G7 ,0,20-10-2022,12:30:13,"La Florida, Región Metropolitana"
Pantalla Motorola Moto Z Play,0,20-10-2022,12:25:37,"Providencia, Región Metropolitana"
Dep-570e Motorola Mototrbo digital y análogo vhf,0,20-10-2022,02:43:25,"Maipú, Región Metropolitana"
Celular Motorola G9 Power (Envío Gratis),0,20-10-2022,01:06:41,"La Florida, Región Metropolitana"
Celular Motorola g20 color celeste,0,20-10-2022,00:23:35,"La Cisterna, Región Metropolitana"
0,0,0,,0
0,0,0,,0
0,0,0,,0
