titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta
Motorola One fusión verde ,70000,29-01-2023,13:10:51,"Puente Alto, Región Metropolitana"
2 celulares Motorola sin detalles funcionando,120000,29-01-2023,12:08:20,"Puente Alto, Región Metropolitana"
Motorola g 20 rosado sin detalles ,50000,29-01-2023,12:07:57,"Puente Alto, Región Metropolitana"
MotorolA e22i,80000,28-01-2023,22:20:07,"Puente Alto, Región Metropolitana"
Motorola g20,90000,27-01-2023,21:48:45,"Cerrillos, Región Metropolitana"
Celular Motorola,50000,27-01-2023,12:41:02,"Lo Prado, Región Metropolitana"
Celular Motorola Moto g71 ,200000,25-01-2023,14:28:03,"Maipú, Región Metropolitana"
Motorola One Hyper,85000,24-01-2023,15:20:30,"La Florida, Región Metropolitana"
Cargador Motorola 230vac 3.6vdc 600ma (pack 12 Und,11400,23-01-2023,16:31:54,"Peñaflor, Región Metropolitana"
Motorola g20,80000,23-01-2023,13:46:01,"Santiago, Región Metropolitana"
Motorola Pro 5150,70000,23-01-2023,01:06:21,"Santiago, Región Metropolitana"
Motorola Pro 7150,90000,23-01-2023,01:02:23,"Santiago, Región Metropolitana"
Audífonos inalambricos nuevos motorola,25000,22-01-2023,19:09:46,"Puente Alto, Región Metropolitana"
Colector de datos Motorola ,130000,22-01-2023,15:48:50,"San Ramón, Región Metropolitana"
Pro 7100 Motorola uhf,160000,21-01-2023,14:09:11,"Maipú, Región Metropolitana"
Motorola g22,130000,21-01-2023,13:43:00,"Providencia, Región Metropolitana"
Motorola edge 20 lite,230000,20-01-2023,21:46:28,"La Cisterna, Región Metropolitana"
Motorola g22,450000,20-01-2023,14:00:02,"Santiago, Región Metropolitana"
Motorola Moto G 51 Dorado Nuevo ,98990,20-01-2023,11:53:42,"Ñuñoa, Región Metropolitana"
Ep350 Motorola vhf,120000,20-01-2023,10:18:57,"Maipú, Región Metropolitana"
Celular motorola edge 30 pro sellado,110000,19-01-2023,14:04:01,"La Cisterna, Región Metropolitana"
Motorola Radio Comunicador T400cl 34 Millas / 33 ,45000,19-01-2023,04:52:31,"Providencia, Región Metropolitana"
Motorola one fusion 128gb,55000,18-01-2023,15:52:46,"Lo Espejo, Región Metropolitana"
Motorola G22,40000,18-01-2023,09:11:08,"Estación Central, Región Metropolitana"
Celular Motorola G8 power,20000,18-01-2023,01:11:21,"La Florida, Región Metropolitana"
Radio transmisores vhf kenwood y motorola,280000,17-01-2023,23:56:51,"Recoleta, Región Metropolitana"
Motorola g8 power,95000,17-01-2023,21:42:03,"La Cisterna, Región Metropolitana"
Motorola e6s,80000,17-01-2023,15:52:55,"Santiago, Región Metropolitana"
Dep550e vhf Motorola,12100,17-01-2023,13:46:29,"Maipú, Región Metropolitana"
Microfono parlante Motorola para PRO5150,80000,17-01-2023,02:54:53,"Ñuñoa, Región Metropolitana"
Motorola xts 4250 800 MHz,100000,14-01-2023,00:17:58,"La Florida, Región Metropolitana"
Motorola G 20,120000,14-01-2023,00:03:25,"La Florida, Región Metropolitana"
Celular Motorola G20,120000,13-01-2023,15:33:46,"Peñalolén, Región Metropolitana"
Cable De Alimentación Con Fusible Móvil Motorola,15000,12-01-2023,12:59:47,"Las Condes, Región Metropolitana"
Motorola g60s,160000,11-01-2023,09:24:14,"Maipú, Región Metropolitana"
Radio Motorola dep 450,600000,11-01-2023,08:50:30,"Puente Alto, Región Metropolitana"
Dgp8550e Motorola mototrbo vhf,330000,10-01-2023,09:53:57,"Maipú, Región Metropolitana"
Motorola one hyper,55000,10-01-2023,00:33:08,"Maipú, Región Metropolitana"
Motorola Dep450 VHF Digital ,140000,09-01-2023,23:12:58,"Independencia, Región Metropolitana"
teléfono motorola e6s,0,09-01-2023,21:32:00,"San Bernardo, Región Metropolitana"
Celular Motorola Moto e6 play 15000,0,09-01-2023,17:36:22,"Conchalí, Región Metropolitana"
Xtl2500 Motorola para minería,0,09-01-2023,09:42:55,"Maipú, Región Metropolitana"
Motorola g51 nuevo sin uso,0,08-01-2023,18:06:22,"Santiago, Región Metropolitana"
Dep570 Motorola vhf,0,08-01-2023,12:25:10,"Maipú, Región Metropolitana"
Radio Motorola DGP8550e VHF,0,08-01-2023,00:19:52,"Maipú, Región Metropolitana"
Bateria para radio Motorola Original Nntn4497,0,07-01-2023,22:09:16,"Estación Central, Región Metropolitana"
Motorola G51 5G ,0,05-01-2023,21:24:00,"Quilicura, Región Metropolitana"
0,0,0,,0
0,0,0,,0
0,0,0,,0
