titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta
Celular Xiaomi Redmi Note 11 Pro 5G,200000,10-08-2023,09:09:23,"Puente Alto, Región Metropolitana"
Xiaomi Redmi A1,40000,09-08-2023,23:15:50,"Colina, Región Metropolitana"
Xiaomi Redmi 9,65000,09-08-2023,13:34:48,"Santiago, Región Metropolitana"
Carcasa Xiaomi 11T Pro,5000,08-08-2023,21:43:38,"San Joaquín, Región Metropolitana"
Xiaomi Redmi Note 12 pro,250000,08-08-2023,17:40:02,"Cerro Navia, Región Metropolitana"
Xiaomi Redmi 12,150000,08-08-2023,03:07:27,"Pudahuel, Región Metropolitana"
Cargador original Xiaomi,22000,07-08-2023,22:18:00,"La Florida, Región Metropolitana"
Eqipaso Xiaomi 10s 8/128 snapdragon ,250000,07-08-2023,22:14:24,"Puente Alto, Región Metropolitana"
Xiaomi poco x5 pro ,130000,07-08-2023,21:40:02,"La Granja, Región Metropolitana"
Xiaomi Redmi note 9,58000,07-08-2023,09:40:50,"Santiago, Región Metropolitana"
Celular xiaomi redmi 9C,100000,06-08-2023,17:07:35,"Pudahuel, Región Metropolitana"
Xiaomi poco x3 pro,45000,06-08-2023,10:28:31,"Macul, Región Metropolitana"
Xiaomi redmi 9a,230000,05-08-2023,16:15:08,"Peñalolén, Región Metropolitana"
Xiaomi 10t pro 256 gb,420000,05-08-2023,12:55:58,"Ñuñoa, Región Metropolitana"
Xiaomi 12 pro PLUS. black,8900,04-08-2023,21:11:26,"Independencia, Región Metropolitana"
Flex Main Xiaomi Redmi Note 9s/9 Pro,135000,04-08-2023,11:34:25,"Macul, Región Metropolitana"
Xiaomi Poco x3 Pro,130000,04-08-2023,08:15:57,"Maipú, Región Metropolitana"
Xiaomi Redmi Note 10s,3000,03-08-2023,23:23:25,"Puente Alto, Región Metropolitana"
Porta Tarjeta Bandeja Dual Sim Chip Xiaomi 12 Lite,7500,03-08-2023,16:52:21,"Santiago, Región Metropolitana"
Flex de carga para xiaomi redmi 9c,60000,03-08-2023,12:13:52,"Macul, Región Metropolitana"
Xiaomi mi Watch,150000,02-08-2023,17:38:50,"Maipú, Región Metropolitana"
Xiaomi,85000,02-08-2023,17:37:45,"Maipú, Región Metropolitana"
Xiaomi 11,75000,02-08-2023,13:14:50,"Puente Alto, Región Metropolitana"
Celular Xiaomi readmi 10c 128gb,115000,02-08-2023,06:42:13,"Quinta Normal, Región Metropolitana"
Xiaomi Redmi Note 10 Fotos Reales 64/4gb Impecable,85000,01-08-2023,22:58:07,"Santiago, Región Metropolitana"
