titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta
Xaomi T11,150000,31-03-2023,23:42:05,"La Florida, Región Metropolitana"
Xiaomi 12 lite 5g,250000,31-03-2023,17:35:08,"La Cisterna, Región Metropolitana"
Xiaomi redmi note 9 pro,100000,31-03-2023,15:59:15,"La Reina, Región Metropolitana"
Celular xiaomi redmi 11s,90000,31-03-2023,10:05:38,"Santiago, Región Metropolitana"
Xiaomi Smart Band 7 Pro 1.64,59990,30-03-2023,17:49:58,"Las Condes, Región Metropolitana"
Xiomi redmi 10 pro,150000,30-03-2023,14:38:11,"Puente Alto, Región Metropolitana"
Xiaomi 12T Pro,550000,25-03-2023,19:24:03,"Maipú, Región Metropolitana"
xiaomi 10S en perfecto estado,90000,25-03-2023,15:10:10,"Puente Alto, Región Metropolitana"
Xiaomi Redmi note 11,180000,25-03-2023,13:22:11,"Colina, Región Metropolitana"
Xiaomi redmi note 10 5g,100000,24-03-2023,20:51:10,"Santiago, Región Metropolitana"
Xiaomi 12T,320000,24-03-2023,19:58:23,"Providencia, Región Metropolitana"
Xiaomi,200000,24-03-2023,18:29:04,"Santiago, Región Metropolitana"
Celular xiaomi A1 Nuevo,100000,24-03-2023,15:28:59,"Maipú, Región Metropolitana"
Xiaomi 11 Lite 5G,220000,24-03-2023,15:16:01,"Santiago, Región Metropolitana"
Xiaomi Redmi Note 11S,130000,24-03-2023,12:52:46,"Santiago, Región Metropolitana"
Carcasas Protectoras Xiaomi 11T - 11TPro (Nuevas),7990,24-03-2023,11:48:58,"Santiago, Región Metropolitana"
Celular Xiaomi 9T,60000,24-03-2023,10:02:56,"Puente Alto, Región Metropolitana"
"Xiaomi 12 como nuevo, impecable",330000,23-03-2023,20:45:08,"Lo Barnechea, Región Metropolitana"
Xiaomi redmi 9 pro 128g,85000,23-03-2023,20:33:18,"Santiago, Región Metropolitana"
Celular Xiaomi poco x3 pro,150000,23-03-2023,17:04:12,"Puente Alto, Región Metropolitana"
Xiaomi MI 12 Lite ,240000,23-03-2023,15:33:42,"San Bernardo, Región Metropolitana"
Xiaomi redmi 10c,90000,22-03-2023,22:44:28,"Vitacura, Región Metropolitana"
Flotador Bobber Gopro 7 6 5 4 3+ 3 2 Sj Xiaomi Env,19990,22-03-2023,13:29:57,"Providencia, Región Metropolitana"
Xiaomi Redmi note 11s 128 gb,160000,22-03-2023,12:43:29,"Pudahuel, Región Metropolitana"
Xiaomi Redmi Note 11,120000,22-03-2023,09:23:28,"Puente Alto, Región Metropolitana"
Xiaomi Mi Mix 3 / snapdragon 845 / 128gb,150000,21-03-2023,15:02:00,"Maipú, Región Metropolitana"
Xiaomi Reloj Smartwatch S1 Active Blanco Nuevo,90000,20-03-2023,14:42:55,"Las Condes, Región Metropolitana"
Xiaomi redmi note 11,250000,19-03-2023,23:33:04,"Las Condes, Región Metropolitana"
Xiomi redmi 10,130000,19-03-2023,15:28:52,"Peñalolén, Región Metropolitana"
Nuevo Xiaomi Red mi 11 Pro,280000,18-03-2023,14:48:07,"Puente Alto, Región Metropolitana"
Xiaomi Poco F3,280000,18-03-2023,14:40:30,"Estación Central, Región Metropolitana"
Celular xiaomi 128 gb,120000,17-03-2023,12:27:29,"San Joaquín, Región Metropolitana"
Xiaomi 11 Lite 5g 128gb pantalla rota,100000,17-03-2023,12:10:04,"Santiago, Región Metropolitana"
Xiaomi 11 lite 5g 128gb,110000,17-03-2023,11:48:41,"Santiago, Región Metropolitana"
Xiaomi Redmi Watch 2 Lite color black,40000,16-03-2023,18:48:44,"Quilicura, Región Metropolitana"
Xiaomi redmi 10A,120000,15-03-2023,22:19:35,"Pedro Aguirre Cerda, Región Metropolitana"
Celular xiaomi 9,100000,15-03-2023,20:19:26,"Ñuñoa, Región Metropolitana"
Xiaomi redmi 10A,100000,13-03-2023,20:49:35,"Estación Central, Región Metropolitana"
Xiaomi 11T Pro 256GB/ 8GB RAM y Smartwatch boleta,380000,12-03-2023,16:22:50,"La Cisterna, Región Metropolitana"
Celular Xiaomi Redmi 10 5G,75000,12-03-2023,15:34:24,"El Bosque, Región Metropolitana"
Xiaomi redmi 10,150000,12-03-2023,15:32:41,"La Florida, Región Metropolitana"
Xiaomi 10T Pro,290000,10-03-2023,13:19:05,"Vitacura, Región Metropolitana"
Xiaomi Mi Band 4,11000,09-03-2023,19:02:14,"Quilicura, Región Metropolitana"
Xiaomi M10T PRO,250000,09-03-2023,11:46:42,"Talagante, Región Metropolitana"
Xiaomi Redmi A1,100000,09-03-2023,02:36:18,"Providencia, Región Metropolitana"
Xiaomi poco F3 Usado en muy buen estado ,290,08-03-2023,13:18:22,"Estación Central, Región Metropolitana"
Xiaomi Redmi 9A,80000,08-03-2023,03:09:53,"Recoleta, Región Metropolitana"
0,0,0,,0
0,0,0,,0
0,0,0,,0
