titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta
Xiaomi poco 3 NFC,110000,22-04-2023,19:16:18,"Renca, Región Metropolitana"
Xiaomi redmi note 11 pro como nuevo,180000,21-04-2023,12:30:55,"Ñuñoa, Región Metropolitana"
Pantalla Xiaomi Redmi Note 8,34900,21-04-2023,11:32:22,"Macul, Región Metropolitana"
Celular xiaomi redmi 10a ,60000,20-04-2023,19:31:52,"Recoleta, Región Metropolitana"
Xiaomi Redmi note 8,85000,20-04-2023,18:21:17,"Las Condes, Región Metropolitana"
Xiaomi Redmi Note 11s SELLADO,250000,19-04-2023,15:59:38,"Quinta Normal, Región Metropolitana"
Xiaomi 12,280000,19-04-2023,11:33:14,"Quilicura, Región Metropolitana"
Xiaomi S1 active,95000,18-04-2023,23:11:11,"La Florida, Región Metropolitana"
Xiaomi redmin note 10 pro,140000,18-04-2023,21:15:25,"San Miguel, Región Metropolitana"
Xiaomi 12 5g,320000,18-04-2023,19:48:02,"La Reina, Región Metropolitana"
Xiaomi 11 t pro,2100000,18-04-2023,18:51:10,"Lo Prado, Región Metropolitana"
Xiaomi redmi 10,100000,18-04-2023,13:39:16,"Santiago, Región Metropolitana"
Xiaomi Redmi 10C,160000,17-04-2023,14:02:39,"San Joaquín, Región Metropolitana"
Xiaomi Mi11 - Pantalla dañada,235000,17-04-2023,07:54:39,"Providencia, Región Metropolitana"
Xiaomi 11 Lite 5g ne,110000,17-04-2023,02:25:58,"Pudahuel, Región Metropolitana"
Xiaomi 12 lite,280000,15-04-2023,21:57:00,"Estación Central, Región Metropolitana"
Xiaomi redmi note 9 pro,120000,14-04-2023,19:07:54,"Lo Espejo, Región Metropolitana"
Xiaomi Redmi note 9S,100000,14-04-2023,02:17:48,"La Florida, Región Metropolitana"
XIAOMI MI Note 10 EN PERFECTO ESTADO,200000,13-04-2023,17:41:17,"Providencia, Región Metropolitana"
Smartwatch my Watch xiaomi,60000,13-04-2023,15:09:52,"El Bosque, Región Metropolitana"
Celular Xiaomi redmi note 10 pro,160000,12-04-2023,10:35:39,"Quilicura, Región Metropolitana"
Xiaomi 11T pro,200000,11-04-2023,23:15:32,"Huechuraba, Región Metropolitana"
Celular Xaomi Poco X3 nfc 6gb ram 64gb,70000,11-04-2023,22:05:28,"Providencia, Región Metropolitana"
Xaomi poco F3 excelentes condiciones,280000,11-04-2023,12:20:55,"Peñalolén, Región Metropolitana"
Mi Band 4 xiaomi,15000,11-04-2023,10:24:14,"Providencia, Región Metropolitana"
Xiaomi 11 pro,100000,11-04-2023,06:46:55,"Pudahuel, Región Metropolitana"
Xiaomi 11T Pro 256gb,350000,10-04-2023,21:12:56,"Vitacura, Región Metropolitana"
Xiaomi Redmi note 9s,120000,10-04-2023,21:09:06,"Macul, Región Metropolitana"
Xiaomi redmi 9t,70000,10-04-2023,17:46:51,"Estación Central, Región Metropolitana"
Celular Xiaomi Mi 10 T pro ,330000,10-04-2023,14:55:19,"Santiago, Región Metropolitana"
Xiaomi redmi note s11,100000,10-04-2023,02:52:44,"Recoleta, Región Metropolitana"
Xaomi Redmi Note 11 Pro 5G,230000,08-04-2023,18:15:30,"Maipú, Región Metropolitana"
Celular Nuevo Xaomi Redmi Note 11 5G,220000,08-04-2023,14:24:01,"San Joaquín, Región Metropolitana"
Vidrio Lente Camara Trasera Xiaomi Mi 11t / Pro +,4900,08-04-2023,11:51:24,"Macul, Región Metropolitana"
Xiomi 12 pro sin detalles leer abajo,390000,07-04-2023,19:00:33,"La Cisterna, Región Metropolitana"
Smartwatch Xiaomi Amazfit GTS 2,115000,07-04-2023,13:38:40,"Santiago, Región Metropolitana"
Pantalla y marco Xiaomi redmi note 8,35000,06-04-2023,19:33:07,"Santiago, Región Metropolitana"
"Xaomi 12 pro, 256GB, Color purpura",500000,06-04-2023,16:15:31,"Quinta Normal, Región Metropolitana"
Xiaomi Redmi Note 10 5g,120000,05-04-2023,18:41:37,"Quinta Normal, Región Metropolitana"
Celular Xaomi Redmi10 5G 128 GB-NUEVO SELLADO,130000,05-04-2023,15:17:07,"El Bosque, Región Metropolitana"
Xiomi mi 11 lite,150000,05-04-2023,14:28:46,"Santiago, Región Metropolitana"
Xiaomi t11 pro,250,04-04-2023,14:35:10,"Maipú, Región Metropolitana"
Xiaomi redmi note 9,80000,04-04-2023,14:16:46,"Santiago, Región Metropolitana"
Xiaomi wathc s1 active,50000,03-04-2023,22:16:54,"La Florida, Región Metropolitana"
Xiaomi Redmi 10C 128GB,170000,03-04-2023,19:56:59,"Puente Alto, Región Metropolitana"
Celular Xiaomi Redmi Note 10S ,150000,03-04-2023,14:58:46,"La Pintana, Región Metropolitana"
Xiaomi redmi note 9 128bg,90000,03-04-2023,14:17:05,"La Pintana, Región Metropolitana"
0,0,0,,0
0,0,0,,0
0,0,0,,0
