titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta
Xiaomi redmi 10 5g,80000,26-05-2023,21:27:02,"Lo Prado, Región Metropolitana"
Xiaomi redmi note 8,190000,26-05-2023,20:19:22,"Ñuñoa, Región Metropolitana"
Xiaomi 11 Lite 5G NE,120000,26-05-2023,12:38:02,"Puente Alto, Región Metropolitana"
"Celular Xiaomi X3 Pro 128gb, 6gb Ram",150000,26-05-2023,11:26:45,"Huechuraba, Región Metropolitana"
Xiaomi 10T,75000,26-05-2023,09:04:06,"Pedro Aguirre Cerda, Región Metropolitana"
Celular Xiaomi redmi note 9,160000,26-05-2023,08:36:47,"Estación Central, Región Metropolitana"
Celular Xiomi redmi 10 (5G),80000,25-05-2023,21:55:35,"Puente Alto, Región Metropolitana"
Teléfono Xiaomi Redmi Note 10 5g,160000,25-05-2023,14:08:01,"Ñuñoa, Región Metropolitana"
Xiaomi Redmi note 11S,3000,24-05-2023,20:27:11,"Renca, Región Metropolitana"
Funda para xiaomi 11 lite 5g ne,130000,24-05-2023,19:55:17,"San Miguel, Región Metropolitana"
Xiaomi redmi note 10 5g,12000,22-05-2023,19:32:27,"La Florida, Región Metropolitana"
Xiaomi 10A 128 g,280000,22-05-2023,14:43:10,"Maipú, Región Metropolitana"
Xiaomi red mi note 11s 5g,230000,22-05-2023,12:30:48,"Lo Prado, Región Metropolitana"
Xiaomi 11T 256GB,90000,21-05-2023,12:08:46,"Pudahuel, Región Metropolitana"
Xiaomi 11t pro sin detalles ,500000,21-05-2023,09:14:15,"Las Condes, Región Metropolitana"
Xiaomi Redmi Note 8 Pro,130000,21-05-2023,04:01:37,"Ñuñoa, Región Metropolitana"
Xiaomi 12 t pro,100000,20-05-2023,21:24:03,"Maipú, Región Metropolitana"
Xaomi 10 T,330000,20-05-2023,20:45:40,"La Pintana, Región Metropolitana"
Xiaomi amazfit gts 3 by zeep,100000,19-05-2023,23:44:54,"San Miguel, Región Metropolitana"
Xiaomi 11t pro,220000,19-05-2023,21:42:00,"Talagante, Región Metropolitana"
Celular xaomi 11 t pro,170000,19-05-2023,19:39:39,"Independencia, Región Metropolitana"
Xiaomi Redmi Note 10S,120000,19-05-2023,15:01:03,"Macul, Región Metropolitana"
Xiaomi 11T,95000,18-05-2023,21:48:07,"Peñalolén, Región Metropolitana"
Xiaomi Redmi Note 11,110000,18-05-2023,18:54:14,"Maipú, Región Metropolitana"
Xiaomi note 10 lite ,80000,18-05-2023,16:56:02,"La Florida, Región Metropolitana"
Celular xiaomi,300000,18-05-2023,15:19:05,"San Miguel, Región Metropolitana"
Xiaomi 12c,230000,18-05-2023,14:25:16,"Santiago, Región Metropolitana"
reloj Xiaomi ,250000,18-05-2023,13:40:36,"Huechuraba, Región Metropolitana"
Xioami redmi note 11 pro 5g,200000,18-05-2023,09:35:11,"Las Condes, Región Metropolitana"
Xiaomi 5g T11,80000,17-05-2023,22:27:21,"San Miguel, Región Metropolitana"
Xiaomi 11T 256GB,8000,17-05-2023,09:11:34,"Maipú, Región Metropolitana"
Xiaomi Note 10 en excelentes condiciones,18000,16-05-2023,14:30:08,"La Florida, Región Metropolitana"
Celular Redmi xiaomi dual sim128gb,80000,15-05-2023,23:16:35,"Peñalolén, Región Metropolitana"
Parlante MI Xiomi,130000,15-05-2023,19:31:54,"Pudahuel, Región Metropolitana"
Bascula MI Xiaomi,170000,15-05-2023,18:57:45,"Pudahuel, Región Metropolitana"
Xiaomi redmi note 9 128gb / 4gb ram + 2,5900,15-05-2023,15:49:27,"Macul, Región Metropolitana"
NUEVO - XIAOMI Redmi 10,8900,15-05-2023,15:22:46,"Vitacura, Región Metropolitana"
Xiaomi mi 10T,10500,15-05-2023,13:59:04,"Conchalí, Región Metropolitana"
Lente Camara Trasera Xiaomi Redmi Note 9 Pro 9s,6500,15-05-2023,13:22:23,"Macul, Región Metropolitana"
Flex Main Xiaomi Redmi Note 9s / 9 Pro,39900,15-05-2023,13:21:57,"Macul, Región Metropolitana"
Flex Carga Compatible Xiaomi Redmi Note 9s Y Note,290000,15-05-2023,12:27:40,"Macul, Región Metropolitana"
Lente Camara Trasera Xiaomi Redmi Note 9 PRO,140000,15-05-2023,12:22:39,"Macul, Región Metropolitana"
Pantalla Xiaomi Redmi Note 9 Pro / Note 9s,250000,15-05-2023,12:02:26,"Macul, Región Metropolitana"
xioami 12,160000,14-05-2023,17:38:27,"Puente Alto, Región Metropolitana"
Teléfono huawei y xiaomi,0,12-05-2023,22:58:33,"Santiago, Región Metropolitana"
Xiomi 12 lite,0,12-05-2023,00:54:41,"Estación Central, Región Metropolitana"
Celulares Xiaomi,0,11-05-2023,22:47:48,"Lo Prado, Región Metropolitana"
0,0,0,,0
0,0,0,,0
0,0,0,,0
