titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta
Celular Xiaomi note 11,60000,03-08-2022,20:04:03,"La Florida, Región Metropolitana"
Xiaomi mi watch,60000,03-08-2022,13:46:08,"Pudahuel, Región Metropolitana"
Cambio de pantalla xiomi redmi note 9,300000,03-08-2022,13:41:32,"Providencia, Región Metropolitana"
Xiaomi Mi 10t 5g Dual Sim 128 Gb Negro Cósmico 6 G,150000,03-08-2022,13:32:49,"San Miguel, Región Metropolitana"
Xiaomi MI 10T LITE,5290,03-08-2022,11:15:30,"La Reina, Región Metropolitana"
Xiaomi note 8 128GB,700000,03-08-2022,01:42:46,"Peñalolén, Región Metropolitana"
Lámina para cámara Xiaomi note 11 Pro 5G,220000,02-08-2022,20:23:05,"Las Condes, Región Metropolitana"
Xiaomi 12 pro full,250000,02-08-2022,15:00:02,"La Florida, Región Metropolitana"
Xiaomi Mi 10 t,69990,02-08-2022,14:46:16,"Macul, Región Metropolitana"
Xiaomi RedmiNote 10 Pro 128gb,210000,01-08-2022,19:55:39,"Las Condes, Región Metropolitana"
Pantalla LCD Compatible con Xiaomi Mi 11 Lite,28990,01-08-2022,18:05:46,"Santiago, Región Metropolitana"
Xiaomi mi 11 Lite 5G,28990,01-08-2022,17:48:00,"Maipú, Región Metropolitana"
Pantalla Redmi 9T Compatible con Xiaomi Redmi 9T,26990,01-08-2022,17:29:27,"Santiago, Región Metropolitana"
Pantalla Compatible con Xiaomi Redmi Note 9s,80000,01-08-2022,17:27:58,"Santiago, Región Metropolitana"
Pantalla Compatible con Xiaomi Redmi Note 8 Pro,250000,01-08-2022,17:26:51,"Santiago, Región Metropolitana"
Xiaomi POCO M3,120000,01-08-2022,16:17:07,"Melipilla, Región Metropolitana"
Xiaomi 10 T pro,14000,01-08-2022,15:53:21,"Melipilla, Región Metropolitana"
Xiaomi poco x3,50000,01-08-2022,14:17:28,"Peñalolén, Región Metropolitana"
Mi band 5 xiaomi,110000,01-08-2022,06:14:00,"Maipú, Región Metropolitana"
Smartwatch xiaomi,120000,31-07-2022,20:38:46,"Ñuñoa, Región Metropolitana"
Xiaomi redmi 10a 64 gb,50000,31-07-2022,19:14:06,"Lo Prado, Región Metropolitana"
Xiaomi Redmi Note 10 S,95000,31-07-2022,12:51:51,"La Florida, Región Metropolitana"
Celular Xiaomi Redmi note 8,90000,30-07-2022,17:11:22,"Ñuñoa, Región Metropolitana"
Xiaomi Note 10s,0,29-07-2022,18:42:20,"Cerrillos, Región Metropolitana"
Xiaomi Redmi 9,0,29-07-2022,17:00:47,"Estación Central, Región Metropolitana"
0,0,0,,0
0,0,0,,0
0,0,0,,0
0,0,0,,0
0,0,0,,0
0,0,0,,0
0,0,0,,0
0,0,0,,0
0,0,0,,0
0,0,0,,0
0,0,0,,0
0,0,0,,0
0,0,0,,0
0,0,0,,0
0,0,0,,0
0,0,0,,0
0,0,0,,0
0,0,0,,0
0,0,0,,0
0,0,0,,0
0,0,0,,0
0,0,0,,0
0,0,0,,0
0,0,0,,0
0,0,0,,0
