titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta
Xiaomi Redmi Note 8 Pro 128gb Forest Green,160000,30-09-2022,01:59:39,"Las Condes, Región Metropolitana"
Xiaomi 11t pro 256gb con pequeño detalle,240000,30-09-2022,01:47:42,"Conchalí, Región Metropolitana"
Vendo xiaomi redmi note 10 5g,120000,30-09-2022,01:43:26,"Renca, Región Metropolitana"
Xiaomi redmi 10a 64gb 3gb en ram,100000,30-09-2022,01:31:54,"San Joaquín, Región Metropolitana"
Xiaomi a 10 nuevo sellado,120000,30-09-2022,01:20:57,"La Florida, Región Metropolitana"
Xiaomi 12 5G 256GB/8GB,500000,30-09-2022,01:09:44,"Providencia, Región Metropolitana"
Vendo celular Xiaomi Redmi note 11 Pro 5G,280000,30-09-2022,01:07:48,"Ñuñoa, Región Metropolitana"
Xiaomi 12 Gray,455000,28-09-2022,13:01:36,"Las Condes, Región Metropolitana"
Celular Xiaomi Redmi Note 10 64 GB,85000,28-09-2022,12:06:24,"Las Condes, Región Metropolitana"
 xiaomi 11lite,140000,28-09-2022,09:36:01,"Macul, Región Metropolitana"
Xiaomi MI 10T Lite,5900,28-09-2022,09:15:31,"Talagante, Región Metropolitana"
Lente Mica De Camara Xiaomi Redmi 10,95000,27-09-2022,15:39:49,"Macul, Región Metropolitana"
Teléfono xiomi MI 9 T nuen estado,350000,27-09-2022,07:01:10,"Macul, Región Metropolitana"
Xiaomi 12 ( con muy poco uso),100000,26-09-2022,18:39:32,"Maipú, Región Metropolitana"
Xiaomi Redmi 10 A,70000,26-09-2022,18:28:13,"Buin, Región Metropolitana"
Xiaomi redmi 9A,60000,25-09-2022,00:51:58,"Estación Central, Región Metropolitana"
Xiaomi Redmi 10 (128gb / 6Ram) Permuto,165000,24-09-2022,17:13:07,"San Miguel, Región Metropolitana"
Xiaomi Redmi 9A,210000,24-09-2022,04:32:31,"Maipú, Región Metropolitana"
Xiaomi redmi note 10 5g,125000,23-09-2022,20:29:09,"Santiago, Región Metropolitana"
Xiaomi redmi note 11s,145000,23-09-2022,20:28:56,"Santiago, Región Metropolitana"
Xiaomi redmi 9c gris,125000,23-09-2022,20:28:52,"Santiago, Región Metropolitana"
Xiaomi redmi 10c,245000,23-09-2022,20:28:48,"Santiago, Región Metropolitana"
Xiaomi redmi 10A 64gb,235000,23-09-2022,20:27:32,"Santiago, Región Metropolitana"
Xiaomi Note 11 pro 5g,245000,23-09-2022,20:27:27,"Santiago, Región Metropolitana"
Xiaomi note 11 pro 4g,285000,23-09-2022,20:27:17,"Santiago, Región Metropolitana"
Xiaomi MI 11 lite 5g,100000,23-09-2022,20:27:06,"Santiago, Región Metropolitana"
Xiaomi Redmi Note 11 Pro 5G,160000,21-09-2022,19:36:04,"Santiago, Región Metropolitana"
Xiaomi Redmi Note ),10000,21-09-2022,10:19:57,"Santiago, Región Metropolitana"
Celular Xiaomi note 10 5 g,155000,20-09-2022,15:13:01,"Puente Alto, Región Metropolitana"
Cargador inalambrico xiaomi 10w,450000,20-09-2022,10:59:12,"Quilicura, Región Metropolitana"
Xiaomi note 10 PRO,210000,20-09-2022,10:45:33,"Puente Alto, Región Metropolitana"
Xiaomi redmi note 10 pro usado,150000,20-09-2022,09:15:18,"Santiago, Región Metropolitana"
Xiaomi 12 Pro 256GB Color Gris + Carcasa CamShield,150000,19-09-2022,13:47:33,"La Reina, Región Metropolitana"
Xiaomi 11 Lite 5 G,190000,18-09-2022,23:30:34,"Recoleta, Región Metropolitana"
Celular Xiaomi MI 9T,130000,18-09-2022,22:02:01,"Independencia, Región Metropolitana"
Xiaomi Redmi note 10 pro,6000,18-09-2022,13:21:22,"Buin, Región Metropolitana"
Xiaomi 11s,80000,17-09-2022,22:32:28,"Santiago, Región Metropolitana"
Xiaomi Redmi 10a mas info al privado,50000,17-09-2022,20:35:59,"La Pintana, Región Metropolitana"
Funda Xiaomi Redmi Note 10 Pro,7900,16-09-2022,19:22:12,"Cerrillos, Región Metropolitana"
Reloj smartwatch xioami s1 active,250000,16-09-2022,17:17:29,"La Florida, Región Metropolitana"
Celular Xiami 10 64 gigas ,8900,16-09-2022,12:48:12,"Santiago, Región Metropolitana"
Flex Main Compatible Con Xiaomi Redmi Note 10 10S,145000,15-09-2022,16:43:11,"Macul, Región Metropolitana"
Celular xaomi 11 T celestial blue,150000,15-09-2022,14:34:06,"Santiago, Región Metropolitana"
Flex Main Compatible Con Xiaomi Redmi Note 10 Pro,350000,14-09-2022,18:49:18,"Macul, Región Metropolitana"
Xiomi Redmi note 10 5G,0,14-09-2022,18:01:41,"Santiago, Región Metropolitana"
Xiaomi poco x3pro ,0,14-09-2022,12:59:52,"Santiago, Región Metropolitana"
celular Xiaomi redmi note 11 pro 5g ,0,13-09-2022,17:43:08,"Lo Barnechea, Región Metropolitana"
0,0,0,,0
0,0,0,,0
0,0,0,,0
