titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta
Xiaomi Redmi note 10s,100000,10-05-2023,14:10:11,"Ñuñoa, Región Metropolitana"
Xiami redmi 12c,95000,09-05-2023,22:25:56,"San Miguel, Región Metropolitana"
Xiaomi note 10s,90000,09-05-2023,21:39:47,"Lo Espejo, Región Metropolitana"
Celular Xaomi Note 10 5G,100000,09-05-2023,14:25:49,"Lo Prado, Región Metropolitana"
Xiaomi Redmi Note 12 5G,150000,09-05-2023,12:34:20,"Macul, Región Metropolitana"
Xiaomi redmi note 9,90000,08-05-2023,15:31:00,"San Bernardo, Región Metropolitana"
Xiaomi 12 lite,190000,08-05-2023,13:30:46,"San Bernardo, Región Metropolitana"
"Smartphone Xiaomi Redmi 10 5G 128 GB, DualSIM",150000,08-05-2023,12:46:30,"Santiago, Región Metropolitana"
Xiaomi 12c,80000,07-05-2023,20:24:03,"Santiago, Región Metropolitana"
Xiaomi 11 Lite 5g NE,200,05-05-2023,15:28:09,"La Florida, Región Metropolitana"
Xiaomi redmi note 9s,90000,05-05-2023,06:44:24,"Santiago, Región Metropolitana"
Xiaomi 10 5G,150000,04-05-2023,12:42:24,"Ñuñoa, Región Metropolitana"
Lente Camara Trasera Xiaomi Redmi 9c,7500,04-05-2023,12:15:37,"Providencia, Región Metropolitana"
Flex De Carga Xiaomi Redmi 9a,8500,04-05-2023,12:14:56,"Providencia, Región Metropolitana"
Pantalla Xiaomi Redmi 9c / Redmi 9a,31900,04-05-2023,12:14:31,"Providencia, Región Metropolitana"
Xiaomi Redmi Note 5 Flex Boton Encendido Y Volumen,7500,04-05-2023,12:14:16,"Providencia, Región Metropolitana"
Xiaomi Redmi note 8 128gb,90000,04-05-2023,01:24:50,"La Florida, Región Metropolitana"
Xiaomi Mi 11,400000,03-05-2023,21:04:03,"Lo Barnechea, Región Metropolitana"
Redmi xiaomi 10tpro nuevo,100000,03-05-2023,19:20:10,"Calera de Tango, Región Metropolitana"
Xiaomi Redmi 9,35000,03-05-2023,15:19:39,"Santiago, Región Metropolitana"
Xiaomi redmi note 9 pro,110000,02-05-2023,23:21:13,"Melipilla, Región Metropolitana"
Nueva Smart ban xiaomi 2,25000,02-05-2023,17:11:21,"Quilicura, Región Metropolitana"
Smartwatch Xiaomi,60000,02-05-2023,09:16:53,"La Florida, Región Metropolitana"
Xiaomi 11t dual sim detalle,110000,01-05-2023,23:10:03,"Padre Hurtado, Región Metropolitana"
Xiaomi Redmi Note 11Pro 5G DualSIM Azul Como Nuevo,215000,01-05-2023,22:17:51,"Peñalolén, Región Metropolitana"
Celular REDMI XIAOMI 13,80000,01-05-2023,18:19:17,"La Florida, Región Metropolitana"
Cargadores xiaomi ,15000,01-05-2023,14:42:53,"Independencia, Región Metropolitana"
Celular Xiaomi 12 Lite 5G,270000,01-05-2023,14:41:07,"Santiago, Región Metropolitana"
Celular Xiaomi Redmi 12c,130000,01-05-2023,01:20:56,"Santiago, Región Metropolitana"
 Xiaomi redmi 10c 128 gb,90000,29-04-2023,19:56:29,"Lo Prado, Región Metropolitana"
Xiaomi 12,320000,29-04-2023,17:19:42,"Quilicura, Región Metropolitana"
Xiaomi excelente estado,130000,27-04-2023,20:07:15,"Lampa, Región Metropolitana"
Xiaomi Redmi Note 11S 6GB RAM 108MP - Gris,150000,27-04-2023,18:49:50,"Santiago, Región Metropolitana"
Xiaomi 12c,120000,27-04-2023,00:30:12,"San Miguel, Región Metropolitana"
Smartwach Xiaomi Mi WATCH Pantalla 1.39,100000,25-04-2023,21:19:58,"Santiago, Región Metropolitana"
Xiaomi 11T celestial blue y audífonos,320000,25-04-2023,13:20:13,"La Florida, Región Metropolitana"
Xiaomi redmi12c,120000,25-04-2023,10:20:47,"Quinta Normal, Región Metropolitana"
Xiaomi redmi note 10s,180000,24-04-2023,18:50:33,"Santiago, Región Metropolitana"
Xiaomi redmi 10c,130000,24-04-2023,18:50:22,"Santiago, Región Metropolitana"
Redmi Watch 2 lite Xiaomi,40000,24-04-2023,15:16:49,"Melipilla, Región Metropolitana"
Xiaomi poco x3 pro en muy buen estado,150000,24-04-2023,12:58:59,"Macul, Región Metropolitana"
Xiaomi Mi 9t Pro,200000,24-04-2023,02:52:45,"Estación Central, Región Metropolitana"
Celular Xiaomi red mi 9 64gb,70000,23-04-2023,19:30:19,"Maipú, Región Metropolitana"
Xiaomi Mi11 Lite5GNE 8GB de ram en perfecto estado,220000,23-04-2023,19:28:45,"La Florida, Región Metropolitana"
Celular Xiaomi redmi 10 2022,130000,23-04-2023,18:33:50,"Maipú, Región Metropolitana"
Xiaomi 11t pro,290000,23-04-2023,16:02:16,"San Miguel, Región Metropolitana"
V o P Xiaomi Poco F3 5g,230000,23-04-2023,03:02:23,"Santiago, Región Metropolitana"
0,0,0,,0
0,0,0,,0
0,0,0,,0
