titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta
Celular Xiami 11TPro,330000,07-03-2023,18:27:52,"San Bernardo, Región Metropolitana"
Xiaomi 10 5g graphite gray,150000,07-03-2023,14:11:52,"San Ramón, Región Metropolitana"
Xaomi redmi note 10.128 g,120000,07-03-2023,13:46:28,"Santiago, Región Metropolitana"
Xaomi redmi note 10,120000,06-03-2023,08:29:24,"Santiago, Región Metropolitana"
Xiaomi redmi 10c,120000,06-03-2023,04:09:35,"Peñalolén, Región Metropolitana"
Xiaomi Redmi Note 9 Pro,85000,05-03-2023,19:28:34,"Santiago, Región Metropolitana"
Xiaomi redmi 10A,85000,05-03-2023,15:43:34,"La Florida, Región Metropolitana"
Smartwatch Xiaomi s1 active,60000,04-03-2023,14:48:01,"Santiago, Región Metropolitana"
Xiaomi redmi note 10 PRO 128 gigas,150000,04-03-2023,13:14:04,"Lo Prado, Región Metropolitana"
Xiaomi redmi note 11 pro,130000,03-03-2023,20:26:08,"Peñalolén, Región Metropolitana"
Xiaomi mi note 10 lite,250000,03-03-2023,13:13:36,"Santiago, Región Metropolitana"
Xiaomi POCO F3 Deep Ocen Blue 8GB 256GB,90000,03-03-2023,01:09:43,"Quilicura, Región Metropolitana"
Xiaomi REDMI 9 -Carbon Gray- 4GB 64GB,185000,03-03-2023,01:07:58,"Quilicura, Región Metropolitana"
Xiaomi redmi note 11s White ,150000,02-03-2023,21:26:52,"Maipú, Región Metropolitana"
"Xiaomi POCO X3 pro, celular en buen estado",190000,02-03-2023,16:01:26,"Maipú, Región Metropolitana"
Xiaomi Red mi Note 10s,95000,01-03-2023,21:58:07,"La Pintana, Región Metropolitana"
Xiaomi redmi 10 5G,140000,28-02-2023,19:07:14,"Maipú, Región Metropolitana"
Xiaomi Mi A3 Lite Kind of Grey,180,28-02-2023,18:55:45,"Maipú, Región Metropolitana"
Redmi Note 11 Xiaomi Sirve para 2 chip IMPECABLE,120000,28-02-2023,17:04:43,"La Reina, Región Metropolitana"
Xiaomi Redmi Note 9 pro,65000,28-02-2023,17:02:52,"Quinta Normal, Región Metropolitana"
Xiaomi redmi 9 más Nokia c01plus,110000,28-02-2023,15:22:18,"Pedro Aguirre Cerda, Región Metropolitana"
Xiaomi Redmi Note 10S 128GB,120000,28-02-2023,01:39:53,"Estación Central, Región Metropolitana"
Celular xiaomi redmi note 10s,200000,27-02-2023,14:58:29,"Quinta Normal, Región Metropolitana"
Xiaomi Mi 9 Nuevo,190000,26-02-2023,17:33:31,"Maipú, Región Metropolitana"
Xiaomi Redmi Note 11 Pro Graphite Gray,135000,26-02-2023,16:42:04,"Maipú, Región Metropolitana"
Xiaomi redmi 10,240000,26-02-2023,16:37:00,"Santiago, Región Metropolitana"
Xiaomi redmi note 11 pro,55000,26-02-2023,11:52:17,"La Granja, Región Metropolitana"
Xiaomi redmi 9a ,380000,25-02-2023,10:24:39,"Independencia, Región Metropolitana"
Xiaomi 11t pro,160000,24-02-2023,23:45:12,"Renca, Región Metropolitana"
Xiaomi mi 11 lite 5 g,305000,24-02-2023,20:29:07,"Providencia, Región Metropolitana"
Xiaomi mi pad 5 (conversable),120000,24-02-2023,19:20:53,"Puente Alto, Región Metropolitana"
Celulares a 120 xiaomy y motorola 120,170000,24-02-2023,18:16:01,"Independencia, Región Metropolitana"
Xiaomi Redmi Note 11 128 GB,180000,24-02-2023,11:39:49,"Las Condes, Región Metropolitana"
Xiaomi Mi 10t 5g 128 Gb/ 8 Gb Ram PRECIO CONVERSAB,180000,23-02-2023,20:06:54,"Cerro Navia, Región Metropolitana"
Xiomi redmi note 10s pebble white,150000,23-02-2023,11:04:49,"Renca, Región Metropolitana"
Xiaomi poco X3 pro,220000,23-02-2023,00:32:18,"La Cisterna, Región Metropolitana"
Xiaomi Redmi Note 11 Pro 5g Color Gris,250000,22-02-2023,19:17:58,"Puente Alto, Región Metropolitana"
Xiaomi 10tpro,130000,22-02-2023,10:40:09,"Talagante, Región Metropolitana"
Xiaomi redmi note 11,130000,21-02-2023,23:36:16,"Las Condes, Región Metropolitana"
Xiaomi Redmi 10 5G 128GB,350000,21-02-2023,22:13:09,"Santiago, Región Metropolitana"
Celular xiaomi 12 Lite y Smart wacht retmi a,165000,21-02-2023,19:34:47,"Puente Alto, Región Metropolitana"
Celular Xiaomi 10t pro,28000,21-02-2023,17:40:05,"Puente Alto, Región Metropolitana"
Reloj Xiaomi Redmi 2 Lite (nuevo),465000,21-02-2023,15:30:30,"Santiago, Región Metropolitana"
Xiaomi 12 Pro celeste,90000,21-02-2023,12:52:00,"Puente Alto, Región Metropolitana"
Xiaomi Redmi 9T 128 GB 48 MEGAPÍXELES,150000,21-02-2023,04:54:23,"Las Condes, Región Metropolitana"
Xiaomi Redmi 10 5g,80000,20-02-2023,23:10:35,"Lo Prado, Región Metropolitana"
Xiaomi Redmi Note 9,0,20-02-2023,22:58:01,"Pudahuel, Región Metropolitana"
0,0,0,,0
0,0,0,,0
0,0,0,,0
