titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta
Xiaomi redmi note 10,80000,30-01-2023,01:16:14,"Conchalí, Región Metropolitana"
Xiaomi redmi9,100000,30-01-2023,00:02:26,"La Florida, Región Metropolitana"
Xiaomi mi 11normal permuto,14000,29-01-2023,16:38:20,"El Bosque, Región Metropolitana"
Xiaomi mi band 5 nueva (usada 2 veces),150000,29-01-2023,15:30:48,"Las Condes, Región Metropolitana"
Xiaomi redmi note 11 5g,105000,29-01-2023,05:53:49,"Macul, Región Metropolitana"
Xiaomi Redmi 9,75000,29-01-2023,00:22:25,"Independencia, Región Metropolitana"
Xiaomi Redmi note 10 pro 5G,200000,28-01-2023,22:06:33,"Padre Hurtado, Región Metropolitana"
Se  Xiaomi note 8 pro 128gb,150,28-01-2023,21:40:18,"Estación Central, Región Metropolitana"
Xiaomi 11lite 5g liberado,650000,28-01-2023,17:17:54,"San Miguel, Región Metropolitana"
Xiaomi Redmi Note 11 -128 GB Sirve para 2 Chip,150000,27-01-2023,22:26:26,"La Reina, Región Metropolitana"
Xiaomi poco X3 pro 256gb,69000,27-01-2023,02:57:48,"Lo Prado, Región Metropolitana"
Xiaomi 12Tpro 5G,90000,27-01-2023,00:49:32,"Estación Central, Región Metropolitana"
Flip Cover Xiaomi Note10Pro,6900,26-01-2023,20:02:40,"Santiago, Región Metropolitana"
Xiaomi redmi note 10 Pro,85000,25-01-2023,20:58:43,"Puente Alto, Región Metropolitana"
Xiaomi Redmi Note 7,180000,25-01-2023,14:32:00,"Ñuñoa, Región Metropolitana"
Xiaomi redmi 10 2022,65000,25-01-2023,12:58:29,"Ñuñoa, Región Metropolitana"
Lente Camara Xiaomi Redmi Note 10,80000,25-01-2023,12:44:57,"Providencia, Región Metropolitana"
Xiaomi redmi note 10s,24000,24-01-2023,23:23:51,"Puente Alto, Región Metropolitana"
Xiaomi 12 Lite ,220000,24-01-2023,18:53:56,"Lo Prado, Región Metropolitana"
Xiaomi Redmi 9A,180000,23-01-2023,23:25:27,"Santiago, Región Metropolitana"
xiaomi redmi 9c en buen estado,110000,23-01-2023,21:33:07,"Maipú, Región Metropolitana"
Batería Externa Xiaomi Redmi,250000,23-01-2023,16:13:29,"Cerrillos, Región Metropolitana"
Xiaomi redmi 11s,160000,22-01-2023,22:40:47,"Peñalolén, Región Metropolitana"
Xiaomi Redmi Note 10 Pro,100000,22-01-2023,18:23:15,"Lo Prado, Región Metropolitana"
Xiaomi Redmi Note 11 Azul 128gb,100000,22-01-2023,14:57:59,"Quilicura, Región Metropolitana"
"Xiaomi black Shark 4 8g ram, 128g, snapdragon870",229990,22-01-2023,13:28:57,"Santiago, Región Metropolitana"
Xiaomi Redmi Note 11 (Nuevo),250000,22-01-2023,01:16:58,"Macul, Región Metropolitana"
Celular Xiaomi ,125000,21-01-2023,23:19:28,"La Florida, Región Metropolitana"
Xiaomi mi mix 6g ram y 256g memoria,50000,21-01-2023,22:55:55,"Santiago, Región Metropolitana"
Xiomi 11lite 5g.nuevo en caja,130000,21-01-2023,22:04:24,"Independencia, Región Metropolitana"
Xioaomi 12 lite 128 gb 8 ram,110000,21-01-2023,00:27:43,"Ñuñoa, Región Metropolitana"
Xiaomi Poco X3 impecable,200000,20-01-2023,13:24:28,"El Bosque, Región Metropolitana"
Xiaomi redmi 9,120000,20-01-2023,05:46:31,"La Pintana, Región Metropolitana"
Xiaomi,50000,19-01-2023,19:58:27,"Colina, Región Metropolitana"
Xiaomi Mi 9 USADO CONVERSABLE,60000,19-01-2023,18:08:00,"Las Condes, Región Metropolitana"
Xiaomi 12 5G // 256 GB y 8+3 Ram,600000,19-01-2023,17:11:29,"Las Condes, Región Metropolitana"
Xiaomi redmi note 11pro y Xiaomi redmi note 11,100000,17-01-2023,17:11:46,"Peñaflor, Región Metropolitana"
Xiaomi 10 5G,200000,17-01-2023,02:30:00,"Pudahuel, Región Metropolitana"
Xiaomi Redmi 9 64 gb,100000,16-01-2023,19:36:58,"Santiago, Región Metropolitana"
Xiaomi Redmi 9A,190000,16-01-2023,16:08:03,"Puente Alto, Región Metropolitana"
Xiaomi 12 t pro 5G /256 ,95000,16-01-2023,05:44:42,"Pudahuel, Región Metropolitana"
Xiaomi Redmi Note 8,0,15-01-2023,12:49:32,"Renca, Región Metropolitana"
Xiaomi 10a,0,12-01-2023,18:56:00,"Peñalolén, Región Metropolitana"
"XIAOMI 10T pro, 256gb y 8 Ram",0,11-01-2023,19:20:26,"San Bernardo, Región Metropolitana"
Smart watch módelo xiaomi xmwtclo2,0,11-01-2023,07:39:51,"El Bosque, Región Metropolitana"
Telefono Xiaomi Redmi note 11s,0,10-01-2023,21:24:00,"Santiago, Región Metropolitana"
Celular Xiaomi redmi note 9 pro,0,10-01-2023,17:29:06,"Padre Hurtado, Región Metropolitana"
0,0,0,,0
0,0,0,,0
0,0,0,,0
