pagina,titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta
26,Samsung S21 Ultra 256GB,460000,13-04-2023,14:24:01,"Providencia, Región Metropolitana"
26,Teléfono Samsung A04 perfecto estado,100000,13-04-2023,10:26:29,"Lo Espejo, Región Metropolitana"
26,Samsung Galaxy S20+ usado,220000,12-04-2023,22:32:48,"Las Condes, Región Metropolitana"
26,Teléfono Samsung A52 Nuevo,120000,12-04-2023,20:40:05,"Maipú, Región Metropolitana"
26,Tablet Samsung Galaxy A7 Lite 64 GB,110000,12-04-2023,20:08:02,"Santiago, Región Metropolitana"
26,Celular Samsung s22 ultra,550000,12-04-2023,18:28:26,"Colina, Región Metropolitana"
26,Samsung a11,80000,12-04-2023,17:48:23,"Puente Alto, Región Metropolitana"
26,Samsung a73,300000,12-04-2023,15:35:12,"Renca, Región Metropolitana"
26,Samsung galaxy A73 5g cómo nuevo,260000,12-04-2023,15:30:09,"Renca, Región Metropolitana"
26,Samsung Galaxy S21,300000,12-04-2023,15:18:07,"Ñuñoa, Región Metropolitana"
26,Samsung Galaxy Watch 4,90000,12-04-2023,15:10:22,"Estación Central, Región Metropolitana"
26,Celular Samsung,13000,12-04-2023,14:32:33,"Maipú, Región Metropolitana"
26,Samsung S-10 Plus,180000,12-04-2023,13:14:25,"Santiago, Región Metropolitana"
26,Flex De Carga Samsung Galaxy A70,7900,12-04-2023,12:57:18,"Macul, Región Metropolitana"
26,Lamina Mica Glass 9d Full Para Samsung Galaxy A70,3790,12-04-2023,12:51:56,"Macul, Región Metropolitana"
26,Flex Main Samsung Galaxy A70,8900,12-04-2023,12:50:53,"Macul, Región Metropolitana"
26,Pantalla Samsung Galaxy A70,49900,12-04-2023,12:50:45,"Macul, Región Metropolitana"
26,Celular Samsung A04 128gb,150000,12-04-2023,11:20:44,"Peñalolén, Región Metropolitana"
26,Sansung galaxy a23 5g de 128gb,200000,12-04-2023,06:53:39,"Estación Central, Región Metropolitana"
26,Cargador Externo Samsung,40000,12-04-2023,00:16:40,"Las Condes, Región Metropolitana"
26,Samsung Galaxy A51,150000,11-04-2023,20:16:58,"La Reina, Región Metropolitana"
26,S21 ultra Samsung,550000,11-04-2023,12:40:22,"La Florida, Región Metropolitana"
26,Samsung s21 fe 5g,272000,11-04-2023,10:17:27,"Las Condes, Región Metropolitana"
26,Samsung Galaxy A10,40000,10-04-2023,18:45:37,"San Ramón, Región Metropolitana"
26,Samsung S9 usado,100000,10-04-2023,18:24:03,"San Miguel, Región Metropolitana"
26,Samsung Galaxy S5 DUOS (puede usar dos SIM),30000,10-04-2023,15:37:25,"Macul, Región Metropolitana"
26,Samsung Galaxy Watch Active (bluetooth) Verde,90000,10-04-2023,13:57:33,"Ñuñoa, Región Metropolitana"
26,Samsung Galaxy j7 y j3,45000,10-04-2023,10:22:07,"San Ramón, Región Metropolitana"
26,Samsung A52,120000,09-04-2023,22:13:00,"Macul, Región Metropolitana"
26,Samsung S21 en venta poco uso . Sin detalles,300000,09-04-2023,22:09:27,"Independencia, Región Metropolitana"
26,Urgente SAMSUNG A71,170000,09-04-2023,20:32:01,"Quilicura, Región Metropolitana"
26,Samsung Galaxy A52s 5g,180000,09-04-2023,19:32:54,"San Bernardo, Región Metropolitana"
26,Samsung s22 ultra,650000,09-04-2023,17:03:53,"Puente Alto, Región Metropolitana"
26,Samsung Galaxy A04S nuevo ,120000,09-04-2023,15:32:01,"Maipú, Región Metropolitana"
26,Samsung Galaxy S9,75000,09-04-2023,13:49:31,"Lampa, Región Metropolitana"
26, samsung a22 5g,320000,08-04-2023,19:48:02,"Puente Alto, Región Metropolitana"
26,Samsung galaxy S21 5g 128gb + audífonos Bluetoot,120000,08-04-2023,17:54:15,"San Bernardo, Región Metropolitana"
26,Samsung a33 Blue 5g 128gb,59000,08-04-2023,16:47:25,"La Florida, Región Metropolitana"
26,Celular Sansung A20,40000,08-04-2023,14:20:36,"Peñalolén, Región Metropolitana"
26,Tablet samsung ,500000,08-04-2023,14:04:36,"Maipú, Región Metropolitana"
26,Samsung s22ultra,350000,08-04-2023,00:19:31,"Colina, Región Metropolitana"
26,Samsung s21 128 gb,98000,07-04-2023,23:13:50,"Las Condes, Región Metropolitana"
26,Galaxy Watch Samsung 46mm Bluetooth Wifi GPS Silve,90000,07-04-2023,23:07:01,"La Florida, Región Metropolitana"
26,Celular Samsung galaxi A-12,250000,07-04-2023,20:54:08,"Pudahuel, Región Metropolitana"
26,Samsung A73 5g 128gb/6 ram,170000,07-04-2023,17:55:57,"San Bernardo, Región Metropolitana"
26,Samsung Galaxy A14 5G Nuevo,100000,07-04-2023,17:32:01,"Puente Alto, Región Metropolitana"
26,Samsung galaxy s8 plus,0,07-04-2023,13:41:57,"Quilicura, Región Metropolitana"
26,0,0,0,,0
26,0,0,0,,0
26,0,0,0,,0
