pagina,titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta
54,Samsung A32 ,120000,31-10-2022,07:33:36,"Santiago, Región Metropolitana"
54,Celular Samsung A31 seminuevo,95000,30-10-2022,21:12:56,"Santiago, Región Metropolitana"
54,"Samsung Smartwatch3, como nuevo, conversable",110000,30-10-2022,21:00:43,"Las Condes, Región Metropolitana"
54,Samsung Galaxy S9,100000,30-10-2022,15:05:07,"La Florida, Región Metropolitana"
54,Samsung Galaxy S20 FE 5G 128GB ROJO,160000,30-10-2022,15:02:13,"Recoleta, Región Metropolitana"
54,Samsung galaxy s21fe nuevo,400000,30-10-2022,06:32:43,"La Florida, Región Metropolitana"
54,S20 FE Samsung barato,700000,29-10-2022,22:20:07,"Ñuñoa, Región Metropolitana"
54,Samsung Galaxy Z Fold 3,400000,29-10-2022,19:07:13,"Puente Alto, Región Metropolitana"
54,Samsung S20 FE 5G NUEVO,350000,29-10-2022,16:19:21,"San Bernardo, Región Metropolitana"
54,Celular Samsung a 53 de 128gb y audifonos Bud 2,50000,29-10-2022,15:02:22,"Providencia, Región Metropolitana"
54,Samsung galaxy S21 plus ,250000,29-10-2022,13:43:17,"Maipú, Región Metropolitana"
54,Celular Samsung a22 5g,170000,29-10-2022,07:10:17,"Pudahuel, Región Metropolitana"
54,Samsung j2 Core,20000,28-10-2022,23:07:02,"Las Condes, Región Metropolitana"
54,Samsung Galaxy S20 FE con Galaxy Buds 2,135000,28-10-2022,22:41:04,"San Miguel, Región Metropolitana"
54,Samsung Galaxy A72,130000,28-10-2022,22:31:36,"Peñaflor, Región Metropolitana"
54,Celular Samsung 5230 Operativo de Colección,140000,28-10-2022,20:14:20,"Maipú, Región Metropolitana"
54,  Samsung Galaxy A31,700000,28-10-2022,17:50:42,"Huechuraba, Región Metropolitana"
54,Samsung A31,39900,28-10-2022,16:56:11,"Huechuraba, Región Metropolitana"
54,Celular Samsung A23 5g,34990,28-10-2022,16:37:22,"Buin, Región Metropolitana"
54,Samsung galaxy S22 ultra 128 gb,80000,28-10-2022,16:28:43,"San Bernardo, Región Metropolitana"
54,   samsung j7 2016 pantalla+instalación,750000,28-10-2022,14:36:15,"Providencia, Región Metropolitana"
54,súper oferta- samsung j3 pantalla + instalación,360000,28-10-2022,13:50:41,"Providencia, Región Metropolitana"
54,Samsung galaxy A21S ,75000,27-10-2022,20:48:00,"San Pedro, Región Metropolitana"
54,Samsung s22 ultra + galaxy watch 4 + earbuds2,41900,27-10-2022,19:51:14,"Providencia, Región Metropolitana"
54,Samsung S21 perfecto estado,80000,27-10-2022,17:48:03,"Ñuñoa, Región Metropolitana"
54,Samsung galaxy a30s,80000,27-10-2022,16:20:30,"La Florida, Región Metropolitana"
54,Pantalla Samsung J7 Pro,70000,27-10-2022,13:46:38,"Providencia, Región Metropolitana"
54,Reloj samsung Galaxy watch ,120000,27-10-2022,12:27:19,"Puente Alto, Región Metropolitana"
54,Samsung galaxy a21s blue,150000,27-10-2022,12:26:00,"San Joaquín, Región Metropolitana"
54,Samsung A30,500000,26-10-2022,23:36:52,"Santiago, Región Metropolitana"
54,A70 samsung,220000,26-10-2022,22:20:16,"El Bosque, Región Metropolitana"
54,Samsung Galaxy A32,100000,26-10-2022,20:48:55,"Independencia, Región Metropolitana"
54,Samsung S20 FE 5G,70000,26-10-2022,20:31:07,"Santiago, Región Metropolitana"
54,Samsung A52s 5G,399000,26-10-2022,20:08:19,"Santiago, Región Metropolitana"
54,Sansung smartwatch,270000,26-10-2022,19:44:29,"Estación Central, Región Metropolitana"
54,Samsung A30s 4gb 64gb memoria,8900,26-10-2022,17:35:14,"Ñuñoa, Región Metropolitana"
54,Samsung S21 FE 256 GB,90000,26-10-2022,13:41:55,"Maipú, Región Metropolitana"
54,"Samsung A53 5G Nuevo, sellado",480000,26-10-2022,13:28:40,"Santiago, Región Metropolitana"
54,Batería samsung j4,94900,26-10-2022,13:16:18,"Providencia, Región Metropolitana"
54,Samsung a22 5g 128gb,410000,26-10-2022,12:50:04,"San Miguel, Región Metropolitana"
54,Samsung S21 fe 5G 256 GB y 8 GB ram,980000,26-10-2022,12:18:36,"Santiago, Región Metropolitana"
54,Pantalla Samsung Galaxy A80,120000,26-10-2022,12:12:41,"Providencia, Región Metropolitana"
54,Samsung S21 FE,75000,25-10-2022,23:38:48,"Ñuñoa, Región Metropolitana"
54,Samsung s22 ultra de 512,750000,25-10-2022,23:09:06,"La Florida, Región Metropolitana"
54,Samsung A51 de 128GB,0,25-10-2022,22:39:25,"Santiago, Región Metropolitana"
54,Reloj Samsung Galaxy Watch Active,0,25-10-2022,22:32:03,"San Miguel, Región Metropolitana"
54,Samsung Galaxy S22 Ultra 128gb,0,25-10-2022,21:16:31,"Las Condes, Región Metropolitana"
54,0,0,0,,0
54,0,0,0,,0
54,0,0,0,,0
