pagina,titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta
44,Samsung A23 de 128 GB,150000,27-12-2022,11:26:09,"Maipú, Región Metropolitana"
44,Celular samsung a21s,80000,27-12-2022,00:03:15,"Peñalolén, Región Metropolitana"
44,Samsung A50 64gb,70000,26-12-2022,23:04:51,"Santiago, Región Metropolitana"
44,Samsung Galaxy A72,190000,26-12-2022,22:03:46,"Las Condes, Región Metropolitana"
44,Samsung Galaxy A04,80000,26-12-2022,20:46:01,"La Granja, Región Metropolitana"
44,Celular Samsung A30s,70000,26-12-2022,19:26:05,"Las Condes, Región Metropolitana"
44,Samsung A51 128Gb,370000,26-12-2022,16:56:01,"Maipú, Región Metropolitana"
44,Samsung s21 fe 5G  128gb,200000,26-12-2022,15:54:27,"San Bernardo, Región Metropolitana"
44,Celular samsung galaxy note10 Plus,220000,26-12-2022,15:49:47,"Las Condes, Región Metropolitana"
44,Samsung galaxy s10,450000,26-12-2022,15:43:43,"Santiago, Región Metropolitana"
44,Samsung S20+,7900,26-12-2022,14:48:46,"Pirque, Región Metropolitana"
44,Samsung s21 ultra exynos 128 gb,17900,26-12-2022,14:35:50,"El Bosque, Región Metropolitana"
44,Lente Camara Trasera Samsung Galaxy S10 / S10 Plus,4900,26-12-2022,14:16:40,"Macul, Región Metropolitana"
44,Flex De Carga Samsung Galaxy S10 5g G977u,11900,26-12-2022,13:22:52,"Macul, Región Metropolitana"
44,Pin Puerto Jack Carga Samsung galaxy S10 S10e S10+,170000,26-12-2022,13:12:38,"Macul, Región Metropolitana"
44,Bateria Samsung Galaxy S10 Plus S10+,100000,26-12-2022,12:13:19,"Macul, Región Metropolitana"
44,Carcasas Samsung galaxy A32 4g,100000,26-12-2022,00:02:43,"Pudahuel, Región Metropolitana"
44,Samsung Galaxy A32 4g,80000,25-12-2022,23:36:06,"Pudahuel, Región Metropolitana"
44,Samsung Watch S3 Frontier,165000,25-12-2022,20:39:57,"Lampa, Región Metropolitana"
44,Samsung A21s,90000,25-12-2022,19:56:00,"San Miguel, Región Metropolitana"
44,Celular Samsung galaxy a04 ,5900,25-12-2022,16:53:11,"Maipú, Región Metropolitana"
44,Samsung galaxi A11 64 g,61900,24-12-2022,18:17:44,"Buin, Región Metropolitana"
44,Samsung Galaxy Watch 4 Classic,12900,24-12-2022,15:15:11,"Santiago, Región Metropolitana"
44,Samsung galaxy a32,8000,24-12-2022,13:33:00,"Buin, Región Metropolitana"
44,Auricular Parlante Samsung Galaxy A20 A30 A30s A50,6800,24-12-2022,12:33:37,"Macul, Región Metropolitana"
44,Pantalla A30 Jm Compatible Samsung Galaxy A30,2500,24-12-2022,12:32:01,"Macul, Región Metropolitana"
44,Bateria Samsung Galaxy Alpha G850 G8508s G8509v,250000,24-12-2022,12:28:44,"Macul, Región Metropolitana"
44,Cristal Glass + Oca Para Samsung Galaxy A30s,90000,24-12-2022,12:25:48,"Macul, Región Metropolitana"
44,Flex De Carga Samsung Galaxy A30s,100000,24-12-2022,12:23:47,"Macul, Región Metropolitana"
44,Puerto Pin De Carga Samsung A30s / A40s / A50s,320000,24-12-2022,12:22:57,"Macul, Región Metropolitana"
44,Realidad Virtual Samsung,90000,24-12-2022,02:23:25,"Santiago, Región Metropolitana"
44,Samsung a22 5g 128gb,500000,23-12-2022,21:19:10,"Estación Central, Región Metropolitana"
44,Samsung Galaxy A04,90000,23-12-2022,19:20:07,"Puente Alto, Región Metropolitana"
44,Samsung s22 blanco 128gb,2500,23-12-2022,19:13:39,"La Granja, Región Metropolitana"
44,Samsung A32,2990,23-12-2022,19:00:28,"San Miguel, Región Metropolitana"
44,Celular Samsung s21 ultra negro 5G usado,7500,23-12-2022,16:30:58,"La Reina, Región Metropolitana"
44,Smartwatch Samsung Galaxy watch,10000,23-12-2022,13:30:09,"Las Condes, Región Metropolitana"
44,Lente Camara Trasera Samsung Galaxy J5 J7 Prime G6,7900,23-12-2022,12:46:44,"Macul, Región Metropolitana"
44,Pin De Carga Samsung Galaxy Ace 3 Trend J2 J5 J7 C,30000,23-12-2022,12:33:27,"Macul, Región Metropolitana"
44,Boton Home Samsung Galaxy J5 J500 F 2015 Sensor Y,100000,23-12-2022,12:16:46,"Macul, Región Metropolitana"
44,Boton Home Samsung Galaxy J5 2015 Sensor Y Auricul,130000,23-12-2022,12:14:37,"Macul, Región Metropolitana"
44,Marco bisel samsung galaxy j5 j500 j500f j5008,75000,23-12-2022,12:10:03,"Macul, Región Metropolitana"
44,Samsung galaxy watch 4 con bisel digital 40mm,0,23-12-2022,11:56:33,"Pudahuel, Región Metropolitana"
44,Cargador inalámbrico Samsung,0,23-12-2022,09:59:03,"Pudahuel, Región Metropolitana"
44,Celular Samsung galaxy a04 ,0,22-12-2022,22:38:19,"Pedro Aguirre Cerda, Región Metropolitana"
44,Samsung galaxy watch 4,0,22-12-2022,17:50:45,"Peñalolén, Región Metropolitana"
44,Samsung A31 5g,0,22-12-2022,15:40:00,"Puente Alto, Región Metropolitana"
44,0,0,0,,0
44,0,0,0,,0
44,0,0,0,,0
