pagina,titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta
59,Reloj Samsung galaxy Watch4 Classic,159990,04-10-2022,00:05:35,"La Florida, Región Metropolitana"
59,Celular Samsung A22 128GB 5G,100000,03-10-2022,23:00:19,"La Reina, Región Metropolitana"
59,Flex Volumen Y Power Samsung Galaxy A02,3900,03-10-2022,20:19:18,"Macul, Región Metropolitana"
59,Flex Volumen Y Power Samsung Galaxy A02,3900,03-10-2022,20:18:59,"Macul, Región Metropolitana"
59,Samsung galaxy s22 ultra,800000,03-10-2022,19:38:01,"La Cisterna, Región Metropolitana"
59,SAMSUNG A10s,75000,03-10-2022,19:29:33,"Santiago, Región Metropolitana"
59,Samsung a30s,100000,03-10-2022,19:24:45,"Lo Barnechea, Región Metropolitana"
59,Samsung S20 FE cloud navy,175000,03-10-2022,17:00:30,"Peñalolén, Región Metropolitana"
59,Samsung galaxy A33 5G,200000,02-10-2022,20:52:09,"La Florida, Región Metropolitana"
59,Smart Watch Samsung Galaxy Active2,85000,02-10-2022,12:35:12,"Huechuraba, Región Metropolitana"
59,Samsung a31 128gb,80000,02-10-2022,00:06:46,"Colina, Región Metropolitana"
59,Samsung A10,85000,01-10-2022,17:22:03,"Independencia, Región Metropolitana"
59,Samsung Note 20,350000,01-10-2022,17:17:26,"Huechuraba, Región Metropolitana"
59,Celular samsung Note 10 plus,350000,01-10-2022,16:56:07,"La Florida, Región Metropolitana"
59,Flex De Carga Samsung Note 10 Plus N975f,19990,01-10-2022,15:34:39,"Providencia, Región Metropolitana"
59,Samsung Galaxy Note10 256 Gb Aura Glow 8 Gb Ram,280000,01-10-2022,07:14:03,"Maipú, Región Metropolitana"
59,Carcasa Samsung A31,5000,01-10-2022,00:49:39,"San Miguel, Región Metropolitana"
59,Carcasa Samsung S20,5000,01-10-2022,00:49:34,"San Miguel, Región Metropolitana"
59,Carcasa Samsung S21,5000,01-10-2022,00:49:26,"San Miguel, Región Metropolitana"
59,Samsung Galaxy A32 ,150000,01-10-2022,00:47:02,"Santiago, Región Metropolitana"
59,Teléfono Samsung s9 plus,160000,30-09-2022,20:20:31,"Santiago, Región Metropolitana"
59,Samsung A51 año 2019,150000,30-09-2022,18:57:55,"Puente Alto, Región Metropolitana"
59,Celular Samsung A22 5G,160000,30-09-2022,18:22:28,"Peñalolén, Región Metropolitana"
59,Celular Samsung A22 5G,160000,30-09-2022,18:19:44,"Peñalolén, Región Metropolitana"
59,Samsung galaxy A10 s,50000,30-09-2022,16:13:13,"Maipú, Región Metropolitana"
59,Se vende tablet Samsung Tab a7,70000,30-09-2022,10:06:58,"Lo Espejo, Región Metropolitana"
59,Samsung z flip 4 sellado,700000,30-09-2022,10:04:23,"Recoleta, Región Metropolitana"
59,A21s Samsung,100000,30-09-2022,09:26:12,"Santiago, Región Metropolitana"
59,Samsung j5,12000,30-09-2022,09:17:51,"Maipú, Región Metropolitana"
59,Samsung A32 ,150000,30-09-2022,09:17:36,"Santiago, Región Metropolitana"
59,Samsung A10s,90000,30-09-2022,08:35:09,"Independencia, Región Metropolitana"
59,Samsung galaxy note 20 ultra,780,30-09-2022,03:26:40,"Estación Central, Región Metropolitana"
59,Célula Samsung j7 perfecto estado,70000,30-09-2022,03:13:36,"El Bosque, Región Metropolitana"
59,Samsung Galaxy Tab s7 plus 12.4 pulgadas,800000,30-09-2022,02:49:12,"Ñuñoa, Región Metropolitana"
59,Samsung a 30 impecable,50000,30-09-2022,02:43:54,"Las Condes, Región Metropolitana"
59,Samsung a02s,50000,30-09-2022,02:25:23,"Maipú, Región Metropolitana"
59,Samsung galaxy note 10 pluss,320000,30-09-2022,02:25:22,"San Bernardo, Región Metropolitana"
59,Samsung S20 fe rosado ,390,30-09-2022,02:22:48,"San Bernardo, Región Metropolitana"
59,"Samsung tab 10"" 24gb/2gb 0 detalle llegar y usar",38000,30-09-2022,02:16:13,"Santiago, Región Metropolitana"
59,Samsung j7,87000,30-09-2022,02:15:36,"Quilicura, Región Metropolitana"
59,Samsung note 20,280000,30-09-2022,02:01:20,"La Cisterna, Región Metropolitana"
59,Samsung s21,500000,30-09-2022,01:43:42,"La Florida, Región Metropolitana"
59,Samsung A31,80000,30-09-2022,01:27:38,"La Florida, Región Metropolitana"
59,Vendo Samsung S20FE (incluye cargador),280000,30-09-2022,01:26:58,"Quinta Normal, Región Metropolitana"
59,Samsung Galaxy S21 FE 5g,400000,30-09-2022,00:57:24,"Las Condes, Región Metropolitana"
59,Carcasa Samsung A53 transparente,6000,30-09-2022,00:55:01,"Estación Central, Región Metropolitana"
59,Samsung Galaxy A50 64 Gb Negro 4 Gb Ram,90000,29-09-2022,10:24:33,"Lo Barnechea, Región Metropolitana"
59,0,0,0,,0
59,0,0,0,,0
59,0,0,0,,0
