pagina,titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta
28,Celular Samsung Galaxy S22 256GB,420000,01-04-2023,16:24:01,"Santiago, Región Metropolitana"
28,Audífonos inalámbricos samsung galaxy buds pro,80000,01-04-2023,15:53:29,"San Miguel, Región Metropolitana"
28,Lentes 3D Samsung SSG-5100GB,10000,01-04-2023,14:07:22,"Puente Alto, Región Metropolitana"
28,Samsung A04s,90,01-04-2023,11:04:23,"Santiago, Región Metropolitana"
28,Samsung Galaxy A21s,104000,01-04-2023,09:46:54,"El Bosque, Región Metropolitana"
28,Samsung Galaxy Z Flip 3,580000,31-03-2023,22:00:14,"San Bernardo, Región Metropolitana"
28, Samsung A23 128G,110000,31-03-2023,19:24:01,"San Bernardo, Región Metropolitana"
28,Samsung A50 perfecto estado,60000,31-03-2023,19:08:01,"Puente Alto, Región Metropolitana"
28,Samsung A23 128G,115,31-03-2023,18:32:01,"San Bernardo, Región Metropolitana"
28,Samsung A13,70000,31-03-2023,16:50:41,"Quinta Normal, Región Metropolitana"
28,Samsung A13,80000,31-03-2023,16:48:43,"Quinta Normal, Región Metropolitana"
28,Samsung Galaxy A11,45000,31-03-2023,10:56:27,"Puente Alto, Región Metropolitana"
28,Samsung ao2s,70000,31-03-2023,00:58:06,"Recoleta, Región Metropolitana"
28,Samsung Galaxy J2,15000,30-03-2023,23:46:59,"Providencia, Región Metropolitana"
28,Reloj Samsung Galaxy Watch,95000,30-03-2023,22:41:00,"Las Condes, Región Metropolitana"
28,Samaung A02s,45000,30-03-2023,21:40:02,"Santiago, Región Metropolitana"
28,Samsung flip 3,550000,30-03-2023,20:37:14,"Las Condes, Región Metropolitana"
28,Samsung S22 Ultra,700000,30-03-2023,20:27:50,"Peñalolén, Región Metropolitana"
28,Samsumg a23 5 g,180000,30-03-2023,17:55:35,"Lampa, Región Metropolitana"
28,Samsung galaxy watch4 (con caja),100000,30-03-2023,15:16:02,"Independencia, Región Metropolitana"
28,Samsung a20,70000,30-03-2023,13:13:30,"La Granja, Región Metropolitana"
28,Fundas para samsung a53 y A33,5000,30-03-2023,12:44:25,"Colina, Región Metropolitana"
28,Pantalla Samsung Galaxy A70,49900,30-03-2023,12:03:59,"Providencia, Región Metropolitana"
28,Pantalla A30s Compatible Samsung Galaxy A30s Oled,59900,30-03-2023,11:44:58,"Providencia, Región Metropolitana"
28,Samsung S22+,700000,29-03-2023,23:24:51,"Las Condes, Región Metropolitana"
28,Samsung a13,220000,29-03-2023,19:16:17,"Ñuñoa, Región Metropolitana"
28,Samsung zflip 3,450000,29-03-2023,18:58:41,"Ñuñoa, Región Metropolitana"
28,Smartwatch reloj inteligente samsung,100000,29-03-2023,15:27:02,"La Florida, Región Metropolitana"
28,Samsung Galaxy A51,120000,29-03-2023,15:12:34,"Independencia, Región Metropolitana"
28,Telefono Samsung Galaxy,100000,29-03-2023,12:28:49,"Padre Hurtado, Región Metropolitana"
28,Samsung galaxy A04 64 GB,190000,29-03-2023,10:10:29,"Buin, Región Metropolitana"
28,S20FE Samsung,700000,28-03-2023,23:24:37,"Las Condes, Región Metropolitana"
28,Samsung Galaxy Fold 5G,70000,28-03-2023,22:48:40,"Peñalolén, Región Metropolitana"
28,Samsung A51,10900,28-03-2023,14:40:37,"Huechuraba, Región Metropolitana"
28,Bateria Samsung Galaxy J7 2016 Sm-j7109 J7108 J700,13900,28-03-2023,12:13:30,"Providencia, Región Metropolitana"
28,Bateria Samsung Galaxy A51,90000,28-03-2023,12:06:44,"Providencia, Región Metropolitana"
28,Samsung A03,140000,28-03-2023,10:23:21,"Santiago, Región Metropolitana"
28,Samsung A14 5G sellado,40000,28-03-2023,00:18:54,"San Bernardo, Región Metropolitana"
28,Samsung a20,180000,27-03-2023,22:05:25,"Santiago, Región Metropolitana"
28,Samsung A33 5G,35000,27-03-2023,20:13:54,"Puente Alto, Región Metropolitana"
28,Samsung quantumx glap,10000,27-03-2023,16:57:44,"Huechuraba, Región Metropolitana"
28,Samsung sport brand,40000,27-03-2023,16:46:59,"Huechuraba, Región Metropolitana"
28,Samsung wireless charger trio,650000,27-03-2023,16:34:45,"Huechuraba, Región Metropolitana"
28,"Samsung Fold 3, con garantía",190000,27-03-2023,15:26:25,"La Florida, Región Metropolitana"
28,Celular Samsung A72 ,600000,27-03-2023,15:19:40,"Santiago, Región Metropolitana"
28,Samsung Galaxy S22 Ultra,400000,27-03-2023,11:08:41,"Ñuñoa, Región Metropolitana"
28,Samsung S20 5g 128 GB,0,26-03-2023,15:51:47,"Talagante, Región Metropolitana"
28,0,0,0,,0
28,0,0,0,,0
28,0,0,0,,0
