pagina,titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta
36,Samsung s20 fe 5g nuevo sellado,450000,11-02-2023,17:24:01,"Quilicura, Región Metropolitana"
36,Samsung Galaxy A12 -180GB,150000,11-02-2023,17:02:31,"Maipú, Región Metropolitana"
36,Samsung Note 20 ,310000,11-02-2023,16:37:47,"Santiago, Región Metropolitana"
36,Samsung Z Flip 3,450000,11-02-2023,16:24:14,"Quilicura, Región Metropolitana"
36,Samsung Galaxy A21S,60000,11-02-2023,11:29:39,"Huechuraba, Región Metropolitana"
36,Samsung s22 RosaGold,580000,10-02-2023,19:45:16,"Las Condes, Región Metropolitana"
36,Samsung Galaxy S22 128 Gb 8 Gb Ram,600000,10-02-2023,18:40:02,"Santiago, Región Metropolitana"
36,Samsung A21s,75000,10-02-2023,14:55:15,"Estación Central, Región Metropolitana"
36,Samsung S21 Ultra 128 GB,530000,10-02-2023,05:37:17,"Providencia, Región Metropolitana"
36,Samsung A73 5g ,240000,09-02-2023,22:30:53,"Conchalí, Región Metropolitana"
36,Celular Samsung Galaxy S10+ ,95000,09-02-2023,17:06:42,"Santiago, Región Metropolitana"
36,Samsung a51,100000,09-02-2023,08:44:45,"Pudahuel, Región Metropolitana"
36,Samsung Galaxy S21+,250000,09-02-2023,08:32:31,"Las Condes, Región Metropolitana"
36,Samsung a03 64gb,120000,09-02-2023,02:13:44,"Santiago, Región Metropolitana"
36,Samsung galaxy a73 5g,320000,09-02-2023,01:55:09,"Maipú, Región Metropolitana"
36,Samsung galaxy a-10s,70000,08-02-2023,17:56:39,"Santiago, Región Metropolitana"
36,Samsung A32,100000,08-02-2023,16:30:59,"La Pintana, Región Metropolitana"
36,Samsung Galaxy A72,200000,08-02-2023,15:58:31,"Santiago, Región Metropolitana"
36,Celular Samsung A21 S,80000,08-02-2023,15:33:13,"Macul, Región Metropolitana"
36,Tablet samsung,130000,08-02-2023,15:30:55,"Puente Alto, Región Metropolitana"
36,Samsung A52 5G,150000,08-02-2023,15:24:24,"Santiago, Región Metropolitana"
36,Samsung Galaxy A32,10000,08-02-2023,15:23:35,"Santiago, Región Metropolitana"
36,Celulares Antiguos NOKIA LG SAMSUNG SONY ERICSSON,150000,08-02-2023,08:52:32,"La Florida, Región Metropolitana"
36,"Samsung S10 lite 128gb, snapdragon",600000,07-02-2023,23:28:30,"La Reina, Región Metropolitana"
36,Zflip 4 como nuevo. Comprado en la tienda Samsung,250000,07-02-2023,23:28:26,"Vitacura, Región Metropolitana"
36,Samsung galaxy s20 fe,200000,07-02-2023,23:26:26,"Ñuñoa, Región Metropolitana"
36,Samsung s20 fe,100000,07-02-2023,20:41:59,"Ñuñoa, Región Metropolitana"
36,Samsung A 21 s ,70000,07-02-2023,19:38:39,"La Florida, Región Metropolitana"
36,Samsung A02,100000,07-02-2023,19:32:32,"La Florida, Región Metropolitana"
36,Tablet Samsung tab a,100000,07-02-2023,18:24:17,"Quinta Normal, Región Metropolitana"
36,Tablet Samsung s2,100000,07-02-2023,17:35:21,"La Pintana, Región Metropolitana"
36,Samsung galaxy s10e 128gb,300000,07-02-2023,17:29:10,"Puente Alto, Región Metropolitana"
36,Samsung A73 5G 128Gb,65000,07-02-2023,16:11:15,"Santiago, Región Metropolitana"
36,Samsung Galaxy A30s,30000,07-02-2023,16:07:22,"Puente Alto, Región Metropolitana"
36,Samsung A50 Para arreglo,218000,07-02-2023,15:52:59,"Las Condes, Región Metropolitana"
36,Celular Samsung S20,9800,07-02-2023,15:39:55,"La Granja, Región Metropolitana"
36,Bateria Samsung Galaxy A3 Edición 2016 A310 310f A,6900,07-02-2023,15:31:42,"Providencia, Región Metropolitana"
36,Lente Camara Trasera Samsung Galaxy A31,5900,07-02-2023,14:15:24,"Providencia, Región Metropolitana"
36,Flex Main Samsung Galaxy A31,6900,07-02-2023,14:15:17,"Providencia, Región Metropolitana"
36,Flex De Carga Samsung Galaxy A31,58900,07-02-2023,14:14:37,"Providencia, Región Metropolitana"
36,Pantalla Samsung Galaxy A31 Con Marco Oled,420000,07-02-2023,12:36:45,"Providencia, Región Metropolitana"
36,Samsung s21 ultra,100000,06-02-2023,19:56:01,"Huechuraba, Región Metropolitana"
36,Samsung A04,90000,06-02-2023,18:49:05,"Pudahuel, Región Metropolitana"
36,Celular samsung galaxy a20,500000,06-02-2023,17:46:31,"La Reina, Región Metropolitana"
36, samsung galaxy note 20,190000,06-02-2023,17:15:39,"San Miguel, Región Metropolitana"
36,Samsung S20 FE,160000,06-02-2023,16:05:41,"Puente Alto, Región Metropolitana"
36,Samsung a22,0,06-02-2023,15:19:16,"Lampa, Región Metropolitana"
36,0,0,0,,0
36,0,0,0,,0
36,0,0,0,,0
