pagina,titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta
48,Smartwatch Samsung Galaxy Watch SM-R800 como nuevo,80000,06-12-2022,15:00:13,"Providencia, Región Metropolitana"
48,Reloj samsung galaxy watch 4,115000,05-12-2022,23:13:40,"Cerro Navia, Región Metropolitana"
48,Samsung j7 Pro,80000,05-12-2022,17:15:47,"Lo Espejo, Región Metropolitana"
48,Samsung A70 128 GB buen estado,270000,05-12-2022,15:57:30,"Providencia, Región Metropolitana"
48,Samsung S20 FE 256GB (Lavanda),430000,05-12-2022,15:57:07,"Macul, Región Metropolitana"
48,"Tablet Samsung Galaxy Tab S7 FE 12.4"" 64GB WiFi My",250000,05-12-2022,15:48:36,"La Florida, Región Metropolitana"
48,Samsung s10 impecable 128gb,50000,05-12-2022,14:07:29,"Isla de Maipo, Región Metropolitana"
48,Samsung J5 prime,115000,05-12-2022,02:31:42,"Lo Barnechea, Región Metropolitana"
48,Samsung Galaxy Watch negro,55000,04-12-2022,22:11:10,"Las Condes, Región Metropolitana"
48,Samsung galaxy S10 para reparacion o repuesto ,7000,04-12-2022,21:48:20,"Paine, Región Metropolitana"
48,Tapa trasera Samsung Galaxy Note3 Original,350000,04-12-2022,14:44:15,"Maipú, Región Metropolitana"
48,Samsumg Galaxy S21 5g,100000,04-12-2022,14:43:54,"Ñuñoa, Región Metropolitana"
48,Samsung Galaxy A32 128 gigas,200000,04-12-2022,11:11:14,"San Bernardo, Región Metropolitana"
48,Samsung galaxy S10+,130000,03-12-2022,20:35:19,"La Florida, Región Metropolitana"
48,Samsung galaxy s10e,90000,03-12-2022,17:54:32,"Puente Alto, Región Metropolitana"
48,Samsung A04,130000,03-12-2022,16:44:55,"Peñalolén, Región Metropolitana"
48,Samsung Galaxy A10S Azul,90000,03-12-2022,15:27:23,"La Florida, Región Metropolitana"
48,Samsung Galaxy A50 128 GB,100000,03-12-2022,02:13:44,"San Joaquín, Región Metropolitana"
48,Samsung galaxy A04 Nuevo,250000,02-12-2022,22:05:04,"Providencia, Región Metropolitana"
48,Celular SAMSUNG 52a nuevo,350000,02-12-2022,21:46:24,"Lo Prado, Región Metropolitana"
48,Samsung Galaxy z flip,280000,02-12-2022,21:18:56,"Peñalolén, Región Metropolitana"
48,Samsung tab s6 lite 2022,179900,02-12-2022,20:44:29,"La Florida, Región Metropolitana"
48,Samsung s10 octacore dual sim 512 gigas internas.,100000,02-12-2022,16:45:44,"Santiago, Región Metropolitana"
48,Samsung A22 5g,130000,02-12-2022,15:50:34,"Estación Central, Región Metropolitana"
48,Samsung smartwatch 4,160000,02-12-2022,14:40:19,"La Granja, Región Metropolitana"
48,Samsung a23 nuevo,60000,02-12-2022,11:27:54,"Santiago, Región Metropolitana"
48,Smart watch samsung active 2,15000,02-12-2022,10:57:18,"Puente Alto, Región Metropolitana"
48,Celular Samsung E2550 Colección,180000,02-12-2022,09:20:14,"Maipú, Región Metropolitana"
48,Samsumg a33. Negro,160000,01-12-2022,23:14:58,"Pedro Aguirre Cerda, Región Metropolitana"
48,Teléfono Samsung A51,145000,01-12-2022,16:24:58,"Maipú, Región Metropolitana"
48,Celular samsung galaxi a52s 5g,12000,01-12-2022,16:08:00,"Vitacura, Región Metropolitana"
48,Samsung a52s 5g 120 gb 6 ram  ,80000,01-12-2022,15:21:02,"La Florida, Región Metropolitana"
48,Carcasas Samsung Galaxy A20 de colores,430000,01-12-2022,15:09:42,"Melipilla, Región Metropolitana"
48,Samsung Galaxy A01,15000,01-12-2022,13:52:55,"La Florida, Región Metropolitana"
48,Samsung A03 128Gb,120000,01-12-2022,13:28:03,"Santiago, Región Metropolitana"
48,Samsung galaxy s21 fe 5g,15000,01-12-2022,13:03:18,"Pudahuel, Región Metropolitana"
48,Carcasa Samsung Galaxy S6 Azul Original (NUEVA),650000,01-12-2022,12:19:34,"Maipú, Región Metropolitana"
48,Samsung galaxy watch4 classic black,50000,01-12-2022,12:02:53,"Peñalolén, Región Metropolitana"
48,Cargador inalámbrico samsung,35000,01-12-2022,11:28:13,"Santiago, Región Metropolitana"
48,Samsung Galaxy S22+ Plus 5G de 256 Gb Negro Nuevo,100000,30-11-2022,23:51:49,"Puente Alto, Región Metropolitana"
48,Celulares samsumg y huawei,90000,30-11-2022,19:59:11,"Santiago, Región Metropolitana"
48,Samsung galaxy j6+,120000,30-11-2022,16:44:42,"La Reina, Región Metropolitana"
48,Smartwatch samsung watch 4 classic,170000,30-11-2022,15:54:59,"Providencia, Región Metropolitana"
48,Samsung A22 5G,90000,30-11-2022,15:27:31,"Renca, Región Metropolitana"
48,Samsung s8 edge reacondicionado,0,30-11-2022,10:54:14,"Maipú, Región Metropolitana"
48,SAMSUNG A51 y A30,0,29-11-2022,22:20:09,"San Bernardo, Región Metropolitana"
48,Samsung Galaxy Buds Pro ,0,29-11-2022,18:22:45,"Maipú, Región Metropolitana"
48,0,0,0,,0
48,0,0,0,,0
48,0,0,0,,0
