pagina,titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta
17,Samsung A03 core rosado nuevo,100000,04-06-2023,13:50:45,"Providencia, Región Metropolitana"
17,Samsung galaxy A12,70000,04-06-2023,05:02:37,"Ñuñoa, Región Metropolitana"
17,Samsung galaxy s10e,150000,03-06-2023,20:57:35,"San Bernardo, Región Metropolitana"
17,Samsung Watch4,130000,03-06-2023,20:15:40,"La Florida, Región Metropolitana"
17,Samsung J7 prime en excelentes condiciones,65000,03-06-2023,20:01:03,"Peñalolén, Región Metropolitana"
17,Samsung Note 10+ con detalles en pantalla,100000,03-06-2023,17:14:12,"Providencia, Región Metropolitana"
17,Celular Samsung Galaxy A53 5G,150000,03-06-2023,13:26:12,"Santiago, Región Metropolitana"
17,Lamina Mica Glass 9d Full Para Samsung Galaxy A11,3800,03-06-2023,13:01:34,"Providencia, Región Metropolitana"
17,Flex De Carga Samsung Galaxy A12,8900,03-06-2023,13:01:06,"Macul, Región Metropolitana"
17,Lente Camara Trasera Samsung Galaxy A12,5900,03-06-2023,13:00:57,"Providencia, Región Metropolitana"
17,Auricular Parlante Samsung Galaxy A11,1900,03-06-2023,12:35:26,"Providencia, Región Metropolitana"
17,Samsung A22 como nuevo,90000,03-06-2023,04:25:38,"San Bernardo, Región Metropolitana"
17,Celular Samsung A21S color rojo muy buen cuidado,100000,03-06-2023,01:08:10,"La Florida, Región Metropolitana"
17,Venta de samsung s20fe 5g 128 GB casi nuevo,300000,03-06-2023,00:34:19,"La Florida, Región Metropolitana"
17,Samsung S6edge,50000,02-06-2023,23:33:38,"San Joaquín, Región Metropolitana"
17,Caja para auriculares inalámbricos Samsung,70000,02-06-2023,21:43:52,"Santiago, Región Metropolitana"
17,Samsung Galaxy Watch Active2,370000,02-06-2023,19:41:43,"Colina, Región Metropolitana"
17,Samsung Galaxy s10 ,600000,02-06-2023,18:48:01,"Ñuñoa, Región Metropolitana"
17,Samsung S21Plus5G 128GB,110000,02-06-2023,17:19:30,"Santiago, Región Metropolitana"
17,Samsung Flip Z4,250000,02-06-2023,17:07:48,"Estación Central, Región Metropolitana"
17,"Tablet Samsung Galaxy Tab A A7 Lite SM-T220 8.7""",400000,02-06-2023,14:49:46,"Colina, Región Metropolitana"
17,Samsung Galaxy S21,50000,02-06-2023,14:23:32,"Buin, Región Metropolitana"
17,Samsung S21 Ultra,60000,02-06-2023,12:51:35,"Santiago, Región Metropolitana"
17,Tablet Samsung,150000,01-06-2023,23:45:57,"Puente Alto, Región Metropolitana"
17,Smartwatch Samsung galaxy active,520000,01-06-2023,22:37:07,"Estación Central, Región Metropolitana"
17,Samsung S 21 para repuesto,200000,01-06-2023,19:57:28,"Talagante, Región Metropolitana"
17,Samsung S22 en Excelente estado,620000,01-06-2023,17:17:35,"Quilicura, Región Metropolitana"
17,Celular Samsung S20 128gb,90000,01-06-2023,14:10:40,"La Florida, Región Metropolitana"
17,Samsung S22 Ultra 128 Gb,290000,01-06-2023,11:39:42,"Ñuñoa, Región Metropolitana"
17,Samsung S22 ,190000,01-06-2023,09:00:57,"Santiago, Región Metropolitana"
17,Samsung Galaxy Buds Pro - Perfecto estado,810000,31-05-2023,17:58:31,"Maipú, Región Metropolitana"
17,Samsung Galaxy S21+ 5g liberado - Perfecto Estado,130000,31-05-2023,17:58:22,"Maipú, Región Metropolitana"
17,Samsung galaxy Note 9 original,380000,31-05-2023,16:10:04,"Providencia, Región Metropolitana"
17,Samsung galaxy s23 ultra nuevo,85000,31-05-2023,15:24:03,"San Miguel, Región Metropolitana"
17,Samsung A52s,250000,31-05-2023,15:01:32,"Maipú, Región Metropolitana"
17,Samsung Galaxy S20 Ultra 5G,30000,31-05-2023,12:27:01,"Santiago, Región Metropolitana"
17,Celular Samsung a32 (128 gb),40000,31-05-2023,12:24:36,"Conchalí, Región Metropolitana"
17,Samsung galaxy s10plus,450000,31-05-2023,11:32:55,"Huechuraba, Región Metropolitana"
17,Smartphone Samsung repuesto,110000,31-05-2023,08:28:49,"Recoleta, Región Metropolitana"
17,Samsung A10,5000,30-05-2023,21:43:57,"Santiago, Región Metropolitana"
17,Samsung s23 128 gb,60000,30-05-2023,21:32:03,"Renca, Región Metropolitana"
17,Samsung a 52,179990,30-05-2023,16:17:03,"Pudahuel, Región Metropolitana"
17,Carcasa samsung a73,200000,30-05-2023,15:29:23,"Cerrillos, Región Metropolitana"
17,Samsung A12 Equipado,3000,30-05-2023,14:48:02,"Quinta Normal, Región Metropolitana"
17,Samsung S20+ 128 gb,0,30-05-2023,13:56:35,"Vitacura, Región Metropolitana"
17,Samsung Galaxy A52 128GB,0,30-05-2023,12:43:24,"Puente Alto, Región Metropolitana"
17,Carcasas / forros de Samsung S21,0,30-05-2023,07:57:25,"Santiago, Región Metropolitana"
17,0,0,0,,0
17,0,0,0,,0
17,0,0,0,,0
