pagina,titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta
10,Samsung 03,70000,18-07-2023,21:08:02,"Huechuraba, Región Metropolitana"
10,Samsung Galaxy A12,60000,18-07-2023,21:02:37,"Lampa, Región Metropolitana"
10,Samsung note 20 ultra usado,500000,18-07-2023,19:50:59,"Ñuñoa, Región Metropolitana"
10,Samsung A31,100000,18-07-2023,14:52:44,"Santiago, Región Metropolitana"
10,Samsung Z FLIP 4 nuevo sellado color grafito,730000,18-07-2023,12:54:21,"Pedro Aguirre Cerda, Región Metropolitana"
10,Celular samsung a24,200000,18-07-2023,10:18:23,"Pudahuel, Región Metropolitana"
10,3 equipos Samsung 256g 128g Originales ,20000,18-07-2023,09:09:15,"Puente Alto, Región Metropolitana"
10,Samsung s6,150000,18-07-2023,08:03:45,"La Florida, Región Metropolitana"
10,Samsung a53 5g ,15000,18-07-2023,07:26:18,"Maipú, Región Metropolitana"
10,Samsung j5,300000,18-07-2023,03:55:39,"La Florida, Región Metropolitana"
10,Samsung Galaxy Tab S6 lite 128gb,280000,18-07-2023,03:52:10,"Las Condes, Región Metropolitana"
10,Samsung S21 plus 256GB,120000,17-07-2023,23:28:43,"La Granja, Región Metropolitana"
10,Teléfono Samsung Galaxy s30,80000,17-07-2023,22:29:41,"Maipú, Región Metropolitana"
10,Samsung s10,260000,17-07-2023,21:06:25,"Quinta Normal, Región Metropolitana"
10,Samsung Galaxy S20,90000,17-07-2023,21:00:27,"Peñalolén, Región Metropolitana"
10,Smartwatch Samsung,430000,17-07-2023,20:30:23,"San Miguel, Región Metropolitana"
10,Samsun y honor sellados,120000,17-07-2023,17:05:40,"Santiago, Región Metropolitana"
10,Celular Samsung Galaxy Z Flip 3,430000,17-07-2023,11:47:50,"Ñuñoa, Región Metropolitana"
10,Samsung Galaxy watch 3 45mm,320000,16-07-2023,23:53:12,"Peñalolén, Región Metropolitana"
10,Samsung S22,90000,16-07-2023,23:19:30,"Lampa, Región Metropolitana"
10,"Samsung S22 blanco, usado, único dueño",60000,16-07-2023,23:18:11,"La Florida, Región Metropolitana"
10,Samsung Smart watch 4,70000,16-07-2023,22:47:15,"Las Condes, Región Metropolitana"
10,Samsung galaxy A03,155000,16-07-2023,20:48:12,"La Florida, Región Metropolitana"
10,Samsung Galaxy A03 128 GB,119000,16-07-2023,20:14:41,"Maipú, Región Metropolitana"
10,Celular Samsung Galaxy A53 5G,90000,16-07-2023,18:14:17,"Pedro Aguirre Cerda, Región Metropolitana"
10,Samsung Galaxy A22 5g sellado,230000,16-07-2023,17:00:07,"Recoleta, Región Metropolitana"
10,Samsung a32,250000,16-07-2023,16:21:37,"Conchalí, Región Metropolitana"
10,Samsung A 54 5G,120000,16-07-2023,09:14:32,"Ñuñoa, Región Metropolitana"
10,Samsung a54,60000,16-07-2023,01:51:14,"Macul, Región Metropolitana"
10,"Samsung a14 5g nuevo,sellado y liberado",15000,15-07-2023,23:56:01,"San Bernardo, Región Metropolitana"
10,Samsung galaxy a 21s,75000,15-07-2023,22:38:39,"Conchalí, Región Metropolitana"
10,Celular Samsung,90000,15-07-2023,21:54:15,"La Florida, Región Metropolitana"
10,Samsung A31,170000,15-07-2023,21:54:11,"Puente Alto, Región Metropolitana"
10,Samsung S9,240000,15-07-2023,17:47:35,"Las Condes, Región Metropolitana"
10,Samsung modelo a04,180000,15-07-2023,17:43:55,"Maipú, Región Metropolitana"
10,Samsung S21 FE 5G 256GB,10000,15-07-2023,15:50:06,"Ñuñoa, Región Metropolitana"
10,Celular Samsung s20+,100000,15-07-2023,15:39:29,"Cerro Navia, Región Metropolitana"
10,Samsung Galaxy 5,60000,15-07-2023,14:42:14,"Macul, Región Metropolitana"
10,Samsung Galaxy S20 FE 5G 128 GB,240000,14-07-2023,22:39:00,"Providencia, Región Metropolitana"
10,Samsung a53,65000,14-07-2023,20:40:05,"Estación Central, Región Metropolitana"
10,Audifonos samsung galaxy buds live,250000,14-07-2023,20:02:24,"Santiago, Región Metropolitana"
10,Samsung S20FE 256GB PERFECTO ESTADO ,500000,14-07-2023,18:03:34,"Lo Barnechea, Región Metropolitana"
10,Samsung a21s operativo,60000,14-07-2023,16:25:04,"El Bosque, Región Metropolitana"
10,Samsung S Pen Pro,0,14-07-2023,13:04:09,"Santiago, Región Metropolitana"
10,Samsung S20,0,14-07-2023,11:19:44,"Santiago, Región Metropolitana"
10,Samsung galaxy z flip 4 . 256 gb y 4 de ram,0,14-07-2023,11:16:44,"La Cisterna, Región Metropolitana"
10,Samsung a30s,0,14-07-2023,05:46:01,"La Florida, Región Metropolitana"
10,0,0,0,,0
10,0,0,0,,0
10,0,0,0,,0
