pagina,titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta
31,Samsung A32 128 GB,140000,13-03-2023,20:41:22,"Las Condes, Región Metropolitana"
31,Samsung Z Fold 4 Black - Nuevo sellado original,995000,13-03-2023,18:51:25,"Las Condes, Región Metropolitana"
31,samsung A12,70000,13-03-2023,16:41:53,"Maipú, Región Metropolitana"
31,Celular Samsung Galaxy Note 10 Lite 128 GB,250000,13-03-2023,13:26:42,"Las Condes, Región Metropolitana"
31,Samsung S20 Ultra,400000,13-03-2023,13:25:56,"Lo Barnechea, Región Metropolitana"
31,Samsung Galaxy TabA8,170000,13-03-2023,11:55:52,"Maipú, Región Metropolitana"
31,Samsung S21 Ultra,550000,13-03-2023,11:49:13,"Santiago, Región Metropolitana"
31,Celular Samsung S10 usado ,230000,13-03-2023,08:22:57,"Macul, Región Metropolitana"
31,Celular Smartphone Samsung Galaxy A53 5G 128GB,229990,12-03-2023,22:10:10,"Maipú, Región Metropolitana"
31,Samsung galaxy A21s ,100000,12-03-2023,21:11:09,"Puente Alto, Región Metropolitana"
31,Samsung A21s,80000,12-03-2023,20:54:48,"Cerrillos, Región Metropolitana"
31,Samsung A31 128gb,120000,12-03-2023,19:44:33,"Peñaflor, Región Metropolitana"
31,Samsung S20FE,230000,12-03-2023,17:48:45,"Macul, Región Metropolitana"
31,Samsung a11 usado,70000,12-03-2023,17:03:49,"Cerro Navia, Región Metropolitana"
31,Samsung Galaxy Tab A,120000,12-03-2023,15:38:40,"La Florida, Región Metropolitana"
31,Samsung A23 5G,160000,12-03-2023,15:13:10,"Santiago, Región Metropolitana"
31,Samsung Galaxy A32 128GB Negro Usado,125000,12-03-2023,12:02:40,"Vitacura, Región Metropolitana"
31,Tablet A8 Samsung,85000,11-03-2023,20:53:40,"Santiago, Región Metropolitana"
31,Samsung galaxy a70,100000,11-03-2023,20:33:36,"La Pintana, Región Metropolitana"
31,Samsung Galaxy A33 5G Black,179000,11-03-2023,19:32:32,"San Joaquín, Región Metropolitana"
31,Lentes samsung gear vr oculos,50000,11-03-2023,16:26:22,"La Florida, Región Metropolitana"
31,Samsung Galaxy S20 FE ,280000,11-03-2023,16:08:02,"Pudahuel, Región Metropolitana"
31,Rejol Samsung ,80000,11-03-2023,15:29:52,"La Florida, Región Metropolitana"
31,Samsung Galaxy A21s 128GB,150000,11-03-2023,15:05:43,"Ñuñoa, Región Metropolitana"
31,Tablet lenovo para reparar radio samsung funcionan,5000,11-03-2023,15:02:59,"Quilicura, Región Metropolitana"
31,Reloj Samsung más Celular Galaxy Z flip ,1000000,11-03-2023,13:54:49,"Maipú, Región Metropolitana"
31,Samsung s21,500000,11-03-2023,11:14:07,"Peñalolén, Región Metropolitana"
31,Samsung g A04,100000,10-03-2023,18:56:05,"Santiago, Región Metropolitana"
31,Samsung Galaxy a12 cómo nuevo,80000,10-03-2023,17:38:10,"Santiago, Región Metropolitana"
31,Samsung Galaxy S23 ULTRA,1300000,09-03-2023,20:16:59,"Puente Alto, Región Metropolitana"
31,Samsung A 30,45000,09-03-2023,18:36:41,"San Bernardo, Región Metropolitana"
31,Samsung watch active,80000,09-03-2023,18:09:04,"Pudahuel, Región Metropolitana"
31,Espectacular Celular Samsung Note20,250000,09-03-2023,13:36:41,"Maipú, Región Metropolitana"
31,Carcasa Para Samsung Galaxy S20 Ultra Lifeproof +,20900,09-03-2023,12:09:34,"Providencia, Región Metropolitana"
31,Bandeja Dual Sim Para Samsung Galaxy S20 S20 Plus,6500,09-03-2023,12:05:40,"Providencia, Región Metropolitana"
31,Lente Camara Trasera samsung galaxy S20 Ultra,7500,09-03-2023,11:28:25,"Providencia, Región Metropolitana"
31,Flex De Carga Samsung Galaxy S20 Ultra,16990,09-03-2023,11:28:01,"Providencia, Región Metropolitana"
31,V o p samsung s22 ( snapdragon ),420000,09-03-2023,04:05:03,"Peñaflor, Región Metropolitana"
31,Samsung galaxy z fold3 512gb,890000,09-03-2023,02:43:51,"La Florida, Región Metropolitana"
31,Samsung A21s,85,08-03-2023,23:59:40,"San Bernardo, Región Metropolitana"
31,Samsung S20 Ultra,350000,08-03-2023,22:21:08,"Las Condes, Región Metropolitana"
31,Samsung Galaxy A22 5G 128gb liberado como nuevo,110000,08-03-2023,21:54:23,"Maipú, Región Metropolitana"
31,Samsung Galaxy Z Flip 4 256 GB,550000,08-03-2023,19:59:15,"La Florida, Región Metropolitana"
31,Celular sansung flip 3,510000,08-03-2023,19:37:55,"Santiago, Región Metropolitana"
31,Samsung a03s,60000,08-03-2023,18:37:35,"Santiago, Región Metropolitana"
31,Carcasas Ringke Fusion X Familia Samsung S21,25980,08-03-2023,18:22:40,"Santiago, Región Metropolitana"
31,Samsung Galaxy A72,170000,08-03-2023,17:00:45,"Ñuñoa, Región Metropolitana"
31,0,0,0,,0
31,0,0,0,,0
31,0,0,0,,0
