pagina,titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta
55,Pantalla samsung galaxy a40,55900,25-10-2022,18:47:04,"Providencia, Región Metropolitana"
55,Samsung s9,110000,25-10-2022,16:49:37,"Las Condes, Región Metropolitana"
55,Pantalla samsung galaxy a51,65000,25-10-2022,16:24:46,"Providencia, Región Metropolitana"
55, Samsung a 32 ,130000,25-10-2022,16:13:59,"Santiago, Región Metropolitana"
55,Carcasa Samsung Galaxy S21 Fe Cellairis,19900,25-10-2022,13:45:44,"Macul, Región Metropolitana"
55,Batería samsung s3 mini gold larga duración,7900,25-10-2022,12:25:09,"Providencia, Región Metropolitana"
55,Samsung a8+ excelente estado,45000,25-10-2022,11:58:24,"Providencia, Región Metropolitana"
55,Carcasa Samsung Galaxy S20 Cellairis Antigolpe,19900,24-10-2022,23:35:38,"Macul, Región Metropolitana"
55,Samsung A01 2022,42000,24-10-2022,22:56:36,"Santiago, Región Metropolitana"
55,Celular Samsung Galaxy A72,180000,24-10-2022,22:24:55,"Quinta Normal, Región Metropolitana"
55,Samsung galaxy s20 fe 128 gb,250000,24-10-2022,20:47:13,"Las Condes, Región Metropolitana"
55,Samsung A70 64gb,120000,24-10-2022,20:24:44,"La Pintana, Región Metropolitana"
55,Samsung a10s,45000,24-10-2022,17:46:06,"La Cisterna, Región Metropolitana"
55,Samsung a51 128gb,100000,24-10-2022,15:48:49,"Puente Alto, Región Metropolitana"
55,Samsung galaxy S22+ 128 GB,520000,24-10-2022,13:22:30,"San Miguel, Región Metropolitana"
55,Pantalla Samsung Galaxy A31,46900,24-10-2022,13:10:54,"Providencia, Región Metropolitana"
55,Pantalla samsung a30s,49900,24-10-2022,11:37:40,"Providencia, Región Metropolitana"
55,Batería samsung s9,10900,24-10-2022,11:36:43,"Providencia, Región Metropolitana"
55,Samsung galaxy A70 smartphone android,90000,24-10-2022,00:11:12,"Santiago, Región Metropolitana"
55,Samsung Galaxy s10+,280000,23-10-2022,22:02:30,"Providencia, Región Metropolitana"
55,Reloj deportivo Samsung Galaxy Fit2 (Bluetooth),29900,23-10-2022,21:18:35,"Providencia, Región Metropolitana"
55,Samsung Galaxy A11,60000,23-10-2022,20:40:00,"Providencia, Región Metropolitana"
55,Samsung S21 5G 128 GB,330000,23-10-2022,18:11:10,"Peñaflor, Región Metropolitana"
55,Telefono Samsung Galaxy J7 Pro,49990,23-10-2022,15:56:23,"Las Condes, Región Metropolitana"
55,Samsung Galaxy J6+,60000,23-10-2022,15:32:00,"Conchalí, Región Metropolitana"
55,Samsung A51,60000,23-10-2022,14:27:42,"La Florida, Región Metropolitana"
55,Samsung A52s 5G ESCUCHO OFERTAS,130000,23-10-2022,10:39:34,"Santiago, Región Metropolitana"
55,Samsung a 10,200000,22-10-2022,20:47:35,"Lampa, Región Metropolitana"
55,Celular samsumg a32,39900,22-10-2022,19:59:40,"Pedro Aguirre Cerda, Región Metropolitana"
55,Samsung note 20 128gb,31900,22-10-2022,16:56:12,"El Bosque, Región Metropolitana"
55,Samsung note 10 lite,180000,22-10-2022,14:53:42,"Ñuñoa, Región Metropolitana"
55,Pantalla samsung a21s,170000,22-10-2022,13:07:44,"Providencia, Región Metropolitana"
55,Pantalla samsung a12,130000,22-10-2022,12:21:39,"Providencia, Región Metropolitana"
55,Celular Samsung Galaxy a22 5G,250000,21-10-2022,17:13:05,"La Florida, Región Metropolitana"
55,Celular Samsung A03,5900,21-10-2022,16:36:40,"San Ramón, Región Metropolitana"
55,Samsung A52s 5G 6GB RAM/128GB Almacenamiento,4500,21-10-2022,15:55:19,"San Bernardo, Región Metropolitana"
55,Samsung Galaxy s10 lite,34900,21-10-2022,14:27:59,"Estación Central, Región Metropolitana"
55,Samsung S10 plus,150000,21-10-2022,14:15:00,"Huechuraba, Región Metropolitana"
55,Samsung A13,45000,21-10-2022,13:59:24,"Quilicura, Región Metropolitana"
55,Lente Cámara trasera Samsung Galaxy Note 20 Ultra,550000,21-10-2022,12:25:53,"Providencia, Región Metropolitana"
55,Lente Cámara Samsung Galaxy S7 S7 Edge,120000,21-10-2022,12:16:27,"Providencia, Región Metropolitana"
55,Pantalla samsung a10,190000,21-10-2022,12:01:06,"Providencia, Región Metropolitana"
55,Samsung S20 FE,0,21-10-2022,07:27:44,"Santiago, Región Metropolitana"
55,Celular Samsung A70 64gb,0,21-10-2022,01:38:53,"Huechuraba, Región Metropolitana"
55,Samsung galaxy s21 ultra 5g 128 giga,0,21-10-2022,00:39:35,"Las Condes, Región Metropolitana"
55,"Samsung Galaxy Watch4 42mm nuevo, color negro",0,20-10-2022,23:37:38,"Lo Espejo, Región Metropolitana"
55,Tablet samsung,0,20-10-2022,19:54:30,"Macul, Región Metropolitana"
55,0,0,0,,0
55,0,0,0,,0
55,0,0,0,,0
