pagina,titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta
20,Samsung a 31,100000,19-05-2023,03:42:21,"La Granja, Región Metropolitana"
20,Samsung Galaxy watch 4,120000,18-05-2023,23:12:58,"Renca, Región Metropolitana"
20,Celular Samsung Galaxy A22,160000,18-05-2023,20:25:45,"Lo Prado, Región Metropolitana"
20,Samsung A54 de 256,289999,18-05-2023,14:14:02,"Estación Central, Región Metropolitana"
20,Samsung a 51,110000,18-05-2023,11:46:36,"San Bernardo, Región Metropolitana"
20,Celular samsung A04,100000,17-05-2023,22:28:23,"San Bernardo, Región Metropolitana"
20,TABLET SAMSUNG TAB Modelo SM-T380,50000,17-05-2023,18:42:41,"Maipú, Región Metropolitana"
20,Samsung Galaxy S21 ultra ,400000,17-05-2023,18:28:34,"La Cisterna, Región Metropolitana"
20,Celular Samsung Galaxy a 32,80000,17-05-2023,17:53:21,"Puente Alto, Región Metropolitana"
20,Samsung A- 11 Y A-12,80000,17-05-2023,14:10:43,"Santiago, Región Metropolitana"
20,Samsung Galaxu A10 s,50000,17-05-2023,13:50:48,"Huechuraba, Región Metropolitana"
20,Samsung Galaxy A 04 ,90000,17-05-2023,13:23:53,"Lo Prado, Región Metropolitana"
20,Flex De Carga Samsung Galaxy A20 A205 A205f,5600,17-05-2023,12:15:49,"Macul, Región Metropolitana"
20,Audífonos Samsung galaxy Buds live,65000,17-05-2023,10:27:45,"Santiago, Región Metropolitana"
20,Samsung 7 y Samsun 5-6 Funcionando al 100,18000,16-05-2023,16:35:35,"Puente Alto, Región Metropolitana"
20,Celular Samsung Galaxy S22 ultra cero rayas,680000,16-05-2023,16:30:36,"Quinta Normal, Región Metropolitana"
20,Samsung S9,250000,16-05-2023,15:51:31,"Independencia, Región Metropolitana"
20,Samsung Galaxy Prime,30000,16-05-2023,14:37:13,"Maipú, Región Metropolitana"
20,Samsung Galaxy A53,150000,16-05-2023,14:04:13,"La Reina, Región Metropolitana"
20,Audífonos inalámbricos SAMSUNG,45000,16-05-2023,12:41:10,"Ñuñoa, Región Metropolitana"
20,Celular Samsung A11,50000,16-05-2023,08:07:26,"San Bernardo, Región Metropolitana"
20,Samsung A53 5g,220000,15-05-2023,23:45:26,"La Pintana, Región Metropolitana"
20,Samsung s20fe,150,15-05-2023,23:15:50,"La Florida, Región Metropolitana"
20,"Tablet Samsung Galaxy Tab A7 Lite SM-T225 8.7"", 32",115000,15-05-2023,22:40:52,"Providencia, Región Metropolitana"
20,Samsung galaxy A04 128 GB,75,15-05-2023,19:11:56,"Santiago, Región Metropolitana"
20,Samsung A 53 5g,250000,15-05-2023,18:36:24,"La Cisterna, Región Metropolitana"
20,Audifonos Samsung Galaxy Buds + Inalambricos Nuevo,68000,15-05-2023,18:26:35,"Maipú, Región Metropolitana"
20,  Samsung A20,70000,15-05-2023,17:00:14,"Santiago, Región Metropolitana"
20,Tablet Samsung Galaxy TAB 2 / 10.1,45000,15-05-2023,16:20:40,"Las Condes, Región Metropolitana"
20,Tablet samsung a7,110000,15-05-2023,15:59:06,"Quinta Normal, Región Metropolitana"
20,Samsung Galaxy A12 128gb,112000,15-05-2023,15:03:40,"Vitacura, Región Metropolitana"
20,Samsung Watch active 2,85000,15-05-2023,14:46:32,"Puente Alto, Región Metropolitana"
20,Samsung A22 5g excelente estado con caja,70000,15-05-2023,14:17:52,"Las Condes, Región Metropolitana"
20,Samsung A12,60000,15-05-2023,13:37:39,"Peñalolén, Región Metropolitana"
20,Celular Samsung Galaxy A22,100000,15-05-2023,10:48:07,"Recoleta, Región Metropolitana"
20,Samsung Galaxy A02,50000,15-05-2023,08:30:01,"San Bernardo, Región Metropolitana"
20,Carcasa case Samsung S20 FE,7000,15-05-2023,01:19:05,"Vitacura, Región Metropolitana"
20,Samsung Galaxy a30s,70000,14-05-2023,18:42:32,"El Bosque, Región Metropolitana"
20,Samsung Note 8 Placa Base,30000,14-05-2023,14:08:58,"La Florida, Región Metropolitana"
20,Samsung Galaxy A51,100000,14-05-2023,14:08:03,"Huechuraba, Región Metropolitana"
20,Samsung Galaxy A22 4g Dual SIM Blanco,100000,14-05-2023,13:17:38,"Peñalolén, Región Metropolitana"
20,Samsung S9+ (64GB),100000,14-05-2023,09:58:51,"Lo Barnechea, Región Metropolitana"
20,Samsung Galaxy Z Flip4 5G,360000,14-05-2023,00:38:04,"Estación Central, Región Metropolitana"
20,Samsung A53 5G,350000,13-05-2023,23:30:17,"Santiago, Región Metropolitana"
20,Paquete fundas de cuero Samsung note 10,35000,13-05-2023,18:18:49,"Puente Alto, Región Metropolitana"
20,Paquete de fundas Samsung note 8,20000,13-05-2023,18:15:47,"Puente Alto, Región Metropolitana"
20,Cargador inalambrico samsung,30000,13-05-2023,16:59:05,"Santiago, Región Metropolitana"
20,0,0,0,,0
20,0,0,0,,0
20,0,0,0,,0
